Run,Antibiogram,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,BioSampleModel,Bytes,Center Name,collected_by,Collection_Date,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,geo_loc_name_country,geo_loc_name_country_continent,geo_loc_name,Instrument,Isolate,Isolation_source,Lat_Lon,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,Plasmid(s)_found,Platform,ReleaseDate,Sample Name,Sequence_Type,SRA Study,STRAIN,Host_disease,Host
SRR21096660,GEN-STR-SSS,WGS,299,463802143,PRJNA756559,SAMN27524754,Pathogen.env,215257384,NML,NML,31/07/2017,public,"realign,wgmlst_sig,fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX17110277,Canada,North America,Canada: QUEBEC,Illumina MiSeq,Not applicable,chicken,Not collected,N18-01445,PAIRED,RANDOM,GENOMIC,Escherichia coli,"IncFII(pSE11), IncHI2, IncHI2A",ILLUMINA,2022-08-17T00:00:00Z,N18-01445,131,SRP378977,641,,
SRR21096661,ATM-CFZ-FEP-CAZ-CRO-CIP-GEN-MXF-TOB,WGS,298,405022709,PRJNA756559,SAMN27524885,Pathogen.cl,189320064,NML,NML,31/07/2017,public,"sra,wgmlst_sig,fastq,realign","gs,s3,ncbi","gs.US,s3.us-east-1,ncbi.public",SRX17110276,Canada,North America,Canada: ALBERTA,Illumina MiSeq,Not applicable,human,Not collected,N18-03380,PAIRED,RANDOM,GENOMIC,Escherichia coli,"IncFIA, IncFIB(AP001918)",ILLUMINA,2022-08-17T00:00:00Z,N18-03380,4162,SRP378977,131,E. coli gastroenteritis,Homo sapiens
SRR21096662,ATM-CFZ-FEP-CAZ-CRO-GEN-MXF-TOB-SXT,WGS,297,362681851,PRJNA756559,SAMN27524901,Pathogen.cl,172740941,NML,NML,31/07/2017,public,"fastq,wgmlst_sig,realign,sra","gs,s3,ncbi","s3.us-east-1,gs.US,ncbi.public",SRX17110275,Canada,North America,Canada: BRITISH COLUMBIA,Illumina MiSeq,Not applicable,human,Not collected,N18-03396,PAIRED,RANDOM,GENOMIC,Escherichia coli,"Col156, IncFIA, IncFIB(AP001918), IncFII(pRSB107)",ILLUMINA,2022-08-17T00:00:00Z,N18-03396,117,SRP378977,998,E. coli gastroenteritis,Homo sapiens
SRR21096663,GEN-STR-SSS-TET,WGS,295,434557346,PRJNA756559,SAMN27524922,Pathogen.env,203426524,NML,NML,31/07/2014,public,"fastq,sra,wgmlst_sig,realign","gs,ncbi,s3","s3.us-east-1,gs.US,ncbi.public",SRX17110274,Canada,North America,Canada: ONTARIO,Illumina MiSeq,Not applicable,chicken,Not collected,N18-03474,PAIRED,RANDOM,GENOMIC,Escherichia coli,"IncFIB(AP001918), IncI1",ILLUMINA,2022-08-17T00:00:00Z,N18-03474,5796,SRP378977,2690,,
SRR21096664,GEN-STR-SSS,WGS,300,421317728,PRJNA756559,SAMN27524704,Pathogen.env,189397608,NML,NML,31/07/2017,public,"realign,fastq,sra,wgmlst_sig","gs,ncbi,s3","ncbi.public,gs.US,s3.us-east-1",SRX17110273,Canada,North America,Canada: QUEBEC,Illumina MiSeq,Not applicable,chicken,Not collected,N18-01205,PAIRED,RANDOM,GENOMIC,Escherichia coli,"IncHI2, IncHI2A",ILLUMINA,2022-08-17T00:00:00Z,N18-01205,1485,SRP378977,115,,
SRR21096665,ATM-CFZ-FEP-CAZ-CRO-CIP-DOX-GEN-MXF-TOB-SXT,WGS,297,361380202,PRJNA756559,SAMN27524869,Pathogen.cl,170007497,NML,NML,31/07/2017,public,"sra,wgmlst_sig,fastq,realign","gs,ncbi,s3","ncbi.public,gs.US,s3.us-east-1",SRX17110272,Canada,North America,Canada: ONTARIO,Illumina MiSeq,Not applicable,human,Not collected,N18-03364,PAIRED,RANDOM,GENOMIC,Escherichia coli,"IncFIA, IncFIB(AP001918)",ILLUMINA,2022-08-17T00:00:00Z,N18-03364,162,SRP378977,648,E. coli gastroenteritis,Homo sapiens
SRR21096666,AMC-AMP-FOX-CRO-GEN-NAL-STR-SSS-TET,WGS,300,401392089,PRJNA756559,SAMN27525002,Pathogen.env,178115924,NML,NML,31/07/2015,public,"realign,sra,wgmlst_sig,fastq","ncbi,gs,s3","gs.US,ncbi.public,s3.us-east-1",SRX17110271,Canada,North America,Canada: SASKATCHEWAN,Illumina MiSeq,Not applicable,chicken,Not collected,N18-03554,PAIRED,RANDOM,GENOMIC,Escherichia coli,"IncFIB(AP001918), IncFII(pHN7A8), IncI1",ILLUMINA,2022-08-17T00:00:00Z,N18-03554,212,SRP378977,117,,
SRR21096667,AMP-GEN,WGS,300,331684266,PRJNA756559,SAMN27525035,Pathogen.env,147481474,NML,NML,31/07/2016,public,"fastq,wgmlst_sig,realign,sra","gs,ncbi,s3","ncbi.public,s3.us-east-1,gs.US",SRX17110270,Canada,North America,Canada: ALBERTA,Illumina MiSeq,Not applicable,chicken,Not collected,N18-03587,PAIRED,RANDOM,GENOMIC,Escherichia coli,"IncFIB(AP001918), IncFIB(AP001918), IncFIB(pLF82), IncI1, p0111",ILLUMINA,2022-08-17T00:00:00Z,N18-03587,10,SRP378977,679,,
SRR21096668,AMC-AMP-CHL-FOX-CRO-GEN-STR-SSS-TET,WGS,299,356490120,PRJNA756559,SAMN27524663,Pathogen.env,160190916,NML,NML,31/07/2017,public,"fastq,sra,realign,wgmlst_sig","gs,s3,ncbi","ncbi.public,s3.us-east-1,gs.US",SRX17110269,Canada,North America,Canada: ONTARIO,Illumina MiSeq,Not applicable,chicken,Not collected,N18-01115,PAIRED,RANDOM,GENOMIC,Escherichia coli,"IncA/C2, IncFII(pHN7A8), p0111",ILLUMINA,2022-08-17T00:00:00Z,N18-01115,131,SRP378977,155,,
SRR21096669,AMP-GEN-STR-SSS-TET,WGS,300,355163115,PRJNA756559,SAMN27525013,Pathogen.env,159206980,NML,NML,31/07/2015,public,"sra,fastq,wgmlst_sig,realign","ncbi,gs,s3","gs.US,ncbi.public,s3.us-east-1",SRX17110268,Canada,North America,Canada: ALBERTA,Illumina MiSeq,Not applicable,chicken,Not collected,N18-03565,PAIRED,RANDOM,GENOMIC,Escherichia coli,"IncFIB(AP001918), IncI1, p0111",ILLUMINA,2022-08-17T00:00:00Z,N18-03565,1914,SRP378977,1137,,
SRR21096670,GEN-STR-SSS-TET,WGS,299,424682275,PRJNA756559,SAMN27525020,Pathogen.env,189053353,NML,NML,31/07/2015,public,"wgmlst_sig,realign,sra,fastq","gs,s3,ncbi","gs.US,ncbi.public,s3.us-east-1",SRX17110267,Canada,North America,Canada: QUEBEC,Illumina MiSeq,Not applicable,chicken,Not collected,N18-03572,PAIRED,RANDOM,GENOMIC,Escherichia coli,"ColpVC, IncFIB(AP001918), IncI1, p0111",ILLUMINA,2022-08-17T00:00:00Z,N18-03572,4110,SRP378977,10,,
SRR21096671,AMC-AMP-FOX-CRO-GEN-STR-SSS-TET,WGS,299,592268970,PRJNA756559,SAMN27524734,Pathogen.env,273588021,NML,NML,31/07/2017,public,"wgmlst_sig,sra,realign,fastq","gs,s3,ncbi","gs.US,s3.us-east-1,ncbi.public",SRX17110266,Canada,North America,Canada: ALBERTA,Illumina MiSeq,Not applicable,chicken,Not collected,N18-01265,PAIRED,RANDOM,GENOMIC,Escherichia coli,IncFIB(AP001918),ILLUMINA,2022-08-17T00:00:00Z,N18-01265,770,SRP378977,2040,,
SRR21096672,GEN-STR-SSS-TET,WGS,299,362774231,PRJNA756559,SAMN27524709,Pathogen.env,161934865,NML,NML,31/07/2017,public,"realign,sra,fastq,wgmlst_sig","s3,gs,ncbi","ncbi.public,s3.us-east-1,gs.US",SRX17110265,Canada,North America,Canada: QUEBEC,Illumina MiSeq,Not applicable,chicken,Not collected,N18-01214,PAIRED,RANDOM,GENOMIC,Escherichia coli,"IncFII(29), p0111",ILLUMINA,2022-08-17T00:00:00Z,N18-01214,665,SRP378977,189,,
SRR21096673,GEN-STR-SSS,WGS,299,300744208,PRJNA756559,SAMN27524940,Pathogen.env,133996639,NML,NML,31/07/2015,public,"sra,fastq,realign,wgmlst_sig","gs,ncbi,s3","gs.US,s3.us-east-1,ncbi.public",SRX17110264,Canada,North America,Canada: BRITISH COLUMBIA,Illumina MiSeq,Not applicable,chicken,Not collected,N18-03492,PAIRED,RANDOM,GENOMIC,Escherichia coli,IncFIB(AP001918),ILLUMINA,2022-08-17T00:00:00Z,N18-03492,4243,SRP378977,156,,
SRR21096674,GEN,WGS,300,478183996,PRJNA756559,SAMN27524846,Pathogen.cl,211647083,NML,NML,31/07/2016,public,"sra,fastq,wgmlst_sig,realign","ncbi,s3,gs","gs.US,ncbi.public,s3.us-east-1",SRX17110263,Canada,North America,Canada: NEW BRUNSWICK,Illumina MiSeq,Not applicable,human,Not collected,N18-02260,PAIRED,RANDOM,GENOMIC,Escherichia coli,IncFII(pRSB107),ILLUMINA,2022-08-17T00:00:00Z,N18-02260,167,SRP378977,131,E. coli gastroenteritis,Homo sapiens
SRR21096675,AMP-GEN-STR-SSS-SXT-TET,WGS,300,425544959,PRJNA756559,SAMN27524683,Pathogen.env,190698239,NML,NML,31/07/2017,public,"realign,fastq,sra,wgmlst_sig","ncbi,s3,gs","s3.us-east-1,gs.US,ncbi.public",SRX17110262,Canada,North America,Canada: QUEBEC,Illumina MiSeq,Not applicable,chicken,Not collected,N18-01155,PAIRED,RANDOM,GENOMIC,Escherichia coli,"IncHI2, IncHI2A, p0111",ILLUMINA,2022-08-17T00:00:00Z,N18-01155,349,SRP378977,1140,,
SRR21096676,GEN-STR-SSS,WGS,299,417857116,PRJNA756559,SAMN27524762,Pathogen.env,193827441,NML,NML,31/07/2017,public,"realign,sra,fastq,wgmlst_sig","gs,ncbi,s3","ncbi.public,s3.us-east-1,gs.US",SRX17110261,Canada,North America,Canada: QUEBEC,Illumina MiSeq,Not applicable,chicken,Not collected,N18-01483,PAIRED,RANDOM,GENOMIC,Escherichia coli,"Col(IMGS31), ColpVC, IncFIB(AP001918), IncHI2, IncHI2A",ILLUMINA,2022-08-17T00:00:00Z,N18-01483,131,SRP378977,602,,
SRR21096677,GEN-STR-SSS-TET,WGS,299,609424948,PRJNA756559,SAMN27524737,Pathogen.env,282266775,NML,NML,31/07/2017,public,"fastq,wgmlst_sig,realign,sra","gs,ncbi,s3","ncbi.public,s3.us-east-1,gs.US",SRX17110260,Canada,North America,Canada: ALBERTA,Illumina MiSeq,Not applicable,chicken,Not collected,N18-01271,PAIRED,RANDOM,GENOMIC,Escherichia coli,"IncFIB(AP001918), IncI1",ILLUMINA,2022-08-17T00:00:00Z,N18-01271,131,SRP378977,4134,,
SRR21096678,ATM-CFZ-FEP-CAZ-CRO-GEN-MXF-SXT,WGS,297,400647789,PRJNA756559,SAMN27524909,Pathogen.cl,187017152,NML,NML,31/07/2017,public,"fastq,realign,wgmlst_sig,sra","s3,gs,ncbi","gs.US,ncbi.public,s3.us-east-1",SRX17110259,Canada,North America,Canada: MANITOBA,Illumina MiSeq,Not applicable,human,Not collected,N18-03404,PAIRED,RANDOM,GENOMIC,Escherichia coli,"Col156, IncFII(29)",ILLUMINA,2022-08-17T00:00:00Z,N18-03404,117,SRP378977,131,E. coli gastroenteritis,Homo sapiens
SRR21096679,GEN-NAL-STR-SSS-TET,WGS,300,288565005,PRJNA756559,SAMN27524659,Pathogen.env,128722239,NML,NML,31/07/2017,public,"sra,wgmlst_sig,realign,fastq","s3,gs,ncbi","ncbi.public,gs.US,s3.us-east-1",SRX17110258,Canada,North America,Canada: BRITISH COLUMBIA,Illumina MiSeq,Not applicable,chicken,Not collected,N18-01101,PAIRED,RANDOM,GENOMIC,Escherichia coli,"IncFII, IncI1",ILLUMINA,2022-08-17T00:00:00Z,N18-01101,131,SRP378977,101,,
SRR21096680,GEN-STR-SSS-TET,WGS,300,414017580,PRJNA756559,SAMN27524932,Pathogen.env,200328751,NML,NML,31/07/2015,public,"fastq,realign,wgmlst_sig,sra","ncbi,gs,s3","s3.us-east-1,ncbi.public,gs.US",SRX17110257,Canada,North America,Canada: ONTARIO,Illumina MiSeq,Not applicable,chicken,Not collected,N18-03484,PAIRED,RANDOM,GENOMIC,Escherichia coli,"IncFIB(AP001918), p0111",ILLUMINA,2022-08-17T00:00:00Z,N18-03484,1304,SRP378977,117,,
SRR21096681,AMP-GEN-STR-SSS-TET,WGS,300,446344072,PRJNA756559,SAMN27524929,Pathogen.env,214229566,NML,NML,31/07/2014,public,"sra,wgmlst_sig,realign,fastq","ncbi,s3,gs","ncbi.public,s3.us-east-1,gs.US",SRX17110256,Canada,North America,Canada: BRITISH COLUMBIA,Illumina MiSeq,Not applicable,chicken,Not collected,N18-03481,PAIRED,RANDOM,GENOMIC,Escherichia coli,"IncFIB(AP001918), IncFII, IncI1",ILLUMINA,2022-08-17T00:00:00Z,N18-03481,48,SRP378977,88,,
SRR21096682,GEN-STR-SSS,WGS,300,412924344,PRJNA756559,SAMN27524988,Pathogen.env,182854272,NML,NML,31/07/2015,public,"fastq,sra,realign,wgmlst_sig","ncbi,s3,gs","gs.US,ncbi.public,s3.us-east-1",SRX17110255,Canada,North America,Canada: QUEBEC,Illumina MiSeq,Not applicable,chicken,Not collected,N18-03540,PAIRED,RANDOM,GENOMIC,Escherichia coli,"ColpVC, p0111",ILLUMINA,2022-08-17T00:00:00Z,N18-03540,Undetermined,SRP378977,189,,
SRR21096683,GEN-STR-SSS,WGS,300,365528235,PRJNA756559,SAMN27525029,Pathogen.env,163554083,NML,NML,31/07/2016,public,"wgmlst_sig,sra,fastq,realign","s3,ncbi,gs","ncbi.public,gs.US,s3.us-east-1",SRX17110254,Canada,North America,Canada: ALBERTA,Illumina MiSeq,Not applicable,chicken,Not collected,N18-03581,PAIRED,RANDOM,GENOMIC,Escherichia coli,ColpVC,ILLUMINA,2022-08-17T00:00:00Z,N18-03581,10,SRP378977,4243,,
SRR21096684,GEN-STR-TET,WGS,299,289500321,PRJNA756559,SAMN27524688,Pathogen.env,139219755,NML,NML,31/07/2017,public,"fastq,realign,wgmlst_sig,sra","ncbi,gs,s3","s3.us-east-1,ncbi.public,gs.US",SRX17110253,Canada,North America,Canada: ONTARIO,Illumina MiSeq,Not applicable,chicken,Not collected,N18-01165,PAIRED,RANDOM,GENOMIC,Escherichia coli,"IncFIB(AP001918), IncI1",ILLUMINA,2022-08-17T00:00:00Z,N18-01165,131,SRP378977,8587,,
SRR21096685,AMP-GEN-STR-SSS-TET,WGS,300,335968616,PRJNA756559,SAMN27524717,Pathogen.env,151847581,NML,NML,31/07/2017,public,"wgmlst_sig,sra,fastq,realign","ncbi,gs,s3","ncbi.public,gs.US,s3.us-east-1",SRX17110252,Canada,North America,Canada: ONTARIO,Illumina MiSeq,Not applicable,chicken,Not collected,N18-01230,PAIRED,RANDOM,GENOMIC,Escherichia coli,"IncFIC(FII), IncI1",ILLUMINA,2022-08-17T00:00:00Z,N18-01230,2040,SRP378977,155,,
SRR21096686,GEN-STR-SSS-TET,WGS,300,482190787,PRJNA756559,SAMN27524685,Pathogen.env,215432577,NML,NML,31/07/2017,public,"realign,sra,wgmlst_sig,fastq","s3,gs,ncbi","s3.us-east-1,ncbi.public,gs.US",SRX17110251,Canada,North America,Canada: QUEBEC,Illumina MiSeq,Not applicable,chicken,Not collected,N18-01159,PAIRED,RANDOM,GENOMIC,Escherichia coli,"IncFIA, IncFIB(AP001918), IncI1",ILLUMINA,2022-08-17T00:00:00Z,N18-01159,162,SRP378977,1084,,
SRR21096687,AMC-AMP-FOX-CRO-GEN-STR-SSS-TET,WGS,300,303833986,PRJNA756559,SAMN27524727,Pathogen.env,137785082,NML,NML,31/07/2017,public,"sra,fastq,realign,wgmlst_sig","gs,ncbi,s3","s3.us-east-1,gs.US,ncbi.public",SRX17110250,Canada,North America,Canada: ALBERTA,Illumina MiSeq,Not applicable,chicken,Not collected,N18-01251,PAIRED,RANDOM,GENOMIC,Escherichia coli,IncFIB(AP001918),ILLUMINA,2022-08-17T00:00:00Z,N18-01251,355,SRP378977,117,,
SRR21096688,CIP-DOX-GEN-MXF-SXT,WGS,298,407566130,PRJNA756559,SAMN27524776,Pathogen.cl,181294519,NML,NML,31/07/2014,public,"wgmlst_sig,fastq,realign,sra","gs,ncbi,s3","s3.us-east-1,ncbi.public,gs.US",SRX17110663,Canada,North America,Canada: MANITOBA,Illumina MiSeq,Not applicable,human,Not collected,N18-02190,PAIRED,RANDOM,GENOMIC,Escherichia coli,"Col(BS512), Col156, IncFII(29), IncI1",ILLUMINA,2022-08-17T00:00:00Z,N18-02190,131,SRP378977,405,E. coli gastroenteritis,Homo sapiens
SRR21096689,GEN-NAL-STR-SSS-TET,WGS,299,392055421,PRJNA756559,SAMN27524689,Pathogen.env,174149112,NML,NML,31/07/2017,public,"fastq,sra,wgmlst_sig,realign","gs,ncbi,s3","s3.us-east-1,ncbi.public,gs.US",SRX17110662,Canada,North America,Canada: BRITISH COLUMBIA,Illumina MiSeq,Not applicable,chicken,Not collected,N18-01167,PAIRED,RANDOM,GENOMIC,Escherichia coli,"IncFIB(AP001918), IncI1",ILLUMINA,2022-08-17T00:00:00Z,N18-01167,131,SRP378977,2485,,
SRR21096690,GEN-STR-SSS-TET,WGS,300,388171450,PRJNA756559,SAMN27524680,Pathogen.env,173635926,NML,NML,31/07/2017,public,"realign,wgmlst_sig,sra,fastq","gs,ncbi,s3","gs.US,s3.us-east-1,ncbi.public",SRX17110661,Canada,North America,Canada: SASKATCHEWAN,Illumina MiSeq,Not applicable,chicken,Not collected,N18-01150,PAIRED,RANDOM,GENOMIC,Escherichia coli,"IncFIB(AP001918), IncI1, p0111",ILLUMINA,2022-08-17T00:00:00Z,N18-01150,131,SRP378977,2705,,
SRR21096691,GEN-STR-SSS-SXT,WGS,300,521998933,PRJNA756559,SAMN27524930,Pathogen.env,249439634,NML,NML,31/07/2014,public,"fastq,sra,wgmlst_sig,realign","ncbi,gs,s3","gs.US,ncbi.public,s3.us-east-1",SRX17110660,Canada,North America,Canada: QUEBEC,Illumina MiSeq,Not applicable,chicken,Not collected,N18-03482,PAIRED,RANDOM,GENOMIC,Escherichia coli,"p0111, pEC4115",ILLUMINA,2022-08-17T00:00:00Z,N18-03482,131,SRP378977,1140,,
SRR21096692,GEN-NAL-STR-SSS-TET,WGS,296,375630767,PRJNA756559,SAMN27524919,Pathogen.env,176382171,NML,NML,31/07/2014,public,"sra,wgmlst_sig,fastq,realign","s3,ncbi,gs","s3.us-east-1,gs.US,ncbi.public",SRX17110659,Canada,North America,Canada: BRITISH COLUMBIA,Illumina MiSeq,Not applicable,chicken,Not collected,N18-03471,PAIRED,RANDOM,GENOMIC,Escherichia coli,IncI1,ILLUMINA,2022-08-17T00:00:00Z,N18-03471,10,SRP378977,101,,
SRR21096693,GEN-STR-SSS-SXT-TET,WGS,300,359922013,PRJNA756559,SAMN27524979,Pathogen.env,160840433,NML,NML,31/07/2014,public,"sra,wgmlst_sig,realign,fastq","gs,s3,ncbi","s3.us-east-1,ncbi.public,gs.US",SRX17110658,Canada,North America,Canada: ONTARIO,Illumina MiSeq,Not applicable,chicken,Not collected,N18-03531,PAIRED,RANDOM,GENOMIC,Escherichia coli,"Col156, ColpVC",ILLUMINA,2022-08-17T00:00:00Z,N18-03531,5881,SRP378977,328,,
SRR21096694,CIP-DOX-GEN-MXF-SXT,WGS,298,347714998,PRJNA756559,SAMN27524774,Pathogen.cl,153419935,NML,NML,31/07/2014,public,"fastq,wgmlst_sig,realign,sra","gs,ncbi,s3","gs.US,s3.us-east-1,ncbi.public",SRX17110657,Canada,North America,Canada: MANITOBA,Illumina MiSeq,Not applicable,human,Not collected,N18-02188,PAIRED,RANDOM,GENOMIC,Escherichia coli,"Col156, IncB/O/K/Z, IncFIA, IncFII(pRSB107), IncX4",ILLUMINA,2022-08-17T00:00:00Z,N18-02188,101,SRP378977,38,E. coli gastroenteritis,Homo sapiens
SRR21096695,CIP-GEN-MXF,WGS,298,299890959,PRJNA756559,SAMN27524824,Pathogen.cl,133936296,NML,NML,31/07/2015,public,"realign,sra,fastq,wgmlst_sig","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX17110656,Canada,North America,Canada: NOVA SCOTIA,Illumina MiSeq,Not applicable,human,Not collected,N18-02238,PAIRED,RANDOM,GENOMIC,Escherichia coli,"IncFIB(AP001918), IncX1, IncX4, IncY",ILLUMINA,2022-08-17T00:00:00Z,N18-02238,354,SRP378977,410,E. coli gastroenteritis,Homo sapiens
SRR21096696,AMC-AMP-CRO-FOX-GEN-STR-SSS-TIO,WGS,300,525845158,PRJNA756559,SAMN27524936,Pathogen.env,251031532,NML,NML,31/07/2015,public,"sra,fastq,wgmlst_sig,realign","gs,ncbi,s3","gs.US,s3.us-east-1,ncbi.public",SRX17110655,Canada,North America,Canada: ONTARIO,Illumina MiSeq,Not applicable,chicken,Not collected,N18-03488,PAIRED,RANDOM,GENOMIC,Escherichia coli,"Col8282, IncFIB(AP001918), IncI1, p0111",ILLUMINA,2022-08-17T00:00:00Z,N18-03488,57,SRP378977,57,,
SRR21096697,GEN-MXF-SXT,WGS,298,296978702,PRJNA756559,SAMN27524803,Pathogen.cl,132593942,NML,NML,31/07/2014,public,"fastq,sra,wgmlst_sig,realign","s3,ncbi,gs","ncbi.public,gs.US,s3.us-east-1",SRX17110654,Canada,North America,Canada: ONTARIO,Illumina MiSeq,Not applicable,human,Not collected,N18-02217,PAIRED,RANDOM,GENOMIC,Escherichia coli,"Col156, IncB/O/K/Z",ILLUMINA,2022-08-17T00:00:00Z,N18-02217,131,SRP378977,69,E. coli gastroenteritis,Homo sapiens
SRR21096698,GEN-STR-TET,WGS,299,477867310,PRJNA756559,SAMN27524757,Pathogen.env,223646744,NML,NML,31/07/2017,public,"wgmlst_sig,fastq,realign,sra","s3,ncbi,gs","s3.us-east-1,ncbi.public,gs.US",SRX17110653,Canada,North America,Canada: QUEBEC,Illumina MiSeq,Not applicable,chicken,Not collected,N18-01462,PAIRED,RANDOM,GENOMIC,Escherichia coli,"IncFIB(AP001918), IncI1",ILLUMINA,2022-08-17T00:00:00Z,N18-01462,648,SRP378977,131,,
SRR21096699,CIP-DOX-GEN-MXF-SXT,WGS,298,372142749,PRJNA756559,SAMN27524812,Pathogen.cl,166203592,NML,NML,31/07/2015,public,"wgmlst_sig,fastq,realign,sra","ncbi,s3,gs","ncbi.public,gs.US,s3.us-east-1",SRX17110652,Canada,North America,Canada: NEW BRUNSWICK,Illumina MiSeq,Not applicable,human,Not collected,N18-02226,PAIRED,RANDOM,GENOMIC,Escherichia coli,IncFIB(AP001918),ILLUMINA,2022-08-17T00:00:00Z,N18-02226,131,SRP378977,410,E. coli gastroenteritis,Homo sapiens
SRR21096700,CHL-GEN-STR-SSS-TET,WGS,300,406575212,PRJNA756559,SAMN27524699,Pathogen.env,182670309,NML,NML,31/07/2017,public,"fastq,wgmlst_sig,realign,sra","s3,gs,ncbi","gs.US,ncbi.public,s3.us-east-1",SRX17110651,Canada,North America,Canada: ONTARIO,Illumina MiSeq,Not applicable,chicken,Not collected,N18-01181,PAIRED,RANDOM,GENOMIC,Escherichia coli,"IncA/C2, IncFII(pHN7A8)",ILLUMINA,2022-08-17T00:00:00Z,N18-01181,57,SRP378977,155,,
SRR21096701,CIP-DOX-GEN-MXF,WGS,298,335603533,PRJNA756559,SAMN27524821,Pathogen.cl,149637901,NML,NML,31/07/2015,public,"wgmlst_sig,realign,sra,fastq","s3,ncbi,gs","s3.us-east-1,gs.US,ncbi.public",SRX17110650,Canada,North America,Canada: QUEBEC,Illumina MiSeq,Not applicable,human,Not collected,N18-02235,PAIRED,RANDOM,GENOMIC,Escherichia coli,"Col(BS512), IncFIA, IncFIB(AP001918), IncN",ILLUMINA,2022-08-17T00:00:00Z,N18-02235,410,SRP378977,773,E. coli gastroenteritis,Homo sapiens
SRR21096702,AMC-AMP-FOX-CRO-GEN-STR-SSS-TET,WGS,299,356063427,PRJNA756559,SAMN27524697,Pathogen.env,160679805,NML,NML,31/07/2017,public,"realign,sra,wgmlst_sig,fastq","gs,ncbi,s3","gs.US,s3.us-east-1,ncbi.public",SRX17110649,Canada,North America,Canada: ONTARIO,Illumina MiSeq,Not applicable,chicken,Not collected,N18-01179,PAIRED,RANDOM,GENOMIC,Escherichia coli,"IncFIB(AP001918), IncI1",ILLUMINA,2022-08-17T00:00:00Z,N18-01179,38,SRP378977,2040,,
SRR21096703,AMP-GEN-STR-SSS-SXT-TET,WGS,300,419428909,PRJNA756559,SAMN27524937,Pathogen.env,199507074,NML,NML,31/07/2015,public,"sra,wgmlst_sig,realign,fastq","ncbi,s3,gs","s3.us-east-1,ncbi.public,gs.US",SRX17110648,Canada,North America,Canada: QUEBEC,Illumina MiSeq,Not applicable,chicken,Not collected,N18-03489,PAIRED,RANDOM,GENOMIC,Escherichia coli,"IncHI2, IncHI2A",ILLUMINA,2022-08-17T00:00:00Z,N18-03489,297,SRP378977,328,,
SRR21096704,GEN-SXT,WGS,297,214706713,PRJNA756559,SAMN27524859,Pathogen.cl,96859898,NML,NML,31/07/2016,public,"sra,realign,wgmlst_sig,fastq","gs,ncbi,s3","gs.US,s3.us-east-1,ncbi.public",SRX17110647,Canada,North America,Canada: ALBERTA,Illumina MiSeq,Not applicable,human,Not collected,N18-02273,PAIRED,RANDOM,GENOMIC,Escherichia coli,IncFII(pRSB107),ILLUMINA,2022-08-17T00:00:00Z,N18-02273,101,SRP378977,131,E. coli gastroenteritis,Homo sapiens
SRR21096705,GEN-STR-SSS,WGS,300,467750967,PRJNA756559,SAMN27525040,Pathogen.env,207207942,NML,NML,31/07/2014,public,"wgmlst_sig,fastq,realign,sra","ncbi,s3,gs","ncbi.public,s3.us-east-1,gs.US",SRX17110646,Canada,North America,Canada: NEW BRUNSWICK,Illumina MiSeq,Not applicable,chicken,Not collected,N18-03748,PAIRED,RANDOM,GENOMIC,Escherichia coli,"IncFIB(AP001918), IncI1",ILLUMINA,2022-08-17T00:00:00Z,N18-03748,1201,SRP378977,117,,
SRR21096706,GEN-STR-SSS,WGS,300,496364596,PRJNA756559,SAMN27524758,Pathogen.env,232730275,NML,NML,31/07/2017,public,"realign,fastq,wgmlst_sig,sra","s3,gs,ncbi","gs.US,s3.us-east-1,ncbi.public",SRX17110645,Canada,North America,Canada: QUEBEC,Illumina MiSeq,Not applicable,chicken,Not collected,N18-01467,PAIRED,RANDOM,GENOMIC,Escherichia coli,"IncFIA, IncFIB(AP001918), IncI1, IncI2",ILLUMINA,2022-08-17T00:00:00Z,N18-01467,1193,SRP378977,2253,,
SRR21096707,GEN-STR-SSS,WGS,299,511209010,PRJNA756559,SAMN27524761,Pathogen.env,236393513,NML,NML,31/07/2017,public,"wgmlst_sig,fastq,realign,sra","ncbi,gs,s3","gs.US,s3.us-east-1,ncbi.public",SRX17110644,Canada,North America,Canada: BRITISH COLUMBIA,Illumina MiSeq,Not applicable,chicken,Not collected,N18-01477,PAIRED,RANDOM,GENOMIC,Escherichia coli,"IncFIA, IncFIB(AP001918), IncI1",ILLUMINA,2022-08-17T00:00:00Z,N18-01477,131,SRP378977,1304,,
SRR21096708,CIP-GEN-MXF,WGS,300,457240181,PRJNA756559,SAMN27524831,Pathogen.cl,202323812,NML,NML,31/07/2015,public,"wgmlst_sig,sra,fastq,realign","s3,ncbi,gs","s3.us-east-1,ncbi.public,gs.US",SRX17110643,Canada,North America,Canada: SASKATCHEWAN,Illumina MiSeq,Not applicable,human,Not collected,N18-02245,PAIRED,RANDOM,GENOMIC,Escherichia coli,"Col(BS512), Col156, IncFIA",ILLUMINA,2022-08-17T00:00:00Z,N18-02245,131,SRP378977,131,E. coli gastroenteritis,Homo sapiens
