Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,BioSampleModel,Bytes,Center Name,Collection_Date,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,geo_loc_name_country,geo_loc_name_country_continent,geo_loc_name,Host,Instrument,Isolate,Isolation_Source,Sample ID,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,Sample Name,SAMPLE_TYPE,SRA Study,STRAIN,Dataset,Sample_type,ST,ampicillin_MIC,ampicillin_RIS,ampicillin_genotypic_prediction_v.1,pbp5,vancomycin_MIC,vancomycin_RIS,vancomycin_genotypic_prediction,VanA_depth,VanA_diffs,VanH.Pt_depth,VanX_depth,VanX_diffs,VanY.A_depth,VanY.A_diffs,VanR.A_depth,VanS.A_depth,VanB_depth,VanB_diffs,VanH.B_depth,VanX.B_depth,VanY.B_depth,VanR.B_depth,VanS.B_depth,gentamicin.high.level_RIS,gentamicin_genotypic_prediction,Aac6.Aph2_depth,Aac6.Aph2_diffs,Aph3..Ia_depth,Aph3..Ia_diffs,Aph3.III_depth,Aph3.III_diffs,Aac6.Ii_depth,Aac6.Ii_diffs,Ant6.Ia_depth,Ant6.Ia_diffs,ciprofloxacin_MIC,ciprofloxacin_RIS,ciprofloxacin_genotypic_prediction,levofloxacin_MIC,levofloxacin_RIS,levofloxacin_genotypic_prediction,gyrA 84,parC 82,tetracycline_MIC,tetracycline_RIS,tetracycline_genotypic_prediction,doxycycline_MIC,doxycycline_RIS,doxycycline_genotypic_prediction_v.1,TetL_depth,TetL_diffs,TetM_depth,TetM_diffs,TetS_depth,TetS_diffs,TetU_depth,TetU_diffs,linezolid_MIC,linezolid_RIS,linezolid_genotypic_prediction,23S_G2576T_AlleleFraction,poxtA,cfrB
SRR16347057,WGS,273,808509131,PRJNA771404,SAMN22135419,"Microbe\, viral or environmental",357517586,MASSACHUSETTS GENERAL HOSPITAL,2019-04,public,"sra,fastq","s3,gs","s3.us-east-1,gs.US",SRX12624820,USA,North America,USA: Boston,Homo sapiens,Illumina HiSeq X,P-17961,"tissue\, acetabulum",Efm-337,PAIRED,RANDOM,GENOMIC,Enterococcus faecium,ILLUMINA,2021-10-15T00:00:00Z,Efm-337,Isolate,SRP341454,not available,Validation,"tissue, acetabulum",736,32,R,R,485A,32,R,R,166.034,1snp,236.145,194.216,34snp,323.353,0 snps,217.436,228.23,NA,NA,NA,NA,NA,NA,NA,S,S,NA,NA,NA,NA,218.873,0 snps,77.673,2snp,297.438,1indel,8,R,R,8,R,R,R,R,16,R,R,1,S,R,140.795,1snp34holes,107.59,53snp2indel55holes,NA,NA,NA,NA,2,S,S,0,NA,NA
SRR16347058,WGS,288,758092678,PRJNA771404,SAMN22135418,"Microbe\, viral or environmental",303163563,MASSACHUSETTS GENERAL HOSPITAL,2019-04,public,"sra,fastq","s3,gs","s3.us-east-1,gs.US",SRX12624819,USA,North America,USA: Boston,Homo sapiens,Illumina HiSeq X,P-4667,"bone\,toe",Efm-336,PAIRED,RANDOM,GENOMIC,Enterococcus faecium,ILLUMINA,2021-10-15T00:00:00Z,Efm-336,Isolate,SRP341454,not available,Validation,"bone,toe",1516,32,R,R,485A,32,R,R,265.757,1snp,320.881,261.246,34snp,419.114,0 snps,267.806,317.663,NA,NA,NA,NA,NA,NA,NA,S,S,251.536,129holes,NA,NA,283.696,0 snps,104.805,2snp,359.059,1indel,8,R,R,8,R,R,R,R,16,R,R,8,I,R,NA,NA,113.706,55snp1indel,NA,NA,NA,NA,2,S,S,0,NA,NA
SRR16347059,WGS,289,534602373,PRJNA771404,SAMN22135417,"Microbe\, viral or environmental",214606892,MASSACHUSETTS GENERAL HOSPITAL,2019-04,public,"fastq,sra","gs,s3","gs.US,s3.us-east-1",SRX12624818,USA,North America,USA: Boston,Homo sapiens,Illumina HiSeq X,P-10823,urine,Efm-335,PAIRED,RANDOM,GENOMIC,Enterococcus faecium,ILLUMINA,2021-10-15T00:00:00Z,Efm-335,Isolate,SRP341454,not available,Validation,urine,17,32,R,R,485A,32,R,R,167.592,1snp,186.681,158.472,34snp,242.727,1snp,120.237,130.041,NA,NA,NA,NA,NA,NA,NA,S,S,146.173,129holes,NA,NA,195.162,1snp,84.316,2snp,223.372,1indel13holes,8,R,R,8,R,R,Y,R,16,R,R,4,S,R,NA,NA,95.776,53snp1indel2holes,NA,NA,426.207,2snp1indel,2,S,S,0,NA,NA
SRR16347060,WGS,288,478905156,PRJNA771404,SAMN22135416,"Microbe\, viral or environmental",194833116,MASSACHUSETTS GENERAL HOSPITAL,2019-04,public,"sra,fastq","s3,gs","gs.US,s3.us-east-1",SRX12624817,USA,North America,USA: Boston,Homo sapiens,Illumina HiSeq X,P-2234,blood,Efm-334,PAIRED,RANDOM,GENOMIC,Enterococcus faecium,ILLUMINA,2021-10-15T00:00:00Z,Efm-334,Isolate,SRP341454,not available,Validation,blood,17,NA,R,R,485A,32,R,R,159.924,1snp,186.906,149.707,34snp,217.625,1snp,189.455,193.259,NA,NA,NA,NA,NA,NA,NA,NA,NA,120.37,129holes,NA,NA,192.412,1snp,72.464,2snp,194.902,1indel,NA,NA,R,NA,R,R,Y,R,NA,R,R,NA,I,R,NA,NA,79.793,53snp1indel9holes,NA,NA,299.53,3snp,NA,S,S,0,NA,NA
SRR16347061,WGS,287,660773876,PRJNA771404,SAMN22135415,"Microbe\, viral or environmental",269133103,MASSACHUSETTS GENERAL HOSPITAL,2019-04,public,"sra,fastq","gs,s3","gs.US,s3.us-east-1",SRX12624816,USA,North America,USA: Boston,Homo sapiens,Illumina HiSeq X,P-12265,"wound\, pelvis",Efm-333,PAIRED,RANDOM,GENOMIC,Enterococcus faecium,ILLUMINA,2021-10-15T00:00:00Z,Efm-333,Isolate,SRP341454,not available,Validation,"wound, pelvis",736,32,R,R,485A,32,R,R,85.205,0 snps,108.109,88.087,34snp,137.276,0 snps,112.755,122.055,NA,NA,NA,NA,NA,NA,NA,S,S,NA,NA,NA,NA,NA,NA,111.358,2snp,NA,NA,8,R,R,8,R,R,R,R,16,R,R,16,R,R,137.88,2snp34holes,104.186,57snp41holes,NA,NA,NA,NA,2,S,S,0,NA,NA
SRR16347062,WGS,273,550075484,PRJNA771404,SAMN22135414,"Microbe\, viral or environmental",246612648,MASSACHUSETTS GENERAL HOSPITAL,2019-03,public,"fastq,sra","s3,gs","gs.US,s3.us-east-1",SRX12624815,USA,North America,USA: Boston,Homo sapiens,Illumina HiSeq X,P-1545,urine,Efm-332,PAIRED,RANDOM,GENOMIC,Enterococcus faecium,ILLUMINA,2021-10-15T00:00:00Z,Efm-332,Isolate,SRP341454,not available,Validation,urine,17,NA,R,R,485A,NA,R,R,359.539,1snp,563.428,450.115,34snp,769.76,1snp,478.116,592.188,NA,NA,NA,NA,NA,NA,NA,NA,NA,183.215,129holes,NA,NA,NA,NA,44.085,2snp,NA,NA,NA,NA,R,NA,R,R,Y,R,NA,R,R,NA,S,R,NA,NA,75.569,54snp1indel1holes,NA,NA,588.755,3snp,NA,S,S,0,NA,NA
SRR16347063,WGS,276,429707413,PRJNA771404,SAMN22135413,"Microbe\, viral or environmental",191364670,MASSACHUSETTS GENERAL HOSPITAL,2019-03,public,"fastq,sra","s3,gs","s3.us-east-1,gs.US",SRX12624814,USA,North America,USA: Boston,Homo sapiens,Illumina HiSeq X,P-14514,"tissue\, groin",Efm-331,PAIRED,RANDOM,GENOMIC,Enterococcus faecium,ILLUMINA,2021-10-15T00:00:00Z,Efm-331,Isolate,SRP341454,not available,Validation,"tissue, groin",18,32,R,R,485A,32,R,R,107.089,1snp,127.247,100.61,34snp,163.907,1snp,94.453,129.384,NA,NA,NA,NA,NA,NA,NA,S,S,148.938,135holes,NA,NA,NA,NA,45.273,2snp,159.278,0 snps,8,R,R,8,R,R,Y,R,16,R,R,8,I,R,NA,NA,73.182,47snp1indel50holes,NA,NA,NA,NA,2,S,S,0,NA,NA
SRR16347064,WGS,285,141021309,PRJNA771404,SAMN22135116,"Microbe\, viral or environmental",57741893,MASSACHUSETTS GENERAL HOSPITAL,2016-05,public,"sra,fastq","gs,s3","gs.US,s3.us-east-1",SRX12624813,USA,North America,USA: Boston,Homo sapiens,NextSeq 500,P-16564,rectal,Efm-34,PAIRED,RANDOM,GENOMIC,Enterococcus faecium,ILLUMINA,2021-10-15T00:00:00Z,Efm-34,Isolate,SRP341454,not available,Derivation,rectal,1471,32,R,R,485A,32,R,R,125.798,1snp,195.305,145.415,34snp,104.933,1snp,112.301,161.453,NA,NA,NA,NA,NA,NA,NA,R,R,188.052,1snp,NA,NA,NA,NA,14.795,2snp,85.1,1snp,8,R,R,8,R,R,Y,R,16,R,R,16,R,R,21.38,1snp34holes,43.049,16snp,NA,NA,468.865,2snp,2,S,S,0,NA,NA
SRR16347065,WGS,274,508661587,PRJNA771404,SAMN22135412,"Microbe\, viral or environmental",227481471,MASSACHUSETTS GENERAL HOSPITAL,2019-03,public,"fastq,sra","gs,s3","s3.us-east-1,gs.US",SRX12624812,USA,North America,USA: Boston,Homo sapiens,Illumina HiSeq X,P-18956,bone,Efm-330,PAIRED,RANDOM,GENOMIC,Enterococcus faecium,ILLUMINA,2021-10-15T00:00:00Z,Efm-330,Isolate,SRP341454,not available,Validation,bone,736,32,R,R,485A,32,R,R,104.044,1snp,144.376,124.438,34snp,210.568,0 snps,141.052,167.713,NA,NA,NA,NA,NA,NA,NA,S,S,168.178,129holes,NA,NA,114.569,0 snps,48.055,2snp,186.821,1indel,8,R,R,8,R,R,R,R,16,R,R,16,R,R,69.472,1snp34holes,65.892,50snp85holes,NA,NA,NA,NA,2,S,S,0,NA,NA
SRR16347066,WGS,282,563466659,PRJNA771404,SAMN22135411,"Microbe\, viral or environmental",235547248,MASSACHUSETTS GENERAL HOSPITAL,2019-03,public,"fastq,sra","gs,s3","s3.us-east-1,gs.US",SRX12624811,USA,North America,USA: Boston,Homo sapiens,Illumina HiSeq X,P-1755,"wound\, great toe",Efm-329,PAIRED,RANDOM,GENOMIC,Enterococcus faecium,ILLUMINA,2021-10-15T00:00:00Z,Efm-329,Isolate,SRP341454,not available,Validation,"wound, great toe",736,32,R,R,485A,32,R,R,171.951,1snp,240.739,202.793,34snp,293.036,0 snps,198.571,223.631,NA,NA,NA,NA,NA,NA,NA,S,S,NA,NA,NA,NA,206.302,0 snps,93.135,2snp,286.587,1indel,8,R,R,8,R,R,R,R,16,R,R,16,R,R,123.035,1snp34holes,103.986,53snp38holes,NA,NA,NA,NA,2,S,S,0,NA,NA
SRR16347067,WGS,280,594374357,PRJNA771404,SAMN22135410,"Microbe\, viral or environmental",250873550,MASSACHUSETTS GENERAL HOSPITAL,2019-03,public,"fastq,sra","gs,s3","s3.us-east-1,gs.US",SRX12624810,USA,North America,USA: Boston,Homo sapiens,Illumina HiSeq X,P-8179,urine,Efm-328,PAIRED,RANDOM,GENOMIC,Enterococcus faecium,ILLUMINA,2021-10-15T00:00:00Z,Efm-328,Isolate,SRP341454,not available,Validation,urine,736,32,R,R,485A,32,R,R,193.578,1snp,254.282,209.782,34snp,348.567,0 snps,246.826,268.343,NA,NA,NA,NA,NA,NA,NA,S,S,NA,NA,NA,NA,235.722,0 snps,92.365,2snp,325.505,1indel,8,R,R,8,R,R,R,R,16,R,R,16,R,R,137.676,1snp34holes,119.828,61snp11holes,NA,NA,NA,NA,2,S,S,0,NA,NA
SRR16347068,WGS,282,400350030,PRJNA771404,SAMN22135409,"Microbe\, viral or environmental",166024668,MASSACHUSETTS GENERAL HOSPITAL,2019-03,public,"sra,fastq","gs,s3","gs.US,s3.us-east-1",SRX12624809,USA,North America,USA: Boston,Homo sapiens,Illumina HiSeq X,P-10500,"wound\, suprapubic",Efm-327,PAIRED,RANDOM,GENOMIC,Enterococcus faecium,ILLUMINA,2021-10-15T00:00:00Z,Efm-327,Isolate,SRP341454,not available,Validation,"wound, suprapubic",736,32,R,R,485A,32,R,R,108.944,1snp,131.519,107.748,34snp,155.198,0 snps,128.347,135.735,NA,NA,NA,NA,NA,NA,NA,S,S,NA,NA,NA,NA,121.188,0 snps,59.496,2snp,149.376,1indel,8,R,R,8,R,R,R,R,16,R,R,16,R,R,91.13,1snp34holes,73.097,47snp101holes,NA,NA,NA,NA,2,S,S,0,NA,NA
SRR16347069,WGS,282,1115503920,PRJNA771404,SAMN22135408,"Microbe\, viral or environmental",460697865,MASSACHUSETTS GENERAL HOSPITAL,2019-03,public,"sra,fastq","s3,gs","s3.us-east-1,gs.US",SRX12624808,USA,North America,USA: Boston,Homo sapiens,Illumina HiSeq X,P-3661,bile,Efm-326,PAIRED,RANDOM,GENOMIC,Enterococcus faecium,ILLUMINA,2021-10-15T00:00:00Z,Efm-326,Isolate,SRP341454,not available,Validation,bile,583,2,S,S,485M,0.5,S,S,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,S,S,NA,NA,NA,NA,NA,NA,264.582,6snp,NA,NA,0.5,S,S,2,S,S,S,S,1,S,S,0.5,S,S,NA,NA,NA,NA,NA,NA,NA,NA,2,S,S,0,NA,NA
SRR16347070,WGS,284,273619853,PRJNA771404,SAMN22135407,"Microbe\, viral or environmental",110213184,MASSACHUSETTS GENERAL HOSPITAL,2019-03,public,"fastq,sra","gs,s3","s3.us-east-1,gs.US",SRX12624807,USA,North America,USA: Boston,Homo sapiens,Illumina HiSeq X,P-20622,"abscess\, midline surgical incision",Efm-325,PAIRED,RANDOM,GENOMIC,Enterococcus faecium,ILLUMINA,2021-10-15T00:00:00Z,Efm-325,Isolate,SRP341454,not available,Validation,"abscess, midline surgical incision",54,2,S,S,485M,0.5,S,S,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,S,S,NA,NA,NA,NA,NA,NA,54.935,3snp,NA,NA,0.5,S,S,2,S,S,S,S,1,S,S,0.5,S,S,NA,NA,NA,NA,NA,NA,NA,NA,2,S,S,0,NA,NA
SRR16347071,WGS,283,884966548,PRJNA771404,SAMN22135406,"Microbe\, viral or environmental",361408084,MASSACHUSETTS GENERAL HOSPITAL,2019-03,public,"sra,fastq","gs,s3","gs.US,s3.us-east-1",SRX12624806,USA,North America,USA: Boston,Homo sapiens,Illumina HiSeq X,P-10825,"aspirate\, pancreatic tail",Efm-324,PAIRED,RANDOM,GENOMIC,Enterococcus faecium,ILLUMINA,2021-10-15T00:00:00Z,Efm-324,Isolate,SRP341454,not available,Validation,"aspirate, pancreatic tail",262,32,R,R,485A,0.5,S,S,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,S,S,NA,NA,NA,NA,NA,NA,181.129,2snp,NA,NA,2,I,S,4,I,S,S,S,16,R,R,16,R,R,231.335,1snp34holes,178.971,67snp,NA,NA,NA,NA,2,S,S,0,NA,NA
SRR16347072,WGS,269,972398132,PRJNA771404,SAMN22135405,"Microbe\, viral or environmental",448244960,MASSACHUSETTS GENERAL HOSPITAL,2019-02,public,"fastq,sra","ncbi,s3,gs","ncbi.public,s3.us-east-1,gs.US",SRX12624805,USA,North America,USA: Boston,Homo sapiens,Illumina HiSeq X,P-3715,gall bladder,Efm-323,PAIRED,RANDOM,GENOMIC,Enterococcus faecium,ILLUMINA,2021-10-15T00:00:00Z,Efm-323,Isolate,SRP341454,not available,Validation,gall bladder,862,2,S,S,485M,0.5,S,S,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,S,S,NA,NA,NA,NA,NA,NA,132.907,7snp,NA,NA,1,S,S,2,S,S,S,S,1,S,S,0.5,S,S,NA,NA,NA,NA,NA,NA,NA,NA,2,S,S,0,NA,NA
SRR16347073,WGS,274,370739055,PRJNA771404,SAMN22135404,"Microbe\, viral or environmental",163536150,MASSACHUSETTS GENERAL HOSPITAL,2019-02,public,"sra,fastq","s3,gs","s3.us-east-1,gs.US",SRX12624804,USA,North America,USA: Boston,Homo sapiens,Illumina HiSeq X,P-9920,"abscess\, pelvic abscess",Efm-322,PAIRED,RANDOM,GENOMIC,Enterococcus faecium,ILLUMINA,2021-10-15T00:00:00Z,Efm-322,Isolate,SRP341454,not available,Validation,"abscess, pelvic abscess",533,2,S,S,485M,0.5,S,S,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,S,S,NA,NA,NA,NA,NA,NA,52.355,1snp,NA,NA,2,I,S,2,S,S,S,S,1,S,S,0.5,S,S,NA,NA,NA,NA,NA,NA,NA,NA,2,S,S,0,NA,NA
SRR16347074,WGS,274,354847180,PRJNA771404,SAMN22135403,"Microbe\, viral or environmental",159551301,MASSACHUSETTS GENERAL HOSPITAL,2019-02,public,"fastq,sra","s3,gs","gs.US,s3.us-east-1",SRX12624803,USA,North America,USA: Boston,Homo sapiens,Illumina HiSeq X,P-16025,urine,Efm-321,PAIRED,RANDOM,GENOMIC,Enterococcus faecium,ILLUMINA,2021-10-15T00:00:00Z,Efm-321,Isolate,SRP341454,not available,Validation,urine,17,NA,R,R,485A,NA,R,R,68.855,1snp,85.478,62.559,34snp,109.133,1snp,75.895,90.642,NA,NA,NA,NA,NA,NA,NA,NA,NA,121.717,135holes,NA,NA,3.561,3snp7holes,43.515,2snp,4.253,68holes,NA,NA,R,NA,R,R,Y,R,NA,R,R,NA,S,R,NA,NA,56.012,54snp1indel,NA,NA,232.765,3snp,NA,S,S,0,NA,NA
SRR16347075,WGS,283,136015407,PRJNA771404,SAMN22135115,"Microbe\, viral or environmental",56108756,MASSACHUSETTS GENERAL HOSPITAL,2016-05,public,"fastq,sra","gs,s3","gs.US,s3.us-east-1",SRX12624802,USA,North America,USA: Boston,Homo sapiens,NextSeq 500,P-3968,rectal,Efm-33,PAIRED,RANDOM,GENOMIC,Enterococcus faecium,ILLUMINA,2021-10-15T00:00:00Z,Efm-33,Isolate,SRP341454,not available,Derivation,rectal,1471,32,R,R,485A,32,R,R,90.031,1snp,142.951,101.595,34snp,77.51,1snp,97.884,121.279,NA,NA,NA,NA,NA,NA,NA,R,R,54.481,1snp,NA,NA,NA,NA,21.631,2snp,95.507,1snp,8,R,R,8,R,R,Y,R,16,R,R,2,I,R,21.659,1snp34holes,43.692,15snp,NA,NA,560.718,2snp,2,S,S,0,NA,NA
SRR16347076,WGS,286,825901702,PRJNA771404,SAMN22135402,"Microbe\, viral or environmental",338283247,MASSACHUSETTS GENERAL HOSPITAL,2019-02,public,"sra,fastq","s3,gs,ncbi","s3.us-east-1,ncbi.public,gs.US",SRX12624801,USA,North America,USA: Boston,Homo sapiens,Illumina HiSeq X,P-5734,"hip\,tissue",Efm-320,PAIRED,RANDOM,GENOMIC,Enterococcus faecium,ILLUMINA,2021-10-15T00:00:00Z,Efm-320,Isolate,SRP341454,not available,Validation,"hip,tissue",736,32,R,R,485A,32,R,R,212.822,1snp,275.054,253.169,33snp1indel,393.68,0 snps,235.627,299.139,NA,NA,NA,NA,NA,NA,NA,S,S,NA,NA,NA,NA,283.71,0 snps,108.095,2snp,397.897,1indel,8,R,R,8,R,R,R,R,16,R,R,16,R,R,166.818,1snp34holes,140.095,60snp22holes,NA,NA,NA,NA,2,S,S,0,NA,NA
SRR16347077,WGS,286,825655199,PRJNA771404,SAMN22135401,"Microbe\, viral or environmental",336984834,MASSACHUSETTS GENERAL HOSPITAL,2019-02,public,"sra,fastq","s3,gs","gs.US,s3.us-east-1",SRX12624800,USA,North America,USA: Boston,Homo sapiens,Illumina HiSeq X,P-13009,pleural fluid,Efm-319,PAIRED,RANDOM,GENOMIC,Enterococcus faecium,ILLUMINA,2021-10-15T00:00:00Z,Efm-319,Isolate,SRP341454,not available,Validation,pleural fluid,80,32,R,R,485A,32,R,R,221.521,1snp,299.682,229.302,34snp,404.907,1snp,265.641,325.917,NA,NA,NA,NA,NA,NA,NA,S,S,NA,NA,NA,NA,287.083,0 snps,98.087,2snp,391.434,0 snps,8,R,R,8,R,R,Y,I,2,S,S,0.5,S,S,NA,NA,NA,NA,NA,NA,NA,NA,2,S,S,0,NA,NA
SRR16347078,WGS,286,759512795,PRJNA771404,SAMN22135400,"Microbe\, viral or environmental",311467016,MASSACHUSETTS GENERAL HOSPITAL,2019-02,public,"fastq,sra","s3,gs","s3.us-east-1,gs.US",SRX12624799,USA,North America,USA: Boston,Homo sapiens,Illumina HiSeq X,P-1147,"renal\,stone",Efm-318,PAIRED,RANDOM,GENOMIC,Enterococcus faecium,ILLUMINA,2021-10-15T00:00:00Z,Efm-318,Isolate,SRP341454,not available,Validation,"renal,stone",736,32,R,R,485A,1,S,S,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,S,S,227.878,1snp129holes,NA,NA,NA,NA,107.845,2snp,NA,NA,8,R,R,8,R,R,R,R,16,R,R,16,R,R,138.165,1snp34holes,123.155,58snp1indel28holes,NA,NA,NA,NA,2,S,S,0,NA,NA
SRR16347079,WGS,287,315267485,PRJNA771404,SAMN22135399,"Microbe\, viral or environmental",123014155,MASSACHUSETTS GENERAL HOSPITAL,2019-02,public,"sra,fastq","gs,s3","gs.US,s3.us-east-1",SRX12624798,USA,North America,USA: Boston,Homo sapiens,Illumina HiSeq X,P-7864,stool,Efm-317,PAIRED,RANDOM,GENOMIC,Enterococcus faecium,ILLUMINA,2021-10-15T00:00:00Z,Efm-317,Isolate,SRP341454,not available,Validation,stool,736,32,R,R,485A,32,R,R,94.447,1snp,131.398,90.715,34snp,170.655,0 snps,115.993,125.12,NA,NA,NA,NA,NA,NA,NA,S,S,NA,NA,NA,NA,115.45,0 snps,44.8,2snp,171.22,1indel13holes,8,R,R,8,R,R,R,R,16,R,R,16,R,R,79.515,1snp34holes,70.289,39snp147holes,NA,NA,NA,NA,2,S,S,0,NA,NA
SRR16347080,WGS,286,327922313,PRJNA771404,SAMN22135398,"Microbe\, viral or environmental",128916110,MASSACHUSETTS GENERAL HOSPITAL,2019-02,public,"sra,fastq","gs,s3","gs.US,s3.us-east-1",SRX12624797,USA,North America,USA: Boston,Homo sapiens,Illumina HiSeq X,P-18959,rectal,Efm-316,PAIRED,RANDOM,GENOMIC,Enterococcus faecium,ILLUMINA,2021-10-15T00:00:00Z,Efm-316,Isolate,SRP341454,not available,Validation,rectal,736,32,R,R,485A,32,R,R,89.737,1snp,134.201,92.862,35snp,183.365,0 snps,119.109,141.129,NA,NA,NA,NA,NA,NA,NA,S,S,NA,NA,NA,NA,132.111,0 snps,44.824,2snp,173.58,1indel,8,R,R,8,R,R,R,R,16,R,R,16,R,R,76.129,1snp34holes,65.363,58snp22holes,NA,NA,NA,NA,2,S,S,0,NA,NA
SRR16347081,WGS,287,337091538,PRJNA771404,SAMN22135397,"Microbe\, viral or environmental",131315785,MASSACHUSETTS GENERAL HOSPITAL,2019-02,public,"sra,fastq","gs,s3","gs.US,s3.us-east-1",SRX12624796,USA,North America,USA: Boston,Homo sapiens,Illumina HiSeq X,P-17849,rectal,Efm-315,PAIRED,RANDOM,GENOMIC,Enterococcus faecium,ILLUMINA,2021-10-15T00:00:00Z,Efm-315,Isolate,SRP341454,not available,Validation,rectal,NF,32,R,R,485A,32,R,R,94.751,1snp,139.045,116.761,32snp2indel,179.465,1snp,128.637,143.05,NA,NA,NA,NA,NA,NA,NA,S,S,NA,NA,NA,NA,NA,NA,55.04,2snp,NA,NA,8,R,R,8,R,R,R,R,16,R,R,16,R,R,86.901,1snp34holes,69.345,42snp107holes,NA,NA,NA,NA,2,S,S,0,NA,NA
SRR16347082,WGS,287,930989360,PRJNA771404,SAMN22135396,"Microbe\, viral or environmental",373045241,MASSACHUSETTS GENERAL HOSPITAL,2019-02,public,"sra,fastq","s3,gs","gs.US,s3.us-east-1",SRX12624795,USA,North America,USA: Boston,Homo sapiens,Illumina HiSeq X,P-18398,abdominal,Efm-314,PAIRED,RANDOM,GENOMIC,Enterococcus faecium,ILLUMINA,2021-10-15T00:00:00Z,Efm-314,Isolate,SRP341454,not available,Validation,abdominal,NF*,32,R,R,485A,32,R,R,293.686,1snp,420.232,354.821,34snp,595.216,0 snps,394.818,430.984,NA,NA,NA,NA,NA,NA,NA,S,S,553.274,129holes,NA,NA,385.082,0 snps,178.062,2snp,567.896,1indel,8,R,R,8,R,R,Y,R,16,R,R,16,R,R,229.85,1snp34holes,401.881,15snp,NA,NA,NA,NA,2,S,S,0,NA,NA
SRR16347083,WGS,286,240365347,PRJNA771404,SAMN22135395,"Microbe\, viral or environmental",96944594,MASSACHUSETTS GENERAL HOSPITAL,2019-01,public,"sra,fastq","gs,s3","gs.US,s3.us-east-1",SRX12624794,USA,North America,USA: Boston,Homo sapiens,Illumina HiSeq X,P-21723,stone,Efm-313,PAIRED,RANDOM,GENOMIC,Enterococcus faecium,ILLUMINA,2021-10-15T00:00:00Z,Efm-313,Isolate,SRP341454,not available,Validation,stone,1283,32,R,R,485A,32,R,R,84.737,1snp,109.132,87.172,34snp,146.999,0 snps,94.753,94.39,NA,NA,NA,NA,NA,NA,NA,S,S,NA,NA,NA,NA,94.948,0 snps,26.335,2snp,127.563,1indel,8,R,R,8,R,R,Y,I,16,R,R,16,R,R,145.757,0 snps,104.245,73snp28holes,NA,NA,NA,NA,2,S,S,0,NA,NA
SRR16347084,WGS,286,1013120065,PRJNA771404,SAMN22135394,"Microbe\, viral or environmental",394719732,MASSACHUSETTS GENERAL HOSPITAL,2019-01,public,"fastq,sra","s3,gs","gs.US,s3.us-east-1",SRX12624793,USA,North America,USA: Boston,Homo sapiens,Illumina HiSeq X,P-7661,blood,Efm-312,PAIRED,RANDOM,GENOMIC,Enterococcus faecium,ILLUMINA,2021-10-15T00:00:00Z,Efm-312,Isolate,SRP341454,not available,Validation,blood,18,32,R,R,485A,32,R,R,302.41,2snp,433.162,373.664,34snp,627.321,1snp,419.141,467.575,NA,NA,NA,NA,NA,NA,NA,S,S,435.224,129holes,NA,NA,400.246,1snp,131.289,2snp,617.285,1indel,8,R,R,8,R,R,Y,R,16,R,R,8,I,R,NA,NA,213.597,54snp1indel,NA,NA,257.536,3snp,2,S,S,0,NA,NA
SRR16347085,WGS,286,292453886,PRJNA771404,SAMN22135393,"Microbe\, viral or environmental",117789816,MASSACHUSETTS GENERAL HOSPITAL,2019-01,public,"fastq,sra","s3,gs","gs.US,s3.us-east-1",SRX12624792,USA,North America,USA: Boston,Homo sapiens,Illumina HiSeq X,P-8991,urine,Efm-311,PAIRED,RANDOM,GENOMIC,Enterococcus faecium,ILLUMINA,2021-10-15T00:00:00Z,Efm-311,Isolate,SRP341454,not available,Validation,urine,736,32,R,R,485A,32,R,R,67.37,1snp,80.288,76.272,34snp,111.124,0 snps,75.628,79.424,NA,NA,NA,NA,NA,NA,NA,S,S,NA,NA,NA,NA,81.912,0 snps,34.251,2snp,109.255,1indel,8,R,R,8,R,R,R,R,16,R,R,16,R,R,54.251,1snp34holes,49.452,53snp25holes,NA,NA,NA,NA,2,S,S,0,NA,NA
