Assembly,Level,WGS,BioSample,Strain,Taxonomy,NewBaps,Genome.Set,Pathogen,Serotype,Source,Year,P__MLSB_Erythromycin,P__MLSB_Tilmicosin,P__MLSB_Tylosin,P__MLSB_Lincomycin,P__Pleuro_Tiamulin,G__MLSB_ermB_M_O,G__MLSB_ermG_M_S,G__MLSB_ermT_M_S,G__MLSB_linB_M_O,G__MLSB_lnuB__M_O,G__MLSB_lnuC_M_O,G__MLSB_mefA_M_O,G__MLSB__msrD_M_O,G__Pleuro_lsaE_M_O,G__Pleuro_vgaF_C_N,P__Fluoro_Enrofloxacin,P__Fluoro_Marbofloxacin,G__Fluoro_GyrA_81_V_O,G__Fluoro_GyrA_85_V_O,G__Fluoro_ParC_79_V_O,P__Tetra_Tetracycline,P__Tetra_Doxycycline,G__Tetra_tet44_M_S,G__Tetra_tetM__M_O,G__Tetra_tetO_M_O,G__Tetra_tetW__M_O,G__Tetra_tet_40_M_O,G__Tetra_tetL_M_O,G__Tetra_tet_O.W.32.O_M_O,G__Tetra_tetM1_M_S,G__Tetra_tetM2__M_S,G__Tetra_tetM3__M_S,G__Tetra_tetO1_M_S,P__Amino_Spectinomycin,G__Amino_ant_4_Ib_M_S,G__Amino_ant_6_Ia_M_O,G__Amino_ant_6_Ib_M_S,G__Amino_ant_9_Ia_M_O,G__Amino_aph_3_IIIa_M_S,G__Amino_ant_1_M_U,G__Amino_aadE1_M_U,G__Amino_aadE2_M_U,P__TMP_Trimethoprim,G__TMP_DHFR_102_V_N,G__TMP_DHFRPromoter_S_N,G__TMP_dfrF_M_S,G__TMP_dfrK_M_S,P__Phen_Florifenicol,G__Phen_cat_M_S,P__Beta_Amoxicillin,P__Beta_Cefquinome,P__Beta_Ceftiofur,P__Beta_Penicillin,G__Beta_PBP2B.hap_V_N,G__Beta_PBP2X.hap_V_N,G__Beta_PBP2X_551_V_N,G__Beta_PBP2X_569_V_O,G__Beta_PBP2X_594.596_V_O,G__Beta_MraY.hap_V_N
GCA_013200395.1,Contig,JABLGH000000000,SAMN14933179,SS995,Streptococcus suis,4,Lola_UK,SYS-OTHER,14,Pig,2010,32,128,256,128,2,yes,no,no,no,no,no,no,no,no,no,0.5,1,no,no,no,32,8,no,no,yes,no,no,no,no,no,no,no,no,16,no,no,no,no,no,no,no,no,0.06,no,no,no,no,2,no,0.03,0.03,0.25,0.03,no,no,no,no,no,no
GCA_013200355.1,Contig,JABLGK000000000,SAMN14933182,SS998,Streptococcus suis,4,Lola_UK,RESP,2,Pig,2010,0.03,4,1,2,2,no,no,no,no,no,no,no,no,no,no,0.5,1,no,no,no,1,0.06,no,no,no,no,no,no,no,no,no,no,no,16,no,no,no,no,no,no,no,no,0.06,no,no,no,no,2,no,0.03,0.015,0.12,0.03,no,no,no,no,no,no
GCA_013200335.1,Contig,JABLGL000000000,SAMN14933183,SS999,Streptococcus suis,1,Lola_UK,RESP,3,Pig,2010,0.015,4,0.5,0.5,1,no,no,no,no,no,no,no,no,no,no,0.5,0.015,no,no,no,0.5,0.06,no,no,no,no,no,no,no,no,no,no,no,16,no,no,no,no,no,no,no,no,0.03,no,no,no,no,1,no,0.03,0.008,0.12,0.03,no,no,no,no,no,no
GCA_013200325.1,Contig,JABLGN000000000,SAMN14933185,TMW_SS002,Streptococcus suis,4,RCUK_APHA,UNKNOWN,2,Pig,NA,32,128,256,128,1,yes,no,no,no,no,no,no,no,no,no,0.5,1,no,no,no,32,8,no,no,yes,no,no,no,no,no,no,no,no,16,no,no,no,no,no,no,no,no,0.06,no,no,no,no,2,no,0.03,0.015,0.12,0.03,no,no,no,no,no,no
GCA_013200315.1,Contig,JABLGM000000000,SAMN14933184,TMW_SS001,Streptococcus suis,4,RCUK_APHA,UNKNOWN,2,Pig,NA,0.03,4,0.5,1,2,no,no,no,no,no,no,no,no,no,no,0.5,1,no,no,no,0.5,0.06,no,no,no,no,no,no,no,no,no,no,no,32,no,no,no,no,no,no,no,no,0.06,no,no,no,no,2,no,0.03,0.015,0.12,0.03,no,no,no,no,no,no
GCA_013200295.1,Contig,JABLGO000000000,SAMN14933186,TMW_SS003,Streptococcus suis,28,RCUK_APHA,UNKNOWN,NA,Pig,NA,32,128,256,128,1,yes,no,no,no,no,no,no,no,no,no,0.25,0.5,no,no,no,64,16,no,no,yes,no,no,no,no,no,no,no,no,16,no,no,no,no,no,no,no,no,0.5,yes,yes,no,no,4,no,0.03,0.015,0.12,0.03,no,no,no,no,no,no
GCA_013200245.1,Contig,JABLGP000000000,SAMN14933187,TMW_SS004,Streptococcus suis,5,RCUK_APHA,UNKNOWN,8,Pig,NA,32,128,256,128,1,yes,no,no,no,no,no,no,no,no,no,0.25,0.5,no,no,no,32,8,no,no,no,yes,no,no,no,no,no,no,no,16,no,no,no,no,no,no,no,no,0.03,no,no,no,no,2,no,0.03,0.03,0.12,0.03,no,no,no,no,no,no
GCA_013200255.1,Contig,JABLGQ000000000,SAMN14933188,TMW_SS005,Streptococcus suis,26,RCUK_APHA,RESP,01-Feb,Pig,2013,32,128,256,128,1,yes,no,no,no,no,no,no,no,no,no,0.25,0.5,no,no,no,64,16,no,no,yes,no,no,no,no,no,no,no,no,8,no,no,no,no,no,no,no,no,0.03,no,no,no,no,4,no,0.03,0.008,0.06,0.03,no,no,no,no,no,no
GCA_013200225.1,Contig,JABLGR000000000,SAMN14933189,TMW_SS006,Streptococcus suis,4,RCUK_APHA,SYS-OTHER,2,Pig,2013,32,128,256,128,2,yes,no,no,no,no,no,no,no,no,no,0.5,1,no,no,no,32,16,no,no,yes,no,no,no,no,no,no,no,no,16,no,no,no,no,no,no,no,no,0.06,no,no,no,no,2,no,0.03,0.015,0.12,0.03,no,no,no,no,no,no
GCA_013200205.1,Contig,JABLHG000000000,SAMN14933204,TMW_SS021,Streptococcus suis,22,RCUK_APHA,SYS-OTHER,29,Pig,2013,32,128,256,128,0.5,yes,no,no,no,no,no,no,no,no,no,0.25,0.5,no,no,no,64,16,no,yes,no,no,no,no,no,no,yes,no,no,8,no,no,no,no,no,no,no,no,0.25,no,no,no,no,2,no,0.03,0.03,0.12,0.03,yes,no,no,no,no,no
GCA_013200195.1,Contig,JABLHF000000000,SAMN14933203,TMW_SS020,Streptococcus suis,13,RCUK_APHA,UNKNOWN,NA,Pig,2013,32,128,256,128,16,yes,no,no,no,no,no,no,no,no,yes,0.5,1,no,no,no,64,16,no,no,yes,no,no,no,no,no,no,no,no,16,no,no,no,no,no,no,no,no,0.25,no,no,no,no,2,no,0.03,0.03,0.5,0.12,no,no,yes,no,no,no
GCA_013200175.1,Contig,JABLHH000000000,SAMN14933205,TMW_SS022,Streptococcus suis,4,RCUK_APHA,SYS-BRAIN,2,Pig,2013,0.03,4,0.5,1,2,no,no,no,no,no,no,no,no,no,no,0.25,0.5,no,no,no,32,8,no,no,yes,no,no,no,no,no,no,no,no,16,no,no,no,no,no,no,no,no,0.06,no,no,no,no,2,no,0.03,0.015,0.12,0.03,no,no,no,no,no,no
GCA_013200155.1,Contig,JABLHI000000000,SAMN14933206,TMW_SS023,Streptococcus suis,4,RCUK_APHA,SYS-OTHER,1,Pig,2013,32,128,256,128,1,yes,no,no,no,no,no,no,no,no,no,0.5,1,no,no,no,32,8,no,no,yes,no,no,no,no,no,no,no,no,16,no,no,no,no,no,no,no,no,0.06,no,no,no,no,2,no,0.03,0.015,0.12,0.03,no,no,no,no,no,no
GCA_013200095.1,Contig,JABLHL000000000,SAMN14933209,TMW_SS026,Streptococcus suis,24,RCUK_APHA,UNKNOWN,3,Pig,2013,0.03,4,1,0.25,1,no,no,no,no,no,no,no,no,no,no,0.25,0.5,no,no,no,1,0.5,no,no,no,no,no,no,no,no,no,no,no,16,no,no,no,no,no,no,no,no,0.03,no,no,no,no,2,no,0.03,0.015,0.12,0.03,no,no,no,no,no,no
GCA_013200115.1,Contig,JABLHJ000000000,SAMN14933207,TMW_SS024,Streptococcus suis,10,RCUK_APHA,UNKNOWN,NA,Pig,2013,0.015,4,0.5,2,2,no,no,no,no,no,no,no,no,no,no,0.5,1,no,no,no,1,0.12,no,no,no,no,no,no,no,no,no,no,no,8,no,no,no,no,no,no,no,no,0.5,yes,no,no,no,1,no,0.03,0.008,0.06,0.03,no,no,no,no,no,no
GCA_013200105.1,Contig,JABLHK000000000,SAMN14933208,TMW_SS025,Streptococcus suis,4,RCUK_APHA,UNKNOWN,2,Pig,NA,32,128,256,128,1,yes,no,no,no,no,no,no,no,no,no,0.5,1,no,no,no,32,16,no,no,yes,no,no,no,no,no,no,no,no,16,no,no,no,no,no,no,no,no,0.06,no,no,no,no,2,no,0.03,0.015,0.12,0.03,no,no,no,no,no,no
GCA_013200075.1,Contig,JABLHM000000000,SAMN14933210,TMW_SS027,Streptococcus suis,5,RCUK_APHA,UNKNOWN,8,Pig,2013,32,128,256,128,0.5,yes,no,no,no,no,no,no,no,no,no,0.25,0.5,no,no,no,32,8,no,no,yes,no,no,no,no,no,no,no,no,16,no,no,no,no,no,no,no,no,2,yes,no,no,yes,2,no,0.03,0.03,0.12,0.03,no,no,no,no,no,no
GCA_013200055.1,Contig,JABLHN000000000,SAMN14933211,TMW_SS028,Streptococcus suis,22,RCUK_APHA,UNKNOWN,29,Pig,2013,32,128,256,128,0.5,yes,no,no,no,no,no,no,no,no,no,0.5,1,no,no,no,2,0.06,no,no,no,no,no,no,no,no,no,no,no,4,no,no,no,no,no,no,no,no,0.25,no,no,no,no,2,no,0.03,0.015,0.06,0.03,yes,no,no,no,no,no
GCA_013200015.1,Contig,JABLHO000000000,SAMN14933212,TMW_SS029,Streptococcus suis,10,RCUK_APHA,UNKNOWN,NA,Pig,2013,0.015,0.5,0.25,0.5,1,no,no,no,no,no,no,no,no,no,no,0.25,0.5,no,no,no,64,16,no,no,yes,no,no,no,no,no,no,no,no,4,no,no,no,no,no,no,no,no,0.03,no,no,no,no,0.5,no,0.03,0.03,0.12,0.03,no,no,no,no,no,no
GCA_013200005.1,Contig,JABLHQ000000000,SAMN14933214,TMW_SS032,Streptococcus suis,24,RCUK_APHA,UNKNOWN,3,Pig,2013,4,128,256,128,1,yes,no,no,no,no,no,no,no,no,no,0.25,0.5,no,no,no,64,8,no,no,yes,no,no,no,no,no,no,no,no,8,no,no,no,no,no,no,no,no,1,no,no,no,no,1,no,0.03,0.015,0.12,0.03,no,no,no,no,no,no
GCA_013199995.1,Contig,JABLHP000000000,SAMN14933213,TMW_SS031,Streptococcus suis,4,RCUK_APHA,UNKNOWN,1,Pig,2013,0.03,4,0.5,1,2,no,no,no,no,no,no,no,no,no,no,0.5,1,no,no,no,1,0.12,no,no,no,no,no,no,no,no,no,no,no,16,no,no,no,no,no,no,no,no,0.06,no,no,no,no,2,no,0.03,0.015,0.12,0.03,no,no,no,no,no,no
GCA_013199975.1,Contig,JABLHR000000000,SAMN14933215,TMW_SS033,Streptococcus suis,25,RCUK_APHA,UNKNOWN,01-Feb,Pig,2013,0.03,4,0.5,0.5,1,no,no,no,no,no,no,no,no,no,no,0.25,0.5,no,no,no,64,16,no,no,yes,no,no,no,no,no,no,no,no,8,no,no,no,no,no,no,no,no,0.25,yes,yes,no,no,1,no,0.03,0.008,0.06,0.03,no,no,no,no,no,no
GCA_013199955.1,Contig,JABLHV000000000,SAMN14933219,TMW_SS037,Streptococcus suis,9,RCUK_APHA,UNKNOWN,NA,Pig,2013,32,128,256,128,16,yes,no,no,no,no,no,no,no,no,yes,0.25,0.5,no,no,no,128,16,no,no,yes,no,no,no,no,no,no,no,no,16,no,no,no,no,no,no,no,no,0.12,yes,no,no,no,2,no,0.06,0.06,1,1,yes,yes,yes,no,no,no
GCA_013199925.1,Contig,JABLHX000000000,SAMN14933221,TMW_SS039,Streptococcus suis,4,RCUK_APHA,UNKNOWN,2,Pig,2013,32,128,256,128,1,yes,no,no,no,no,no,no,no,no,no,0.5,2,no,no,no,64,16,no,no,yes,no,no,no,no,no,no,no,no,16,no,no,no,no,no,no,no,no,0.06,no,no,no,no,2,no,0.03,0.015,0.12,0.03,no,no,no,no,no,no
GCA_013199905.1,Contig,JABLHW000000000,SAMN14933220,TMW_SS038,Streptococcus suis,4,RCUK_APHA,UNKNOWN,2,Pig,2013,0.03,4,1,2,2,no,no,no,no,no,no,no,no,no,no,0.5,1,no,no,no,1,0.12,no,no,no,no,no,no,no,no,no,no,no,16,no,no,no,no,no,no,no,no,0.06,no,no,no,no,2,no,0.03,0.03,0.12,0.03,no,no,no,no,no,no
GCA_013199895.1,Contig,JABLHY000000000,SAMN14933222,TMW_SS040,Streptococcus suis,4,RCUK_APHA,SYS-BRAIN,2,Pig,2013,32,128,256,128,1,yes,no,no,no,no,no,no,no,no,no,0.5,1,no,no,no,64,16,no,no,yes,no,no,no,no,no,no,no,no,16,no,no,no,no,no,no,no,no,0.06,no,no,no,no,2,no,0.03,0.015,0.12,0.03,no,no,no,no,no,no
GCA_013199875.1,Contig,JABLHZ000000000,SAMN14933223,TMW_SS041,Streptococcus suis,5,RCUK_APHA,UNKNOWN,3,Pig,2013,0.03,4,0.5,1,1,no,no,no,no,no,no,no,no,no,no,0.5,0.5,no,no,no,64,16,no,no,yes,no,no,no,no,no,no,no,no,16,no,no,no,no,no,no,no,no,0.06,no,no,no,no,2,no,0.03,0.06,0.25,0.03,no,no,no,no,no,no
GCA_013199855.1,Contig,JABLIB000000000,SAMN14933225,TMW_SS043,Streptococcus suis,4,RCUK_APHA,RESP,2,Pig,2014,32,128,256,128,1,yes,no,no,no,no,no,no,no,no,no,0.5,1,no,no,no,64,16,no,no,yes,no,no,no,no,no,no,no,no,16,no,no,no,no,no,no,no,no,0.06,no,no,no,no,2,no,0.03,0.015,0.12,0.03,no,no,no,no,no,no
GCA_013199825.1,Contig,JABLIA000000000,SAMN14933224,TMW_SS042,Streptococcus suis,5,RCUK_APHA,UNKNOWN,4,Pig,2013,32,128,256,128,1,yes,no,no,no,no,no,no,no,no,no,0.5,1,no,no,no,128,16,no,no,yes,no,no,no,no,no,no,no,no,8,no,no,no,no,no,no,no,no,0.5,yes,no,no,no,2,no,0.03,0.06,0.25,0.03,no,no,no,no,no,no
GCA_013199815.1,Contig,JABLIC000000000,SAMN14933226,TMW_SS044,Streptococcus suis,26,RCUK_APHA,UNKNOWN,01-Feb,Pig,2014,0.03,4,1,0.25,1,no,no,no,no,no,no,no,no,no,no,0.25,0.5,no,no,no,64,8,no,no,yes,no,no,no,no,no,no,no,no,16,no,no,no,no,no,no,no,no,0.03,no,no,no,no,1,no,0.03,0.015,0.12,0.03,no,no,no,no,no,no
GCA_013199775.1,Contig,JABLIF000000000,SAMN14933229,TMW_SS047,Streptococcus suis,26,RCUK_APHA,UNKNOWN,2,Pig,NA,0.03,4,1,0.5,2,no,no,no,no,no,no,no,no,no,no,0.5,1,no,no,no,64,16,no,no,yes,no,no,no,no,no,no,no,no,16,no,no,no,no,no,no,no,no,0.5,yes,no,no,no,2,no,0.03,0.015,0.12,0.03,no,no,no,no,no,no
GCA_013199785.1,Contig,JABLID000000000,SAMN14933227,TMW_SS045,Streptococcus suis,9,RCUK_APHA,UNKNOWN,NA,Pig,2014,32,128,256,128,8,yes,no,no,no,no,no,no,no,no,yes,0.5,1,no,no,no,128,16,no,no,yes,no,no,no,no,no,no,no,no,32,no,no,no,no,no,no,no,no,2,yes,yes,no,no,2,no,0.06,0.03,1,0.5,yes,yes,yes,no,no,yes
GCA_013199755.1,Contig,JABLIG000000000,SAMN14933230,TMW_SS048,Streptococcus suis,26,RCUK_APHA,RESP,2,Pig,2014,0.03,2,0.5,0.25,1,no,no,no,no,no,no,no,no,no,no,0.25,0.5,no,no,no,32,8,no,no,yes,no,no,no,no,no,no,no,no,16,no,no,no,no,no,no,no,no,0.03,no,no,no,no,1,no,0.03,0.008,0.12,0.03,no,no,no,no,no,no
GCA_013199735.1,Contig,JABLIE000000000,SAMN14933228,TMW_SS046,Streptococcus suis,26,RCUK_APHA,UNKNOWN,01-Feb,Pig,2014,0.03,4,0.5,0.25,1,no,no,no,no,no,no,no,no,no,no,0.25,0.5,no,no,no,64,8,no,no,yes,no,no,no,no,no,no,no,no,8,no,no,no,no,no,no,no,no,0.03,no,no,no,no,1,no,0.03,0.008,0.06,0.03,no,no,no,no,no,no
GCA_013199715.1,Contig,JABLIN000000000,SAMN14933237,TMW_SS055,Streptococcus suis,4,RCUK_APHA,UNKNOWN,2,Pig,2014,0.03,4,0.5,2,2,no,no,no,no,no,no,no,no,no,no,0.5,1,no,no,no,64,16,no,no,yes,no,no,no,no,no,no,no,no,16,no,no,no,no,no,no,no,no,0.06,no,no,no,no,2,no,0.03,0.03,0.12,0.03,no,no,no,no,no,no
GCA_013199695.1,Contig,JABLIH000000000,SAMN14933231,TMW_SS049,Streptococcus suis,4,RCUK_APHA,UNKNOWN,2,Pig,2014,0.03,4,0.5,2,2,no,no,no,no,no,no,no,no,no,no,0.5,1,no,no,no,1,0.06,no,no,no,no,no,no,no,no,no,no,no,16,no,no,no,no,no,no,no,no,16,yes,no,no,no,2,no,0.03,0.03,0.12,0.03,no,no,no,no,no,no
GCA_013199655.1,Contig,JABLIO000000000,SAMN14933238,TMW_SS056,Streptococcus suis,26,RCUK_APHA,UNKNOWN,2,Pig,2014,0.06,4,1,0.5,1,no,no,no,no,no,no,no,no,no,no,0.5,1,no,no,no,64,8,no,no,yes,no,no,no,no,no,no,no,no,16,no,no,no,no,no,no,no,no,0.03,no,no,no,no,1,no,0.03,0.015,0.06,0.03,no,no,no,no,no,no
GCA_013199635.1,Contig,JABLIP000000000,SAMN14933239,TMW_SS057,Streptococcus suis,26,RCUK_APHA,UNKNOWN,2,Pig,2014,0.06,4,1,0.25,1,no,no,no,no,no,no,no,no,no,no,0.5,1,no,no,no,64,16,no,no,yes,no,no,no,no,no,no,no,no,8,no,no,no,no,no,no,no,no,0.25,yes,no,no,no,1,no,0.03,0.015,0.06,0.03,no,no,no,no,no,no
GCA_013199645.1,Contig,JABLIQ000000000,SAMN14933240,TMW_SS058,Streptococcus suis,4,RCUK_APHA,UNKNOWN,2,Pig,NA,0.03,4,0.5,2,2,no,no,no,no,no,no,no,no,no,no,0.5,1,no,no,no,0.5,0.06,no,no,no,no,no,no,no,no,no,no,no,16,no,no,no,no,no,no,no,no,0.06,no,no,no,no,2,no,0.03,0.03,0.25,0.03,no,no,no,no,no,no
GCA_013199615.1,Contig,JABLIR000000000,SAMN14933241,TMW_SS059,Streptococcus suis,4,RCUK_APHA,SYS-BRAIN,1,Pig,2014,0.03,4,1,2,2,no,no,no,no,no,no,no,no,no,no,0.5,0.5,no,no,no,64,16,no,no,yes,no,no,no,no,no,no,no,no,16,no,no,no,no,no,no,no,no,0.06,no,no,no,no,2,no,0.03,0.03,0.25,0.03,no,no,no,no,no,no
GCA_013199585.1,Contig,JABLIT000000000,SAMN14933243,TMW_SS061,Streptococcus suis,4,RCUK_APHA,SYS-OTHER,2,Pig,2014,0.015,4,0.5,2,2,no,no,no,no,no,no,no,no,no,no,0.5,1,no,no,no,64,16,no,yes,no,no,no,no,no,no,yes,no,no,16,no,no,no,no,no,no,no,no,0.06,no,no,no,no,2,no,0.03,0.015,0.12,0.03,no,no,no,no,no,no
GCA_013199575.1,Contig,JABLFR000000000,SAMN14933163,SS973,Streptococcus suis,4,Lola_UK,SYS-BRAIN,2,Pig,2010,32,128,256,128,2,yes,no,no,no,no,no,no,no,no,no,0.5,1,no,no,no,32,8,no,no,yes,no,no,no,no,no,no,no,no,16,no,no,no,no,no,no,no,no,0.06,no,no,no,no,2,no,0.03,0.015,0.12,0.03,no,no,no,no,no,no
GCA_013199545.1,Contig,JABLIS000000000,SAMN14933242,TMW_SS060,Streptococcus suis,4,RCUK_APHA,SYS-BRAIN,2,Pig,2014,32,128,256,128,2,yes,no,no,no,no,no,no,no,no,no,0.5,1,no,no,no,64,16,no,no,yes,no,no,no,no,no,no,no,no,32,no,no,no,no,no,no,no,no,0.06,no,no,no,no,2,no,0.03,0.008,0.06,0.03,no,no,no,no,no,no
GCA_013199535.1,Contig,JABLIU000000000,SAMN14933244,TMW_SS062,Streptococcus suis,4,RCUK_APHA,UNKNOWN,2,Pig,2014,0.015,4,0.5,4,2,no,no,no,no,no,no,no,no,no,no,0.5,1,no,no,no,0.5,0.12,no,no,no,no,no,no,no,no,no,no,no,16,no,no,no,no,no,no,no,no,0.06,no,no,no,no,2,no,0.03,0.03,0.12,0.03,no,no,no,no,no,no
GCA_013199515.1,Contig,JABLIW000000000,SAMN14933246,TMW_SS064,Streptococcus suis,5,RCUK_APHA,UNKNOWN,8,Pig,2014,0.03,4,1,32,64,no,no,no,no,no,no,no,no,no,yes,0.25,0.5,no,no,no,32,8,no,no,yes,no,no,no,no,no,no,no,no,512,no,yes,no,yes,no,no,no,no,2,yes,no,no,yes,2,no,0.03,0.03,0.12,0.03,no,no,no,no,no,no
GCA_013199495.1,Contig,JABLIV000000000,SAMN14933245,TMW_SS063,Streptococcus suis,5,RCUK_APHA,UNKNOWN,8,Pig,2014,32,128,256,128,0.5,yes,no,no,no,no,no,no,no,no,no,0.25,0.5,no,no,no,32,8,no,no,no,yes,no,no,no,no,no,no,no,16,no,no,no,no,no,no,no,no,0.25,yes,no,no,no,2,no,0.03,0.03,0.12,0.03,no,no,no,no,no,no
GCA_013199465.1,Contig,JABLIX000000000,SAMN14933247,TMW_SS065,Streptococcus suis,5,RCUK_APHA,UNKNOWN,5,Pig,2014,0.03,4,1,1,2,no,no,no,no,no,no,no,no,no,no,0.5,0.5,no,no,no,128,16,no,no,yes,no,no,no,no,no,no,no,no,16,no,no,no,no,no,no,no,no,0.5,yes,yes,no,no,2,no,0.03,0.03,0.12,0.03,no,no,no,no,no,no
GCA_013199455.1,Contig,JABLFQ000000000,SAMN14933162,SS972,Streptococcus suis,4,Lola_UK,SYS-BRAIN,2,Pig,2010,32,128,256,128,1,yes,no,no,no,no,no,no,no,no,no,0.5,1,no,no,no,64,16,no,no,yes,no,no,no,no,no,no,no,no,16,no,no,no,no,no,no,no,no,0.06,no,no,no,no,2,no,0.03,0.03,0.12,0.03,no,no,no,no,no,no
GCA_013199425.1,Contig,JABLIZ000000000,SAMN14933249,TMW_SS069,Streptococcus suis,4,RCUK_APHA,UNKNOWN,2,Pig,2014,32,128,256,128,1,yes,no,no,no,no,no,no,no,no,no,0.5,1,no,no,no,64,16,no,no,yes,no,no,no,no,no,no,no,no,16,no,no,no,no,no,no,no,no,0.06,no,no,no,no,2,no,0.03,0.015,0.12,0.03,no,no,no,no,no,no
GCA_013199405.1,Contig,JABLIY000000000,SAMN14933248,TMW_SS066,Streptococcus suis,2,RCUK_APHA,UNKNOWN,NA,Pig,2014,0.03,4,0.5,0.5,1,no,no,no,no,no,no,no,no,no,yes,0.12,0.25,yes,no,no,32,16,no,no,yes,no,no,no,no,no,no,no,no,16,no,no,no,no,no,no,no,no,0.25,yes,no,no,no,1,no,0.03,0.06,0.5,0.25,yes,no,yes,no,no,no
GCA_013199395.1,Contig,JABLJD000000000,SAMN14933253,TMW_SS073,Streptococcus suis,5,RCUK_APHA,RESP,8,Pig,2014,0.06,64,4,16,2,no,no,no,no,no,no,no,no,no,no,0.25,0.5,no,no,no,2,0.12,no,no,no,no,no,no,no,no,no,no,no,16,no,no,no,no,no,no,no,no,0.06,no,no,no,no,2,no,0.03,0.008,0.12,0.03,no,no,no,no,no,no
GCA_013199365.1,Contig,JABLJF000000000,SAMN14933255,TMW_SS075,Streptococcus suis,8,RCUK_APHA,UNKNOWN,NA,Pig,2014,32,128,256,128,2,yes,no,no,no,no,no,no,no,no,no,0.25,2,no,no,no,64,16,no,no,yes,no,no,no,no,no,no,no,no,16,no,no,no,no,no,no,no,no,0.25,yes,no,no,no,2,no,0.03,0.06,0.5,0.25,yes,no,yes,no,no,no
GCA_013199355.1,Contig,JABLFS000000000,SAMN14933164,SS974,Streptococcus suis,25,Lola_UK,SYS-OTHER,2,Pig,2010,0.03,2,0.5,0.25,1,no,no,no,no,no,no,no,no,no,no,0.25,0.5,no,no,no,64,8,no,no,yes,no,no,no,no,no,no,no,no,16,no,no,no,no,no,no,no,no,0.12,yes,no,no,no,1,no,0.03,0.008,0.12,0.03,no,no,no,no,no,no
GCA_013199305.1,Contig,JABLJG000000000,SAMN14933256,TMW_SS076,Streptococcus suis,5,RCUK_APHA,RESP,8,Pig,2014,32,128,256,128,1,yes,no,no,no,no,no,no,no,no,no,0.25,0.5,no,no,no,64,8,no,no,yes,no,no,no,no,no,no,no,no,16,no,no,no,no,no,no,no,no,0.5,yes,no,no,no,2,no,0.03,0.015,0.12,0.03,no,no,no,no,no,no
GCA_013199315.1,Contig,JABLJA000000000,SAMN14933250,TMW_SS070,Streptococcus suis,1,RCUK_APHA,RESP,4,Pig,2014,0.03,4,1,2,2,no,no,no,no,no,no,no,no,no,no,0.25,1,no,no,no,2,0.12,no,no,no,no,no,no,no,no,no,no,no,16,no,no,no,no,no,no,no,no,0.03,no,no,no,no,1,no,0.03,0.015,0.12,0.03,no,no,no,no,no,no
GCA_013199295.1,Contig,JABLJH000000000,SAMN14933257,TMW_SS077,Streptococcus suis,4,RCUK_APHA,UNKNOWN,14,Pig,2014,32,128,256,128,4,yes,no,no,no,no,no,no,no,no,no,0.5,1,no,no,no,64,16,no,no,yes,no,no,no,no,no,no,no,no,16,no,no,no,no,no,no,no,no,2,yes,no,no,no,2,no,0.03,0.015,0.12,0.03,no,no,no,no,no,no
GCA_013199275.1,Contig,JABLJI000000000,SAMN14933258,TMW_SS078,Streptococcus suis,9,RCUK_APHA,UNKNOWN,NA,Pig,2014,0.03,4,1,8,32,no,no,no,no,no,no,no,no,no,yes,0.5,1,no,no,no,64,16,no,no,yes,no,no,no,no,no,no,no,no,32,no,no,no,no,no,no,no,no,0.5,yes,no,no,no,2,no,0.03,0.015,0.12,0.03,yes,no,no,no,no,no
GCA_013199215.1,Contig,JABLJJ000000000,SAMN14933259,TMW_SS079,Streptococcus suis,4,RCUK_APHA,RESP,2,Pig,2014,32,128,256,128,1,yes,no,no,no,no,no,no,no,no,no,0.5,2,no,no,no,64,16,no,no,yes,no,no,no,no,no,no,no,no,16,no,no,no,no,no,no,no,no,0.06,no,no,no,no,2,no,0.03,0.015,0.12,0.03,no,no,no,no,no,no
GCA_013199255.1,Contig,JABLGX000000000,SAMN14933195,TMW_SS012,Streptococcus suis,10,RCUK_APHA,UNKNOWN,NA,Pig,2013,0.015,2,0.5,1,1,no,no,no,no,no,no,no,no,no,no,0.5,1,no,no,no,1,0.12,no,no,no,no,no,no,no,no,no,no,no,16,no,no,no,no,no,no,no,no,0.5,yes,yes,no,no,1,no,0.03,0.015,0.12,0.03,no,no,no,no,no,no
GCA_013199205.1,Contig,JABLJK000000000,SAMN14933260,TMW_SS080,Streptococcus suis,28,RCUK_APHA,UNKNOWN,7,Pig,2014,32,128,256,128,1,yes,no,no,no,no,no,no,no,no,no,0.25,0.5,no,no,no,64,16,no,yes,yes,no,no,no,no,no,yes,no,no,16,no,no,no,no,no,no,no,no,0.03,no,no,no,no,2,no,0.03,0.015,0.12,0.03,no,no,no,no,no,no
GCA_013199195.1,Contig,JABLJM000000000,SAMN14933262,TMW_SS082,Streptococcus suis,5,RCUK_APHA,RESP,8,Pig,2014,0.03,4,1,1,1,no,no,no,no,no,no,no,no,no,no,0.25,0.5,no,no,no,1,0.12,no,no,no,no,no,no,no,no,no,no,no,16,no,no,no,no,no,no,no,no,4,yes,no,no,yes,2,no,0.03,0.015,0.12,0.03,no,no,no,no,no,no
