Assembly,Level,WGS,BioSample,Isolate,Taxonomy,Source,District,Date of isolation,Read length (bp),Read number (bp),Rawdata (bp),Q20 (bp),Rate of Q20,Q30 (bp),Rate of Q30,Number of contigs,Largest contig length (bp),Total length (bp),QC ratio (%),N50 (bp),No. of CDS,BioSamples accessions,SNP cluster,Ampicillin,Ampicillin-sulbactam,Piperacillin,Piperacillin-tazobactam,Cefuroxime,Cefotetan,Ceftazidime,Ceftriaxone,Cefepime,Aztreonam,Imipenem,Amikacin,Gentamicin,Tobramycin
GCA_016914925.1,Contig,JADOTP000000000,SAMN16708218,YC419,Salmonella enterica,Pork,Mentougou,"Jan. 1st, 2017",150,8208460,1231269000,1224954750,99.49%,1148964900,93.32%,74,400646,5035206,51.91,261503,4732,SAMN16708218 ,PDS000023306.11,≥32,≥32,64,≤4,16,≤4,≤1,≤1,≤1,≤1,≤1,≤2,≤1,≤1
GCA_016914895.1,Contig,JADOTS000000000,SAMN16708221,YC422,Salmonella enterica,Pork,Shunyi,"Jan. 1st, 2017",150,8872746,1330911900,1323894150,99.47%,1240817100,93.23%,49,949430,4807634,52.05,375824,4475,SAMN16708221 ,PDS000078404.2,≥32,≥32,32,16,32,≤4,≤1,≤1,≤1,≤1,≤1,16,≥16,≥16
GCA_016914875.1,Contig,JADOTR000000000,SAMN16708220,YC421,Salmonella enterica,Pork,Fengtai,"Jan. 1st, 2017",150,5667676,850151400,842063400,99.05%,778315500,91.55%,60,907603,4914354,52.15,315791,4621,SAMN16708220 ,PDS000076482.83,≥32,16,≥128,≤4,≥64,≤4,16,≥64,4,≥64,≤1,≤2,≤1,≤1
GCA_016914025.1,Contig,JADOME000000000,SAMN16708025,SLM149,Salmonella enterica,Duck,Huairou,"May. 1st, 2017",150,8305560,1245834000,1235893950,99.20%,1129905600,90.69%,34,868709,4757235,52.19,445202,4467,SAMN16708025 ,NA,≤2,≤2,≤4,≤4,4,≤4,≤1,≤1,≤1,≤1,≤1,≤2,≤1,2
GCA_016914015.1,Contig,JADOMD000000000,SAMN16708024,SLM148,Salmonella enterica,Duck,Yanqing,"May. 1st, 2017",150,7340346,1101051900,1093117950,99.28%,1003111050,91.10%,32,1305214,4724392,52.09,489639,4450,SAMN16708024 ,PDS000026869.146,≥32,≥32,≥128,≤4,32,≤4,≤1,≤1,≤1,≤1,≤1,≤2,≤1,≤1
GCA_016913995.1,Contig,JADOMH000000000,SAMN16708028,SLM152,Salmonella enterica,Duck,Daxing,"May. 1st, 2017",150,8951548,1342732200,1337010450,99.57%,1240036500,92.35%,45,842639,4750194,51.96,511255,4454,SAMN16708028 ,NA,≤2,≤2,≤4,≤4,4,≤4,≤1,≤1,≤1,≤1,≤1,≤2,≤1,≤1
GCA_016913975.1,Contig,JADOMG000000000,SAMN16708027,SLM151,Salmonella enterica,Duck,Daxing,"May. 1st, 2017",150,7492556,1123883400,1116785250,99.37%,1017979350,90.58%,32,1305211,4842439,52.05,400796,4587,SAMN16708027 ,PDS000004748.44,≥32,≥32,≥128,≤4,8,≤4,≤1,≤1,≤1,≤1,≤1,≤2,≤1,≤1
GCA_016913955.1,Contig,JADOMF000000000,SAMN16708026,SLM150,Salmonella enterica,Duck,Daxing,"May. 1st, 2017",150,8221408,1233211200,1226766600,99.48%,1129005900,91.55%,30,1305214,4715483,52.1,489749,4438,SAMN16708026 ,PDS000026869.146,≥32,≥32,≥128,≤4,4,≤4,≤1,≤1,≤1,≤1,≤1,≤2,≤1,≤1
GCA_016913935.1,Contig,JADOMI000000000,SAMN16708029,SLM153,Salmonella enterica,Duck,Daxing,"May. 1st, 2017",150,8905604,1335840600,1332582300,99.76%,1247609250,93.40%,55,599997,4834726,52.18,375965,4549,SAMN16708029 ,PDS000081906.1,≤2,≤2,≤4,≤4,4,≤4,≤1,≤1,≤1,≤1,≤1,≤2,≤1,≤1
GCA_016913915.1,Contig,JADOMJ000000000,SAMN16708030,SLM154,Salmonella enterica,Duck,Pinggu,"May. 1st, 2017",150,8347296,1252094400,1244049600,99.36%,1142851950,91.28%,38,519947,4659029,52.23,349108,4330,SAMN16708030 ,NA,≤2,≤2,≤4,≤4,2,≤4,≤1,≤1,≤1,≤1,≤1,≤2,≤1,≤1
GCA_016913735.1,Contig,JADOMR000000000,SAMN16708038,SLM171,Salmonella enterica,Chicken,Shijingshan,"Oct. 1st, 2017",150,7305910,1095886500,1093646850,99.80%,1041928800,95.08%,40,908813,4780955,52.19,367050,4444,SAMN16708038 ,PDS000027970.243,≤2,≤2,≤4,≤4,8,≤4,≤1,≤1,≤1,≤1,≤1,≤2,≤1,≤1
GCA_016912375.1,Contig,JADOPI000000000,SAMN16708107,SLM242,Salmonella enterica,Pork,Haidian,"Oct. 1st, 2017",150,9724632,1458694800,1452526800,99.58%,1374416400,94.22%,53,945982,4976259,52.11,270337,4702,SAMN16708107 ,PDS000081909.1,≥32,≥32,64,≤4,8,≤4,≤1,≤1,≤1,≤1,≤1,≤2,≤1,≤1
GCA_016912355.1,Contig,JADOPJ000000000,SAMN16708108,SLM243,Salmonella enterica,Chicken,Haidian,"Oct. 1st, 2017",150,14365424,2154813600,2145758700,99.58%,2029329450,94.18%,53,618679,5111760,51.93,356758,4845,SAMN16708108 ,NA,≥32,≥32,≥128,≤4,≥64,≤4,4,32,4,4,2,≥64,≥16,≥16
GCA_016912335.1,Contig,JADOPK000000000,SAMN16708109,SLM244,Salmonella enterica,Chicken,Haidian,"Oct. 1st, 2017",150,11850420,1777563000,1769157750,99.53%,1664931000,93.66%,75,535750,5021981,51.73,171330,4708,SAMN16708109 ,NA,≥32,≥32,≥128,≤4,≥64,≤4,4,≥64,8,4,≤1,≤2,≥16,≥16
GCA_016912315.1,Contig,JADOPL000000000,SAMN16708110,SLM245,Salmonella enterica,Chicken,Haidian,"Oct. 1st, 2017",150,12259982,1838997300,1832511600,99.65%,1740827850,94.66%,22,1549238,4720116,52.09,489749,4444,SAMN16708110 ,PDS000026869.146,≥32,≥32,≥128,≤4,8,≤4,≤1,≤1,≤1,≤1,≤1,≤1,≤1,≤1
GCA_016912295.1,Contig,JADOPN000000000,SAMN16708112,SLM247,Salmonella enterica,Pork,Dongcheng,"Oct. 1st, 2017",150,6010902,901635300,900162900,99.84%,857299800,95.08%,39,949431,4844778,51.94,375242,4529,SAMN16708112 ,NA,≤2,≤2,≤4,≤4,4,≤4,≤1,≤1,≤1,≤1,≤1,≤1,≤1,≤1
GCA_016912275.1,Contig,JADOPM000000000,SAMN16708111,SLM246,Salmonella enterica,Chicken,Xicheng,"Oct. 1st, 2017",150,7684410,1152661500,1151508300,99.90%,1109743050,96.28%,22,1549246,4719935,52.09,489749,4445,SAMN16708111 ,PDS000026869.146,≥32,≥32,≥128,≤4,8,≤4,≤1,≤1,≤1,≤1,≤1,≤1,≤1,≤1
GCA_016912255.1,Contig,JADOPO000000000,SAMN16708113,SLM248,Salmonella enterica,Chicken,Dongcheng,"Oct. 1st, 2017",150,8273006,1240950900,1239287400,99.87%,1189205250,95.83%,27,1549246,4717763,52.1,489749,4444,SAMN16708113 ,PDS000026869.146,≥32,≥32,≥128,≤4,8,≤4,≤1,≤1,≤1,≤1,≤1,≤1,≤1,≤1
GCA_016912235.1,Contig,JADOPQ000000000,SAMN16708115,SLM250,Salmonella enterica,Chicken,Dongcheng,"Oct. 1st, 2017",150,6607760,991164000,989619750,99.84%,946797900,95.52%,64,425638,5146054,51.76,175428,4888,SAMN16708115 ,PDS000043691.12,≥32,≥32,≥128,≤4,≥64,≤4,≥64,≥64,≥64,≥64,≤1,≤1,≤1,≤1
GCA_016912215.1,Contig,JADOPP000000000,SAMN16708114,SLM249,Salmonella enterica,Chicken,Dongcheng,"Oct. 1st, 2017",150,8422928,1263439200,1261924050,99.88%,1208667300,95.66%,18,1549042,4632437,52.14,489749,4333,SAMN16708114 ,PDS000026917.7,≤2,≤2,≤4,≤4,16,≤4,≤1,≤1,≤1,≤1,≤1,≤1,≤1,≤1
GCA_016912195.1,Contig,JADOPS000000000,SAMN16708117,SLM252,Salmonella enterica,Chicken,Huairou,"Oct. 1st, 2017",150,6532214,979832100,978688650,99.88%,939681000,95.90%,38,1418463,5040980,51.94,427777,4769,SAMN16708117 ,NA,≥32,≥32,≥128,≤4,≥64,≤4,4,≥64,≤1,2,≤1,≥64,≥16,≥16
GCA_016912145.1,Contig,JADOPU000000000,SAMN16708119,SLM254,Salmonella enterica,Chicken,Huairou,"Oct. 1st, 2017",150,7047738,1057160700,1055756100,99.87%,1003745400,94.95%,22,1549246,4720115,52.09,489749,4443,SAMN16708119 ,PDS000026869.146,≥32,≥32,≥128,≤4,8,≤4,≤1,≤1,≤1,≤1,≤1,≤1,≤1,≤1
GCA_016912135.1,Contig,JADOPT000000000,SAMN16708118,SLM253,Salmonella enterica,Chicken,Huairou,"Oct. 1st, 2017",150,7136424,1070463600,1069362600,99.90%,1028856000,96.11%,22,1549245,4690539,52.14,489748,4408,SAMN16708118 ,PDS000026888.71,≤2,≤2,≤4,≤4,4,≤4,≤1,≤1,≤1,≤1,≤1,≤1,≤1,≤1
GCA_016912115.1,Contig,JADOPV000000000,SAMN16708120,SLM255,Salmonella enterica,Pork,Tongzhou,"Oct. 1st, 2017",150,6809426,1021413900,1020438300,99.90%,981685950,96.11%,57,905286,4895427,52.17,282528,4610,SAMN16708120 ,PDS000076482.83,≤2,≤2,≤4,≤4,4,≤4,≤1,≤1,≤1,≤1,≤1,≤1,≤1,≤1
GCA_016912085.1,Contig,JADOPW000000000,SAMN16708121,SLM256,Salmonella enterica,NA,Yanqing,"Oct. 1st, 2017",150,7115146,1067271900,1066046850,99.89%,1018919400,95.47%,24,1549246,4786320,52.01,489749,4534,SAMN16708121 ,PDS000026869.146,≥32,≥32,≥128,≤4,8,≤4,≤1,≤1,≤1,≤1,≤1,≤2,≤1,≤1
GCA_016912075.1,Contig,JADOPX000000000,SAMN16708122,SLM257,Salmonella enterica,NA,Yanqing,"Oct. 1st, 2017",150,9024934,1353740100,1352385600,99.90%,1302563100,96.22%,19,1549246,4691182,52.09,489758,4409,SAMN16708122 ,PDS000026869.146,≥32,≥32,≥128,≤4,8,≤4,≤1,≤1,≤1,≤1,≤1,≤2,≤1,≤1
GCA_016912035.1,Contig,JADOPY000000000,SAMN16708123,SLM259,Salmonella enterica,NA,Yanqing,"Oct. 1st, 2017",150,6968910,1045336500,1043574300,99.83%,991031250,94.80%,66,425640,4724892,52.06,165762,4409,SAMN16708123 ,NA,≥32,≥32,≥128,32,≥64,≤4,16,≥64,32,≥64,≤1,4,≥16,≥16
GCA_016912025.1,Contig,JADOPZ000000000,SAMN16708124,SLM260,Salmonella enterica,NA,Yanqing,"Oct. 1st, 2017",150,6347700,952155000,950733750,99.85%,907319700,95.29%,77,491835,5153723,51.81,271792,4879,SAMN16708124 ,PDS000076482.83,≥32,≥32,64,8,32,≤4,≤1,≤1,≤1,≤1,≤1,≤2,≤1,≤1
GCA_016912015.1,Contig,JADOQA000000000,SAMN16708125,SLM261,Salmonella enterica,Mutton,Huairou,"Oct. 1st, 2017",150,17145592,2571838800,2565870750,99.77%,2458741350,95.60%,37,709401,4695853,52.23,496304,4376,SAMN16708125 ,PDS000028525.38,≤2,≤2,≤4,≤4,8,≤4,≤1,≤1,≤1,≤1,≤1,≤2,≤1,≤1
GCA_016911975.1,Contig,JADOQB000000000,SAMN16708126,SLM262,Salmonella enterica,Mutton,Huairou,"Oct. 1st, 2017",150,20292966,3043944900,3036118650,99.74%,2905629900,95.46%,51,438815,4606762,52.23,171064,4274,SAMN16708126 ,PDS000028332.2,≤2,≤2,≤4,≤4,8,≤4,≤1,≤1,≤1,≤1,≤1,≤2,≤1,≤1
GCA_016911955.1,Contig,JADOQD000000000,SAMN16708128,SLM264,Salmonella enterica,Chicken,Chaoyang,"Oct. 1st, 2017",150,8993636,1349045400,1344921300,99.69%,1281421350,94.99%,41,709401,4718905,52.21,335665,4398,SAMN16708128 ,PDS000028525.38,≤2,≤2,≤4,≤4,4,≤4,≤1,≤1,≤1,≤1,≤1,≤2,≤1,≤1
GCA_016911935.1,Contig,JADOQF000000000,SAMN16708130,SLM266,Salmonella enterica,Chicken,Chaoyang,"Oct. 1st, 2017",150,10956828,1643524200,1639485000,99.75%,1568282850,95.42%,28,1388182,4673388,52.03,467365,4389,SAMN16708130 ,NA,≤2,≤2,≤4,≤4,8,≤4,≤1,≤1,≤1,≤1,≤1,4,≤1,2
GCA_016911915.1,Contig,JADOQE000000000,SAMN16708129,SLM265,Salmonella enterica,Chicken,Chaoyang,"Oct. 1st, 2017",150,11161684,1674252600,1668559500,99.66%,1586498700,94.76%,31,922679,4699844,52.15,353321,4350,SAMN16708129 ,PDS000040205.33,≤2,≤2,≤4,≤4,4,≤4,≤1,≤1,≤1,≤1,≤1,≤2,≤1,≤1
GCA_016911895.1,Contig,JADOQH000000000,SAMN16708132,SLM268,Salmonella enterica,Chicken,Chaoyang,"Oct. 1st, 2017",150,6770640,1015596000,1015586700,100.00%,1000900500,98.55%,19,1549241,4682837,52.08,489753,4393,SAMN16708132 ,PDS000026945.14,≥32,≥32,≥128,≤4,4,≤4,≤1,≤1,≤1,≤1,≤1,≤2,≤1,≤1
GCA_016911875.1,Contig,JADOQG000000000,SAMN16708131,SLM267,Salmonella enterica,Chicken,Chaoyang,"Oct. 1st, 2017",150,9559674,1433951100,1433937000,100.00%,1414103100,98.62%,26,1549246,4723673,52.1,489749,4448,SAMN16708131 ,PDS000026869.146,≥32,≥32,≥128,≤4,4,≤4,≤1,≤1,≤1,≤1,≤1,≤2,≤1,≤1
GCA_016911855.1,Contig,JADOQI000000000,SAMN16708133,SLM269,Salmonella enterica,Chicken,Xicheng,"Oct. 1st, 2017",150,9340184,1401027600,1401012600,100.00%,1382872200,98.70%,25,1549246,4784619,52.1,489748,4526,SAMN16708133 ,PDS000026869.146,≥32,≥32,≥128,≤4,4,≤4,≤1,≤1,≤1,≤1,≤1,≤2,≤1,≤1
GCA_016911825.1,Contig,JADOQJ000000000,SAMN16708134,SLM270,Salmonella enterica,Pork,Dongcheng,"Oct. 1st, 2017",150,6366990,955048500,955037700,100.00%,941386800,98.57%,31,739262,4855045,51.96,417212,4498,SAMN16708134 ,PDS000046794.3,≥32,≥32,≥128,≤4,8,≤4,≤1,≤1,≤1,≤1,≤1,≤2,≥16,8
GCA_016911815.1,Contig,JADOQK000000000,SAMN16708135,SLM271,Salmonella enterica,Chicken,Dongcheng,"Oct. 1st, 2017",150,9899634,1484945100,1484928600,100.00%,1466052600,98.73%,19,1549244,4657117,52.1,489749,4367,SAMN16708135 ,PDS000026869.146,≥32,≥32,≥128,≤4,8,≤4,≤1,≤1,≤1,≤1,≤1,≤2,≤1,≤1
GCA_016911795.1,Contig,JADOQL000000000,SAMN16708136,SLM272,Salmonella enterica,Chicken,Dongcheng,"Oct. 1st, 2017",150,15237898,2285684700,2285657700,100.00%,2255446200,98.68%,39,917218,4982855,51.97,527789,4682,SAMN16708136 ,PDS000056420.34,≥32,≥32,32,≤4,32,≤4,16,8,≤1,4,≤1,≥64,≥16,≥16
GCA_016911775.1,Contig,JADOQM000000000,SAMN16708137,SLM273,Salmonella enterica,Chicken,Dongcheng,"Oct. 1st, 2017",150,11758904,1763835600,1757612700,99.65%,1670242050,94.69%,22,1549042,4690290,52.13,489749,4409,SAMN16708137 ,PDS000026917.7,≤2,≤2,8,≤4,16,≤4,≤1,≤1,≤1,≤1,≤1,≤2,≤1,≤1
GCA_016911755.1,Contig,JADOQN000000000,SAMN16708138,SLM274,Salmonella enterica,Chicken,Dongcheng,"Oct. 1st, 2017",150,5790188,868528200,867270300,99.86%,833325450,95.95%,21,1549042,4690629,52.14,489749,4406,SAMN16708138 ,PDS000026917.7,16,16,8,8,≥64,≤4,3,≤1,≤1,≤1,≤1,≤2,≤1,≤1
GCA_016911715.1,Contig,JADOQP000000000,SAMN16708140,SLM276,Salmonella enterica,Chicken,Dongcheng,"Oct. 1st, 2017",150,10797378,1619606700,1617406950,99.86%,1559096400,96.26%,19,1549246,4657127,52.1,489749,4364,SAMN16708140 ,PDS000026869.146,≥32,≥32,≥128,≤4,8,≤4,≤1,≤1,≤1,≤1,≤1,≤2,≤1,≤1
GCA_016911705.1,Contig,JADOQO000000000,SAMN16708139,SLM275,Salmonella enterica,Chicken,Dongcheng,"Oct. 1st, 2017",150,5288640,793296000,792271650,99.87%,763487100,96.24%,19,1549246,4657111,52.1,489749,4365,SAMN16708139 ,PDS000026869.146,≥32,≥32,≥128,≤4,8,≤4,≤1,≤1,≤1,≤1,≤1,≤2,≤1,≤1
GCA_016911695.1,Contig,JADOQT000000000,SAMN16708144,SLM280,Salmonella enterica,Chicken,Huairou,"Oct. 1st, 2017",150,7340148,1101022200,1099277550,99.84%,1055635200,95.88%,88,306183,4748407,52.09,130471,4465,SAMN16708144 ,NA,≥32,≥32,≥128,8,≥64,≤4,4,≥64,4,16,≤1,≥64,≥16,≥16
GCA_016911675.1,Contig,JADOQQ000000000,SAMN16708141,SLM277,Salmonella enterica,Chicken,Daxing,"Oct. 1st, 2017",150,10436782,1565517300,1563660600,99.88%,1504147950,96.08%,22,1549246,4754156,52.08,489740,4488,SAMN16708141 ,PDS000026869.146,≥32,≥32,≥128,≤4,4,≤4,≤1,≤1,≤1,≤1,≤1,≤2,≤1,≤1
GCA_016911655.1,Contig,JADOQU000000000,SAMN16708145,SLM281,Salmonella enterica,Chicken,Huairou,"Oct. 1st, 2017",150,8063614,1209542100,1208010900,99.87%,1165826400,96.39%,26,1319048,4721236,52.08,406060,4444,SAMN16708145 ,PDS000026869.146,≥32,≥32,≥128,≤4,4,≤4,≤1,≤1,≤1,≤1,≤1,≤2,≤1,≤1
