PATRIC ID,Run Accession,Genome Name,Publication,Ampicillin,Amoxicillin-Clavulanate,Ceftriaxone,Chloramphenicol,Sulfisoxazole,Cefoxitin,Gentamycin,Kanamycin,Streptomycin,Tetracycline,Ceftiofur
590.1781,SRR2082856,Salmonella enterica SRR2082856,30333126,<=1,<=1,<=0.25,8,64,2,<=0.25,,,<=4,1
590.14203,SRR2082862,Salmonella enterica SRR2082862,30333126,>32,8,<=0.25,4,32,2,>16,,>64,>32,1
590.14321,SRR2085752,Salmonella enterica SRR2085752,30333126,>32,8,<=0.25,8,32,2,>16,,,>32,1
590.14344,SRR2086981,Salmonella enterica SRR2086981,30333126,<=1,<=1,<=0.25,8,>256,4,0.5,,,>32,1
590.14353,SRR2096539,Salmonella enterica SRR2096539,30333126,<=1,<=1,<=0.25,8,32,2,0.5,,>64,>32,1
590.14437,SRR2102389,Salmonella enterica SRR2102389,30333126,>32,>32,16,8,>256,>32,<=0.25,,,>32,>8
590.14501,SRR2102412,Salmonella enterica SRR2102412,30333126,<=1,<=1,<=0.25,8,64,4,16,,64,>32,1
590.14518,SRR2102413,Salmonella enterica SRR2102413,30333126,<=1,<=1,<=0.25,8,64,4,0.5,,,<=4,1
590.14548,SRR2102423,Salmonella enterica SRR2102423,30333126,>32,>32,32,8,>256,>32,<=0.25,,64,>32,>8
590.14562,SRR2102431,Salmonella enterica SRR2102431,30333126,>32,>32,16,4,>256,>32,<=0.25,,,>32,>8
590.14572,SRR2102441,Salmonella enterica SRR2102441,30333126,<=1,<=1,<=0.25,8,>256,4,<=0.25,,64,>32,1
590.14758,SRR2103410,Salmonella enterica SRR2103410,30333126,>32,>32,16,8,64,32,<=0.25,,,<=4,>8
590.14796,SRR2104610,Salmonella enterica SRR2104610,30333126,<=1,<=1,<=0.25,8,>256,2,>16,,>64,<=4,1
590.14869,SRR2125027,Salmonella enterica SRR2125027,30333126,>32,>32,64,8,>256,>32,<=0.25,,,>32,>8
590.14893,SRR2125032,Salmonella enterica SRR2125032,30333126,>32,16,<=0.25,4,>256,2,>16,,>64,>32,1
590.14936,SRR2131386,Salmonella enterica SRR2131386,30333126,<=1,<=1,<=0.25,4,>256,2,16,,64,<=4,0.5
590.14948,SRR2143425,Salmonella enterica SRR2143425,30333126,>32,16,<=0.25,8,>256,4,>16,,64,>32,1
590.15007,SRR2143454,Salmonella enterica SRR2143454,30333126,<=1,<=1,<=0.25,8,32,2,0.5,,,<=4,1
590.15023,SRR2143455,Salmonella enterica SRR2143455,30333126,<=1,<=1,<=0.25,8,32,4,0.5,,,<=4,1
590.15066,SRR2143475,Salmonella enterica SRR2143475,30333126,<=1,<=1,<=0.25,8,>256,2,0.5,,,>32,1
590.15139,SRR2143493,Salmonella enterica SRR2143493,30333126,<=1,<=1,<=0.25,8,>256,2,0.5,,,<=4,0.5
590.15176,SRR2143501,Salmonella enterica SRR2143501,30333126,<=1,<=1,<=0.25,8,>256,2,16,,,<=4,0.5
590.15211,SRR2156497,Salmonella enterica SRR2156497,30333126,>32,8,<=0.25,4,64,2,0.5,,,<=4,1
590.1522,SRR2156498,Salmonella enterica SRR2156498,30333126,<=1,<=1,<=0.25,8,64,2,<=0.25,,,<=4,1
590.15259,SRR2156568,Salmonella enterica SRR2156568,30333126,<=1,<=1,<=0.25,8,64,4,0.5,,,<=4,1
590.15289,SRR2156613,Salmonella enterica SRR2156613,30333126,>32,8,<=0.25,8,64,2,<=0.25,,,>32,1
590.15294,SRR2156628,Salmonella enterica SRR2156628,30333126,<=1,<=1,<=0.25,4,>256,2,0.5,,,>32,1
590.153,SRR2156629,Salmonella enterica SRR2156629,30333126,>32,16,<=0.25,8,>256,4,>16,,>64,>32,1
590.15307,SRR2156635,Salmonella enterica SRR2156635,30333126,>32,8,<=0.25,8,>256,2,>16,,64,>32,1
590.12217,SRR2188116,Salmonella enterica SRR2188116,30333126,<=1,<=1,<=0.25,8,<=16,2,0.5,,4,<=4,0.5
590.12185,SRR2188117,Salmonella enterica SRR2188117,30333126,<=1,<=1,<=0.25,4,<=16,2,0.5,,8,>32,1
590.12211,SRR2188119,Salmonella enterica SRR2188119,30333126,<=1,<=1,<=0.25,8,256,4,1,,16,<=4,1
590.12209,SRR2188122,Salmonella enterica SRR2188122,30333126,<=1,<=1,<=0.25,8,<=16,8,0.5,,8,<=4,1
590.1221,SRR2188123,Salmonella enterica SRR2188123,30333126,2,<=1,<=0.25,8,32,8,0.5,,8,<=4,1
590.12186,SRR2188125,Salmonella enterica SRR2188125,30333126,>32,32,32,>32,>256,>32,0.5,,>64,>32,>8
590.12215,SRR2188126,Salmonella enterica SRR2188126,30333126,<=1,<=1,<=0.25,4,<=16,2,1,,8,<=4,0.5
590.12218,SRR2188127,Salmonella enterica SRR2188127,30333126,<=1,<=1,<=0.25,8,64,4,0.5,,8,<=4,1
590.12184,SRR2188129,Salmonella enterica SRR2188129,30333126,<=1,<=1,<=0.25,8,64,4,0.5,,4,<=4,1
590.12256,SRR2226821,Salmonella enterica SRR2226821,30333126,<=1,<=1,<=0.25,8,32,8,<=0.25,,8,>32,1
590.12252,SRR2226881,Salmonella enterica SRR2226881,30333126,<=1,<=1,<=0.25,8,<=16,4,<=0.25,,8,<=4,1
590.12253,SRR2226882,Salmonella enterica SRR2226882,30333126,<=1,<=1,<=0.25,8,32,2,0.5,,8,<=4,1
590.12246,SRR2226896,Salmonella enterica SRR2226896,30333126,<=1,<=1,<=0.25,8,32,2,0.5,,8,<=4,0.5
590.12245,SRR2227278,Salmonella enterica SRR2227278,30333126,>32,>32,32,8,32,>32,0.5,,8,<=4,>8
590.12255,SRR2227279,Salmonella enterica SRR2227279,30333126,<=1,<=1,<=0.25,8,<=16,4,<=0.25,,4,<=4,1
590.12241,SRR2227323,Salmonella enterica SRR2227323,30333126,<=1,<=1,<=0.25,4,64,2,0.5,,4,<=4,0.5
590.12248,SRR2227324,Salmonella enterica SRR2227324,30333126,<=1,<=1,<=0.25,8,<=16,4,0.5,,4,<=4,1
590.1225,SRR2227325,Salmonella enterica SRR2227325,30333126,<=1,<=1,<=0.25,8,<=16,4,0.5,,8,<=4,1
590.12247,SRR2227437,Salmonella enterica SRR2227437,30333126,>32,32,16,>32,>256,32,0.5,,>64,>32,>8
590.12261,SRR2227598,Salmonella enterica SRR2227598,30333126,<=1,<=1,<=0.25,8,32,4,<=0.25,,4,>32,1
590.1226,SRR2227603,Salmonella enterica SRR2227603,30333126,<=1,<=1,<=0.25,4,<=16,2,1,,16,<=4,1
590.12259,SRR2227612,Salmonella enterica SRR2227612,30333126,<=1,<=1,<=0.25,4,<=16,4,<=0.25,,8,<=4,1
590.12264,SRR2227999,Salmonella enterica SRR2227999,30333126,<=1,<=1,<=0.25,8,32,4,0.5,,8,<=4,1
590.12207,SRR2228224,Salmonella enterica SRR2228224,30333126,<=1,<=1,<=0.25,16,>256,8,1,,>64,>32,1
590.12208,SRR2228225,Salmonella enterica SRR2228225,30333126,<=1,<=1,<=0.25,8,32,4,1,,8,<=4,1
590.12197,SRR2239738,Salmonella enterica SRR2239738,30333126,<=1,<=1,<=0.25,8,64,4,1,,8,<=4,0.5
590.12191,SRR2239742,Salmonella enterica SRR2239742,30333126,<=1,<=1,<=0.25,8,32,2,0.5,,16,<=4,0.5
590.12187,SRR2239753,Salmonella enterica SRR2239753,30333126,<=1,<=1,<=0.25,>32,>256,4,0.5,,>64,>32,1
590.1219,SRR2239755,Salmonella enterica SRR2239755,30333126,<=1,<=1,<=0.25,8,32,4,0.5,,64,>32,1
590.12194,SRR2239756,Salmonella enterica SRR2239756,30333126,<=1,<=1,<=0.25,4,64,2,0.5,,8,<=4,0.5
590.12195,SRR2239757,Salmonella enterica SRR2239757,30333126,<=1,<=1,<=0.25,4,128,4,0.5,,4,<=4,0.5
590.12196,SRR2239758,Salmonella enterica SRR2239758,30333126,<=1,<=1,<=0.25,8,32,4,0.5,,8,<=4,1
590.12198,SRR2239762,Salmonella enterica SRR2239762,30333126,<=1,<=1,<=0.25,8,64,4,0.5,,8,<=4,1
590.12293,SRR2239949,Salmonella enterica SRR2239949,30333126,<=1,<=1,<=0.25,4,<=16,2,0.5,,8,<=4,0.5
590.15338,SRR2407533,Salmonella enterica SRR2407533,30333126,>32,8,<=0.25,>32,>256,1,16,,>64,>32,0.5
590.15345,SRR2407534,Salmonella enterica SRR2407534,30333126,<=1,<=1,<=0.25,8,>256,4,>16,,>64,<=4,1
590.15353,SRR2407535,Salmonella enterica SRR2407535,30333126,<=1,<=1,<=0.25,4,<=16,4,0.5,,16,<=4,1
590.154,SRR2407540,Salmonella enterica SRR2407540,30333126,>32,8,<=0.25,>32,>256,8,8,,>64,>32,2
590.15415,SRR2407541,Salmonella enterica SRR2407541,30333126,<=1,<=1,<=0.25,8,<=16,4,<=0.25,,8,<=4,2
590.15469,SRR2407545,Salmonella enterica SRR2407545,30333126,<=1,<=1,<=0.25,8,64,4,8,,>64,>32,1
590.15486,SRR2407546,Salmonella enterica SRR2407546,30333126,<=1,<=1,<=0.25,8,32,4,0.5,,8,<=4,1
590.15526,SRR2407549,Salmonella enterica SRR2407549,30333126,>32,>32,64,>32,>256,>32,16,,>64,<=4,>8
590.1557,SRR2407552,Salmonella enterica SRR2407552,30333126,<=1,<=1,<=0.25,8,<=16,2,<=0.25,,8,<=4,1
590.15684,SRR2407561,Salmonella enterica SRR2407561,30333126,<=1,<=1,<=0.25,4,<=16,1,<=0.25,,8,>32,0.5
590.15701,SRR2407562,Salmonella enterica SRR2407562,30333126,>32,>32,8,4,>256,32,<=0.25,,8,>32,8
590.15737,SRR2407567,Salmonella enterica SRR2407567,30333126,<=1,<=1,<=0.25,>32,>256,1,>16,,>64,>32,0.5
590.15786,SRR2407573,Salmonella enterica SRR2407573,30333126,<=1,<=1,<=0.25,4,<=16,2,0.5,,64,>32,0.5
590.15804,SRR2407575,Salmonella enterica SRR2407575,30333126,<=1,2,<=0.25,4,<=16,2,0.5,,64,>32,1
590.17817,SRR2407576,Salmonella enterica SRR2407576,30333126,>32,32,8,8,>256,32,0.5,,8,>32,8
590.15853,SRR2407579,Salmonella enterica SRR2407579,30333126,<=1,<=1,<=0.25,4,<=16,2,<=0.25,,<=2,<=4,0.5
590.15926,SRR2407588,Salmonella enterica SRR2407588,30333126,>32,8,<=0.25,8,>256,2,>16,,64,>32,1
590.1599,SRR2407594,Salmonella enterica SRR2407594,30333126,2,<=1,<=0.25,8,32,8,1,,16,<=4,2
590.16014,SRR2407596,Salmonella enterica SRR2407596,30333126,2,<=1,<=0.25,8,32,4,0.5,,16,>32,2
590.16071,SRR2407602,Salmonella enterica SRR2407602,30333126,2,<=1,<=0.25,4,>256,4,<=0.25,,8,>32,1
590.16092,SRR2407604,Salmonella enterica SRR2407604,30333126,>32,>32,8,8,>256,32,0.5,,8,>32,>8
590.1614,SRR2407608,Salmonella enterica SRR2407608,30333126,<=1,<=1,<=0.25,<=2,32,2,<=0.25,,64,<=4,0.5
590.16155,SRR2407609,Salmonella enterica SRR2407609,30333126,>32,32,8,4,>256,32,<=0.25,,4,>32,8
590.16159,SRR2407610,Salmonella enterica SRR2407610,30333126,<=1,<=1,<=0.25,4,>256,4,>16,,>64,<=4,1
590.16203,SRR2407613,Salmonella enterica SRR2407613,30333126,2,<=1,<=0.25,8,64,4,1,,16,<=4,1
590.16305,SRR2407619,Salmonella enterica SRR2407619,30333126,>32,>32,16,>32,>256,>32,1,,>64,>32,>8
590.16352,SRR2407625,Salmonella enterica SRR2407625,30333126,<=1,<=1,<=0.25,8,64,4,0.5,,8,<=4,2
590.1636,SRR2407626,Salmonella enterica SRR2407626,30333126,>32,8,<=0.25,8,>256,4,0.5,,>64,>32,1
590.16415,SRR2407630,Salmonella enterica SRR2407630,30333126,<=1,<=1,<=0.25,8,64,2,1,,16,<=4,1
590.1649,SRR2407635,Salmonella enterica SRR2407635,30333126,<=1,<=1,<=0.25,8,64,2,0.5,,8,<=4,1
590.16513,SRR2407636,Salmonella enterica SRR2407636,30333126,>32,>32,8,8,>256,32,<=0.25,,8,>32,>8
590.16559,SRR2407639,Salmonella enterica SRR2407639,30333126,>32,>32,8,4,>256,32,<=0.25,,8,>32,8
590.16602,SRR2407641,Salmonella enterica SRR2407641,30333126,2,<=1,<=0.25,4,64,4,1,,16,>32,2
590.16632,SRR2407644,Salmonella enterica SRR2407644,30333126,<=1,<=1,<=0.25,4,>256,4,0.5,,8,>32,1
590.16641,SRR2407645,Salmonella enterica SRR2407645,30333126,<=1,<=1,<=0.25,8,>256,2,>16,,64,>32,1
590.16648,SRR2407646,Salmonella enterica SRR2407646,30333126,>32,8,<=0.25,8,>256,4,>16,,8,>32,0.5
590.16699,SRR2407651,Salmonella enterica SRR2407651,30333126,<=1,<=1,<=0.25,8,64,8,0.5,,8,>32,1
590.16735,SRR2407654,Salmonella enterica SRR2407654,30333126,<=1,<=1,<=0.25,8,>256,2,0.5,,16,>32,1
590.16779,SRR2407658,Salmonella enterica SRR2407658,30333126,>32,>32,64,>32,>256,>32,>16,,32,<=4,>8
590.16834,SRR2407663,Salmonella enterica SRR2407663,30333126,<=1,<=1,<=0.25,8,>256,2,0.5,,8,>32,1
590.16866,SRR2407665,Salmonella enterica SRR2407665,30333126,<=1,<=1,<=0.25,8,32,2,0.5,,8,<=4,0.5
590.16893,SRR2407666,Salmonella enterica SRR2407666,30333126,<=1,<=1,<=0.25,8,>256,2,<=0.25,,8,>32,0.5
590.1694,SRR2407669,Salmonella enterica SRR2407669,30333126,>32,>32,16,8,<=16,>32,2,,32,<=4,>8
590.16952,SRR2407670,Salmonella enterica SRR2407670,30333126,<=1,<=1,<=0.25,8,128,2,0.5,,8,<=4,1
590.17027,SRR2407677,Salmonella enterica SRR2407677,30333126,<=1,<=1,<=0.25,4,<=16,1,0.5,,8,>32,0.5
590.17095,SRR2407684,Salmonella enterica SRR2407684,30333126,>32,32,16,4,>256,32,0.5,,8,32,>8
590.17104,SRR2407685,Salmonella enterica SRR2407685,30333126,2,<=1,<=0.25,8,>256,8,0.5,,32,>32,2
590.1717,SRR2407692,Salmonella enterica SRR2407692,30333126,<=1,<=1,<=0.25,4,32,2,1,,64,>32,1
590.17226,SRR2407699,Salmonella enterica SRR2407699,30333126,>32,16,<=0.25,8,>256,8,0.5,,32,>32,2
590.12653,SRR2407700,Salmonella enterica SRR2407700,30333126,<=1,<=1,<=0.25,8,64,4,0.5,,16,<=4,1
590.13084,SRR2407709,Salmonella enterica SRR2407709,30333126,>32,>32,16,4,>256,>32,>16,,>64,>32,>8
590.13114,SRR2407711,Salmonella enterica SRR2407711,30333126,<=1,<=1,<=0.25,4,64,2,0.5,,8,>32,0.5
590.13166,SRR2407716,Salmonella enterica SRR2407716,30333126,>32,16,<=0.25,4,32,4,>16,,64,>32,1
590.13172,SRR2407717,Salmonella enterica SRR2407717,30333126,>32,>32,16,>32,>256,>32,0.5,,>64,>32,>8
590.13198,SRR2407719,Salmonella enterica SRR2407719,30333126,<=1,<=1,<=0.25,8,<=16,4,>16,,64,>32,1
590.13224,SRR2407721,Salmonella enterica SRR2407721,30333126,>32,16,<=0.25,8,64,8,0.5,,>64,>32,1
590.13238,SRR2407723,Salmonella enterica SRR2407723,30333126,<=1,<=1,<=0.25,8,>256,4,0.5,,16,>32,1
590.13281,SRR2407727,Salmonella enterica SRR2407727,30333126,>32,8,<=0.25,8,>256,2,2,,>64,>32,1
590.13342,SRR2407734,Salmonella enterica SRR2407734,30333126,<=1,<=1,<=0.25,8,<=16,2,1,,16,<=4,1
590.13345,SRR2407735,Salmonella enterica SRR2407735,30333126,<=1,<=1,<=0.25,8,<=16,4,1,,16,<=4,1
590.13369,SRR2407737,Salmonella enterica SRR2407737,30333126,<=1,<=1,<=0.25,8,<=16,4,<=0.25,,8,>32,1
590.13384,SRR2407738,Salmonella enterica SRR2407738,30333126,<=1,<=1,<=0.25,8,<=16,4,1,,8,<=4,1
590.13468,SRR2407746,Salmonella enterica SRR2407746,30333126,<=1,<=1,<=0.25,4,<=16,2,1,,16,32,0.5
590.13486,SRR2407748,Salmonella enterica SRR2407748,30333126,<=1,<=1,<=0.25,4,32,2,0.5,,>64,<=4,1
590.13491,SRR2407749,Salmonella enterica SRR2407749,30333126,<=1,<=1,<=0.25,4,32,2,0.5,,>64,<=4,1
590.13494,SRR2407751,Salmonella enterica SRR2407751,30333126,<=1,<=1,<=0.25,4,32,2,0.5,,8,<=4,0.5
590.13613,SRR2407760,Salmonella enterica SRR2407760,30333126,<=1,<=1,<=0.25,8,<=16,2,0.5,,64,>32,1
590.13626,SRR2407762,Salmonella enterica SRR2407762,30333126,>32,>32,64,>32,>256,>32,>16,,>64,>32,>8
590.13629,SRR2407763,Salmonella enterica SRR2407763,30333126,<=1,<=1,<=0.25,8,<=16,4,0.5,,8,<=4,1
590.13635,SRR2407764,Salmonella enterica SRR2407764,30333126,<=1,<=1,<=0.25,8,<=16,4,<=0.25,,8,<=4,1
590.13642,SRR2407766,Salmonella enterica SRR2407766,30333126,>32,8,<=0.25,4,64,2,>16,,64,>32,1
590.13693,SRR2407771,Salmonella enterica SRR2407771,30333126,>32,>32,8,4,>256,32,<=0.25,,4,>32,8
590.17789,SRR2407775,Salmonella enterica SRR2407775,30333126,>32,32,8,4,>256,16,<=0.25,,4,>32,8
590.13761,SRR2407778,Salmonella enterica SRR2407778,30333126,<=1,2,<=0.25,4,32,2,8,,16,<=4,0.5
590.13779,SRR2407779,Salmonella enterica SRR2407779,30333126,>32,16,<=0.25,8,32,2,<=0.25,,16,<=4,1
590.13822,SRR2407784,Salmonella enterica SRR2407784,30333126,<=1,<=1,<=0.25,4,<=16,2,<=0.25,,64,<=4,1
590.13835,SRR2407785,Salmonella enterica SRR2407785,30333126,<=1,<=1,<=0.25,4,<=16,2,<=0.25,,8,<=4,0.5
590.1384,SRR2407786,Salmonella enterica SRR2407786,30333126,>32,>32,8,4,>256,32,<=0.25,,4,>32,8
590.13844,SRR2407787,Salmonella enterica SRR2407787,30333126,<=1,<=1,<=0.25,4,<=16,4,>16,,16,<=4,1
590.13875,SRR2407790,Salmonella enterica SRR2407790,30333126,>32,32,8,8,128,32,16,,64,>32,>8
590.1391,SRR2407795,Salmonella enterica SRR2407795,30333126,<=1,<=1,<=0.25,8,<=16,4,>16,,16,<=4,1
590.12384,SRR2421548,Salmonella enterica SRR2421548,30333126,<=1,<=1,<=0.25,4,<=16,2,0.5,,8,>32,0.5
590.14005,SRR2510827,Salmonella enterica SRR2510827,30333126,>32,16,<=0.25,4,>256,2,1,,64,>32,1
590.14066,SRR2532630,Salmonella enterica SRR2532630,30333126,<=1,<=1,<=0.25,8,64,4,0.5,,,<=4,1
590.17809,SRR2532633,Salmonella enterica SRR2532633,30333126,>32,8,<=0.25,8,>256,8,>16,,>64,>32,1
590.14271,SRR2532791,Salmonella enterica SRR2532791,30333126,>32,16,<=0.25,8,>256,2,0.5,,>64,>32,1
590.14285,SRR2533320,Salmonella enterica SRR2533320,30333126,<=1,<=1,<=0.25,4,>256,4,<=0.25,,,>32,1
590.14308,SRR2533321,Salmonella enterica SRR2533321,30333126,<=1,<=1,<=0.25,8,64,2,<=0.25,,,<=4,1
590.1442,SRR2533328,Salmonella enterica SRR2533328,30333126,>32,8,<=0.25,8,>256,4,16,,,<=4,1
590.14478,SRR2533332,Salmonella enterica SRR2533332,30333126,<=1,<=1,<=0.25,8,>256,2,16,,,<=4,1
590.14529,SRR2533337,Salmonella enterica SRR2533337,30333126,4,4,<=0.25,8,>256,4,>16,,64,32,1
590.1455,SRR2533339,Salmonella enterica SRR2533339,30333126,<=1,<=1,<=0.25,8,128,2,0.5,,,<=4,1
590.14617,SRR2533344,Salmonella enterica SRR2533344,30333126,<=1,<=1,<=0.25,4,>256,2,16,,64,<=4,2
590.1463,SRR2533345,Salmonella enterica SRR2533345,30333126,<=1,<=1,<=0.25,8,128,4,0.5,,,<=4,1
590.14664,SRR2533348,Salmonella enterica SRR2533348,30333126,<=1,<=1,<=0.25,8,32,2,0.5,,,>32,0.5
590.14671,SRR2533349,Salmonella enterica SRR2533349,30333126,<=1,2,<=0.25,8,,2,16,,64,<=4,0.5
590.14717,SRR2533351,Salmonella enterica SRR2533351,30333126,>32,16,<=0.25,8,32,4,>16,,,<=4,1
590.14861,SRR2533382,Salmonella enterica SRR2533382,30333126,>32,16,<=0.25,8,64,2,<=0.25,,,>32,1
590.14896,SRR2533436,Salmonella enterica SRR2533436,30333126,<=1,<=1,<=0.25,8,>256,2,<=0.25,,,>32,1
590.14907,SRR2533437,Salmonella enterica SRR2533437,30333126,<=1,<=1,<=0.25,8,>256,2,16,,64,>32,1
590.14934,SRR2533439,Salmonella enterica SRR2533439,30333126,<=1,<=1,<=0.25,8,64,2,0.5,,,<=4,1
590.14961,SRR2533441,Salmonella enterica SRR2533441,30333126,2,<=1,<=0.25,8,256,4,0.5,,,<=4,1
590.14988,SRR2533443,Salmonella enterica SRR2533443,30333126,2,<=1,<=0.25,8,>256,2,>16,,>64,<=4,1
590.15022,SRR2533445,Salmonella enterica SRR2533445,30333126,<=1,<=1,<=0.25,8,128,4,0.5,,,>32,1
590.15051,SRR2533447,Salmonella enterica SRR2533447,30333126,<=1,<=1,<=0.25,4,>256,2,>16,,>64,>32,1
590.15173,SRR2533454,Salmonella enterica SRR2533454,30333126,>32,8,<=0.25,8,>256,2,>16,,>64,>32,1
590.1531,SRR2533460,Salmonella enterica SRR2533460,30333126,<=1,<=1,<=0.25,8,>256,2,>16,,>64,<=4,1
590.1533,SRR2533476,Salmonella enterica SRR2533476,30333126,>32,16,<=0.25,8,128,4,<=0.25,,,>32,1
590.15368,SRR2533478,Salmonella enterica SRR2533478,30333126,>32,8,<=0.25,8,32,2,<=0.25,,>64,>32,0.5
590.15388,SRR2533480,Salmonella enterica SRR2533480,30333126,<=1,<=1,<=0.25,8,64,2,0.5,,,<=4,1
590.15511,SRR2533486,Salmonella enterica SRR2533486,30333126,>32,>32,16,8,64,>32,0.5,,,<=4,>8
590.1553,SRR2533487,Salmonella enterica SRR2533487,30333126,>32,8,<=0.25,4,64,2,<=0.25,,64,>32,1
590.15563,SRR2533489,Salmonella enterica SRR2533489,30333126,>32,>32,32,8,>256,>32,0.5,,,>32,>8
590.15747,SRR2533545,Salmonella enterica SRR2533545,30333126,2,<=1,<=0.25,8,>256,4,>16,,64,<=4,1
590.1592,SRR2533555,Salmonella enterica SRR2533555,30333126,2,<=1,<=0.25,8,>256,2,<=0.25,,,>32,0.5
590.15957,SRR2533558,Salmonella enterica SRR2533558,30333126,>32,16,<=0.25,8,256,2,<=0.25,,64,>32,1
590.15971,SRR2533559,Salmonella enterica SRR2533559,30333126,>32,16,<=0.25,8,>256,4,>16,,64,>32,2
590.15991,SRR2533560,Salmonella enterica SRR2533560,30333126,<=1,<=1,<=0.25,8,128,4,0.5,,,>32,1
590.16,SRR2533574,Salmonella enterica SRR2533574,30333126,<=1,<=1,<=0.25,8,32,2,<=0.25,,,<=4,2
590.16012,SRR2533578,Salmonella enterica SRR2533578,30333126,2,<=1,<=0.25,4,,2,0.5,,>64,>32,1
590.16031,SRR2533581,Salmonella enterica SRR2533581,30333126,>32,>32,16,8,,>16,<=0.25,,,<=4,>8
590.1604,SRR2533582,Salmonella enterica SRR2533582,30333126,>32,>32,32,8,,>16,<=0.25,,64,<=4,>8
590.16048,SRR2533583,Salmonella enterica SRR2533583,30333126,>32,>32,16,8,,>16,0.5,,>64,<=4,>8
590.16115,SRR2542449,Salmonella enterica SRR2542449,30333126,>32,>32,32,4,>256,>32,<=0.25,,,>32,>8
590.16211,SRR2542453,Salmonella enterica SRR2542453,30333126,2,<=1,<=0.25,8,32,4,0.5,,,<=4,1
590.16271,SRR2542457,Salmonella enterica SRR2542457,30333126,<=1,<=1,<=0.25,8,32,2,0.5,,,<=4,0.5
590.16402,SRR2542478,Salmonella enterica SRR2542478,30333126,>32,>32,8,8,>256,16,0.5,,>64,>32,>8
590.16414,SRR2542480,Salmonella enterica SRR2542480,30333126,>32,>32,32,8,>256,>32,<=0.25,,>64,>32,>8
590.16465,SRR2542482,Salmonella enterica SRR2542482,30333126,<=1,<=1,<=0.25,4,32,2,0.5,,>64,>32,1
590.16571,SRR2542487,Salmonella enterica SRR2542487,30333126,>32,>32,>64,>32,>256,>32,>16,,>64,>32,>8
590.1666,SRR2542494,Salmonella enterica SRR2542494,30333126,<=1,<=1,<=0.25,8,32,4,0.5,,,<=4,1
590.1678,SRR2542502,Salmonella enterica SRR2542502,30333126,<=1,<=1,<=0.25,8,>256,4,0.5,,64,>32,1
590.16865,SRR2566864,Salmonella enterica SRR2566864,30333126,>32,8,<=0.25,8,32,4,>16,<=8,,>32,1
590.16961,SRR2566871,Salmonella enterica SRR2566871,30333126,2,<=1,<=0.25,4,32,4,0.5,<=8,,<=4,1
590.1698,SRR2566873,Salmonella enterica SRR2566873,30333126,<=1,<=1,<=0.25,8,32,4,0.5,<=8,,<=4,1
590.16993,SRR2566874,Salmonella enterica SRR2566874,30333126,<=1,<=1,<=0.25,4,64,2,1,<=8,,<=4,0.5
590.17041,SRR2566880,Salmonella enterica SRR2566880,30333126,>32,32,8,8,>256,32,0.5,>64,,>32,8
590.17098,SRR2566885,Salmonella enterica SRR2566885,30333126,<=1,<=1,<=0.25,4,<=16,1,0.5,<=8,,<=4,0.5
590.17111,SRR2566886,Salmonella enterica SRR2566886,30333126,<=1,<=1,<=0.25,8,<=16,2,0.5,<=8,>64,>32,1
590.17135,SRR2566888,Salmonella enterica SRR2566888,30333126,<=1,<=1,<=0.25,8,<=16,2,0.5,<=8,,<=4,1
590.17144,SRR2566890,Salmonella enterica SRR2566890,30333126,<=1,<=1,<=0.25,8,64,4,0.5,<=8,,<=4,1
590.17182,SRR2566893,Salmonella enterica SRR2566893,30333126,<=1,<=1,<=0.25,4,<=16,2,2,<=8,,<=4,1
590.17228,SRR2566897,Salmonella enterica SRR2566897,30333126,<=1,<=1,<=0.25,8,>256,2,0.5,<=8,>64,>32,1
590.1727,SRR2566902,Salmonella enterica SRR2566902,30333126,<=1,<=1,<=0.25,8,<=16,2,0.5,<=8,,<=4,0.5
590.17278,SRR2566903,Salmonella enterica SRR2566903,30333126,>32,>32,8,4,>256,32,0.5,<=8,,>32,8
590.13008,SRR2566912,Salmonella enterica SRR2566912,30333126,>32,32,4,4,<=16,16,0.5,<=8,,<=4,8
590.13016,SRR2566913,Salmonella enterica SRR2566913,30333126,<=1,<=1,<=0.25,4,32,2,1,<=8,64,>32,1
590.13037,SRR2566915,Salmonella enterica SRR2566915,30333126,>32,8,<=0.25,>32,>256,2,>16,>64,>64,>32,1
590.13043,SRR2566916,Salmonella enterica SRR2566916,30333126,>32,>32,8,8,>256,32,0.5,>64,,>32,>8
590.13136,SRR2566922,Salmonella enterica SRR2566922,30333126,<=1,<=1,<=0.25,8,<=16,2,0.5,<=8,,<=4,0.5
590.13148,SRR2566924,Salmonella enterica SRR2566924,30333126,<=1,<=1,<=0.25,8,32,4,0.5,<=8,,<=4,1
590.17781,SRR2566926,Salmonella enterica SRR2566926,30333126,>32,>32,16,8,64,32,0.5,>64,>64,>32,>8
590.13183,SRR2566929,Salmonella enterica SRR2566929,30333126,>32,8,<=0.25,16,64,8,0.5,>64,>64,>32,2
590.13203,SRR2566930,Salmonella enterica SRR2566930,30333126,<=1,<=1,<=0.25,8,32,4,0.5,<=8,,<=4,1
590.13214,SRR2566931,Salmonella enterica SRR2566931,30333126,>32,8,<=0.25,4,>256,2,16,<=8,,>32,0.5
590.13237,SRR2566933,Salmonella enterica SRR2566933,30333126,>32,>32,8,8,>256,32,0.5,<=8,,>32,8
