PATRIC ID,Run Accession,Genome Name,Publication (pubmed ID),Amikacin,Ampicillin/Sulbactam,Aztreonam,Cefazolin,Cefepime,Cefoxitin,Ceftazidime,Ceftriaxone,Cefuroxime sodium,Ciprofloxacin,Gentamicin,Imipenem,Levofloxacin,Meropenem,Nitrofurantoin,Piperacillin/Tazobactam,Tetracycline,Tobramycin,Trimethoprim/Sulfamethoxazole
573.13195,SRR5385641,Klebsiella pneumoniae KPN1204ec,29323230,<=8,>16/8,>16,>16,<=1,>16,>16,>32,>16,>2,>8,>8,>4,>8,64,>64/4,4,<=2,2/38
573.13196,SRR5385640,Klebsiella pneumoniae KPN1205ec,29323230,<=8,>16/8,>16,>16,>16,>16,>16,>32,>16,>2,>8,<=1,>4,<=1,>64,>64/4,>8,<=2,>2/38
573.13197,SRR5385639,Klebsiella pneumoniae KPN1206ec,29323230,<=8,>16/8,4,>16,<=1,>16,>16,>32,>16,>2,<=2,<=1,>4,<=1,>64,>64/4,>8,>8,>2/38
573.13198,SRR5385638,Klebsiella pneumoniae KPN1207ec,29323230,<=8,>16/8,16,>16,8,8,>16,>32,>16,<=0.5,<=2,<=1,<=1,<=1,,>64/4,<=2,<=2,<=0.5/9
573.13199,SRR5385637,Klebsiella pneumoniae KPN1208ec,29323230,<=8,>16/8,>16,>16,4,8,>16,16,>16,<=0.5,<=2,<=1,<=1,<=1,,>64/4,<=2,<=2,<=0.5/9
573.13200,SRR5385636,Klebsiella pneumoniae KPN1209ec,29323230,<=8,>16/8,>16,>16,>16,>16,>16,>32,>16,>2,>8,<=1,>4,<=1,>64,>64/4,8,<=2,2/38
573.13201,SRR5385635,Klebsiella pneumoniae KPN1210ec,29323230,>32,>16/8,>16,>16,>16,>16,>16,>32,>16,>2,4,8,>4,8,,>64/4,4,>8,>2/38
573.13202,SRR5385634,Klebsiella pneumoniae KPN1211ec,29323230,<=8,>16/8,<=2,>16,<=1,>16,>16,>32,>16,>2,>8,<=1,>4,4,>64,>64/4,8,<=2,>2/38
573.13203,SRR5385633,Klebsiella pneumoniae KPN1213ec,29323230,<=8,16/8,>16,>16,4,8,>16,32,>16,2,>8,<=1,2,<=1,,8/4,<=2,8,<=0.5/9
573.13204,SRR5385632,Klebsiella pneumoniae KPN1214ec,29323230,<=8,>16/8,>16,>16,>16,8,>16,>32,>16,>2,>8,<=1,>4,<=1,>64,64/4,>8,>8,>2/38
573.13205,SRR5385631,Klebsiella pneumoniae KPN1215ec,29323230,>32,>16/8,>16,>16,>16,>16,>16,>32,>16,>2,8,8,>4,4,,>64/4,4,>8,>2/38
573.13206,SRR5385630,Klebsiella pneumoniae KPN1216ec,29323230,>32,>16/8,>16,>16,>16,>16,>16,>32,>16,>2,8,2,>4,4,,>64/4,8,>8,>2/38
573.13207,SRR5385629,Klebsiella pneumoniae KPN1217ec,29323230,>32,>16/8,>16,>16,>16,>16,>16,>32,>16,>2,8,8,>4,8,,>64/4,4,>8,>2/38
573.13208,SRR5385628,Klebsiella pneumoniae KPN1218ec,29323230,>32,>16/8,>16,>16,>16,>16,>16,>32,>16,>2,8,2,>4,4,>64,>64/4,4,>8,>2/38
573.13209,SRR5385627,Klebsiella pneumoniae KPN1219ec,29323230,<=8,>16/8,>16,>16,>16,>16,>16,>32,>16,>2,<=2,<=1,>4,<=1,>64,32/4,>8,<=2,2/38
573.13210,SRR5385626,Klebsiella pneumoniae KPN1220ec,29323230,32,>16/8,>16,>16,>16,>16,>16,>32,>16,>2,4,>8,>4,>8,,>64/4,4,>8,>2/38
573.13211,SRR5385625,Klebsiella pneumoniae KPN1221ec,29323230,32,>16/8,>16,>16,>16,>16,>16,>32,>16,>2,4,>8,>4,>8,,>64/4,4,>8,>2/38
573.13212,SRR5385624,Klebsiella pneumoniae KPN1222ec,29323230,<=8,>16/8,>16,>16,<=1,>16,>16,>32,>16,>2,>8,>8,>4,>8,,>64/4,>8,8,>2/38
573.13213,SRR5385623,Klebsiella pneumoniae KPN1224ec,29323230,<=8,>16/8,>16,>16,<=1,>16,>16,>32,>16,>2,<=2,8,>4,>8,,>64/4,4,<=2,>2/38
573.13214,SRR5385622,Klebsiella pneumoniae KPN1226ec,29323230,<=8,>16/8,>16,>16,>16,>16,>16,>32,>16,>2,>8,>8,>4,>8,,>64/4,>8,<=2,>2/38
573.13215,SRR5385621,Klebsiella pneumoniae KPN1230ec,29323230,<=8,>16/8,>16,>16,>16,>16,>16,>32,>16,>2,>8,>8,>4,>8,,>64/4,>8,8,>2/38
573.13216,SRR5386988,Klebsiella pneumoniae KPN1233ec,29323230,<=8,>16/8,>16,>16,>16,16,>16,>32,>16,>2,>8,<=1,>4,<=1,,64/4,>8,>8,>2/38
573.13217,SRR5386987,Klebsiella pneumoniae KPN1234ec,29323230,32,>16/8,>16,>16,>16,>16,>16,>32,>16,>2,8,>8,>4,>8,,>64/4,4,>8,>2/38
573.13218,SRR5386985,Klebsiella pneumoniae KPN1237ec,29323230,<=8,>16/8,>16,>16,>16,>16,>16,>32,>16,>2,>8,<=1,>4,2,>64,>64/4,>8,<=2,>2/38
573.13219,SRR5386984,Klebsiella pneumoniae KPN1239ec,29323230,32,>16/8,>16,>16,>16,>16,>16,>32,>16,>2,4,>8,>4,>8,,>64/4,4,>8,>2/38
573.13220,SRR5386858,Klebsiella pneumoniae KPN123ec,29323230,<=8,>16/8,>16,>16,>16,>16,>16,>32,>16,>2,>8,>8,>4,>8,,>64/4,4,8,>2/38
573.13221,SRR5386983,Klebsiella pneumoniae KPN1240ec,29323230,32,>16/8,>16,>16,>16,>16,>16,>32,>16,>2,4,>8,>4,>8,>64,>64/4,4,>8,>2/38
573.13222,SRR5386982,Klebsiella pneumoniae KPN1241ec,29323230,<=8,>16/8,>16,>16,16,>16,>16,>32,>16,>2,>8,2,>4,4,,>64/4,>8,8,>2/38
573.13223,SRR5386807,Klebsiella pneumoniae KPN1242ec,29323230,<=8,>16/8,>16,>16,<=1,>16,>16,>32,>16,>2,>8,<=1,>4,<=1,>64,>64/4,>8,<=2,>2/38
573.13224,SRR5386981,Klebsiella pneumoniae KPN1243ec,29323230,<=8,>16/8,>16,>16,<=1,>16,>16,>32,>16,>2,<=2,>8,>4,>8,,>64/4,<=2,<=2,>2/38
573.13225,SRR5386980,Klebsiella pneumoniae KPN1244ec,29323230,<=8,>16/8,>16,>16,>16,8,>16,>32,>16,>2,>8,<=1,>4,<=1,64,>64/4,4,8,<=0.5/9
573.13226,SRR5386979,Klebsiella pneumoniae KPN1245ec,29323230,16,>16/8,>16,>16,,>16,>16,>32,>16,>2,>8,<=1,>4,<=1,>64,>64/4,>8,>8,>2/38
573.13227,SRR5386978,Klebsiella pneumoniae KPN1246ec,29323230,32,>16/8,>16,>16,4,>16,>16,>32,>16,>2,>8,<=1,>4,<=1,>64,>64/4,>8,>8,>2/38
573.13228,SRR5386977,Klebsiella pneumoniae KPN1248ec,29323230,32,16/8,>16,>16,4,16,>16,32,>16,>2,4,<=1,>4,<=1,>64,8/4,4,>8,>2/38
573.13229,SRR5386976,Klebsiella pneumoniae KPN1249ec,29323230,<=8,>16/8,>16,>16,>16,<=4,>16,>32,>16,2,<=2,<=1,<=1,<=1,64,8/4,>8,<=2,>2/38
573.13230,SRR5386458,Klebsiella pneumoniae KPN124ec,29323230,<=8,>16/8,>16,>16,>16,>16,>16,>32,>16,>2,<=2,<=1,>4,<=1,>64,32/4,8,<=2,>2/38
573.13231,SRR5386975,Klebsiella pneumoniae KPN1251ec,29323230,<=8,>16/8,>16,>16,<=1,8,>16,>32,>16,>2,<=2,<=1,>4,<=1,>64,16/4,4,<=2,<=0.5/9
573.13232,SRR5386974,Klebsiella pneumoniae KPN1252ec,29323230,16,>16/8,>16,>16,,>16,>16,>32,>16,>2,<=2,<=1,>4,<=1,,>64/4,8,>8,2/38
573.13233,SRR5386972,Klebsiella pneumoniae KPN1254ec,29323230,32,>16/8,>16,>16,>16,>16,>16,>32,>16,>2,<=2,8,>4,8,,>64/4,4,>8,>2/38
573.13234,SRR5386971,Klebsiella pneumoniae KPN1255ec,29323230,>32,>16/8,>16,>16,16,>16,>16,>32,>16,>2,8,>8,>4,>8,>64,>64/4,4,>8,1/19
573.13235,SRR5386970,Klebsiella pneumoniae KPN1256ec,29323230,<=8,>16/8,>16,>16,>16,>16,>16,>32,>16,>2,<=2,8,>4,>8,,>64/4,4,<=2,>2/38
573.13236,SRR5386969,Klebsiella pneumoniae KPN1257ec,29323230,32,>16/8,>16,>16,16,>16,>16,>32,>16,>2,4,<=1,>4,4,>64,>64/4,<=2,>8,>2/38
573.13237,SRR5386968,Klebsiella pneumoniae KPN1259ec,29323230,32,>16/8,>16,>16,>16,>16,>16,>32,>16,>2,4,>8,>4,8,,>64/4,4,>8,>2/38
573.13238,SRR5386457,Klebsiella pneumoniae KPN125ec,29323230,32,>16/8,,>16,<=1,>16,>16,>32,>16,>2,<=2,>8,>4,>8,,>64/4,4,>8,1/19
573.13239,SRR5386967,Klebsiella pneumoniae KPN1260ec,29323230,>32,>16/8,>16,>16,,>16,>16,>32,>16,>2,>8,<=1,>4,<=1,,>64/4,>8,>8,>2/38
573.13240,SRR5386966,Klebsiella pneumoniae KPN1261ec,29323230,>32,>16/8,>16,>16,>16,>16,>16,>32,>16,>2,4,>8,>4,>8,,>64/4,4,>8,>2/38
573.13241,SRR5386965,Klebsiella pneumoniae KPN1262ec,29323230,<=8,>16/8,>16,>16,16,<=4,>16,>32,>16,2,<=2,<=1,<=1,<=1,>64,>64/4,<=2,<=2,<=0.5/9
573.13242,SRR5386964,Klebsiella pneumoniae KPN1263ec,29323230,<=8,16/8,>16,>16,4,>16,>16,16,>16,>2,4,<=1,>4,<=1,>64,16/4,>8,4,<=0.5/9
573.13243,SRR5386963,Klebsiella pneumoniae KPN1264ec,29323230,<=8,16/8,>16,>16,2,>16,>16,8,>16,>2,8,<=1,>4,<=1,,16/4,>8,8,<=0.5/9
573.13244,SRR5386962,Klebsiella pneumoniae KPN1265ec,29323230,<=8,>16/8,>16,>16,>16,<=4,>16,>32,>16,>2,<=2,<=1,>4,<=1,,64/4,>8,8,>2/38
573.13245,SRR5386960,Klebsiella pneumoniae KPN1267ec,29323230,<=8,16/8,>16,>16,2,>16,>16,32,>16,>2,8,<=1,>4,<=1,,16/4,>8,8,<=0.5/9
573.13246,SRR5386959,Klebsiella pneumoniae KPN1268ec,29323230,<=8,>16/8,>16,>16,>16,<=4,>16,>32,>16,>2,>8,<=1,>4,<=1,,>64/4,<=2,8,>2/38
573.13247,SRR5386958,Klebsiella pneumoniae KPN1269ec,29323230,<=8,>16/8,>16,>16,<=1,>16,>16,>32,>16,>2,<=2,8,>4,>8,,>64/4,4,<=2,>2/38
573.13248,SRR5386456,Klebsiella pneumoniae KPN126ec,29323230,<=8,>16/8,>16,>16,>16,8,>16,>32,>16,>2,>8,<=1,>4,<=1,>64,>64/4,<=2,8,<=0.5/9
573.13249,SRR5386957,Klebsiella pneumoniae KPN1270ec,29323230,<=8,>16/8,>16,>16,>16,16,>16,>32,>16,>2,<=2,<=1,>4,<=1,,16/4,4,<=2,<=0.5/9
573.13250,SRR5386956,Klebsiella pneumoniae KPN1271ec,29323230,<=8,>16/8,>16,>16,16,>16,>16,>32,>16,>2,>8,<=1,>4,<=1,>64,>64/4,>8,8,<=0.5/9
573.13251,SRR5386955,Klebsiella pneumoniae KPN1272ec,29323230,<=8,>16/8,>16,>16,<=1,>16,>16,>32,>16,>2,>8,>8,>4,>8,>64,>64/4,8,>8,>2/38
573.13252,SRR5386954,Klebsiella pneumoniae KPN1273ec,29323230,>32,>16/8,>16,>16,>16,>16,>16,>32,>16,>2,>8,>8,>4,>8,>64,>64/4,<=2,>8,>2/38
573.13253,SRR5386953,Klebsiella pneumoniae KPN1274ec,29323230,<=8,>16/8,>16,>16,16,8,>16,>32,>16,>2,<=2,<=1,>4,<=1,>64,>64/4,4,<=2,<=0.5/9
573.13254,SRR5386952,Klebsiella pneumoniae KPN1275ec,29323230,<=8,>16/8,>16,>16,>16,<=4,>16,>32,>16,>2,>8,<=1,>4,<=1,,>64/4,4,>8,>2/38
573.13255,SRR5386951,Klebsiella pneumoniae KPN1276ec,29323230,16,>16/8,>16,>16,>16,>16,>16,>32,>16,>2,>8,>8,>4,2,,>64/4,4,>8,>2/38
573.13256,SRR5386950,Klebsiella pneumoniae KPN1277ec,29323230,<=8,>16/8,>16,>16,>16,<=4,>16,>32,>16,>2,>8,<=1,>4,<=1,>64,>64/4,<=2,>8,>2/38
573.13257,SRR5386949,Klebsiella pneumoniae KPN1278ec,29323230,<=8,>16/8,>16,>16,>16,>16,>16,>32,>16,>2,>8,>8,>4,>8,32,>64/4,4,<=2,1/19
573.13258,SRR5386948,Klebsiella pneumoniae KPN1279ec,29323230,<=8,>16/8,>16,>16,>16,<=4,>16,>32,>16,>2,>8,<=1,<=1,<=1,>64,>64/4,>8,>8,>2/38
573.13259,SRR5386947,Klebsiella pneumoniae KPN1280ec,29323230,<=8,>16/8,>16,>16,>16,>16,>16,>32,>16,>2,>8,>8,>4,>8,,>64/4,<=2,8,>2/38
573.13260,SRR5386946,Klebsiella pneumoniae KPN1281ec,29323230,<=8,8/4,16,>16,<=1,16,>16,<=2,16,>2,<=2,<=1,>4,<=1,32,16/4,>8,<=2,>2/38
573.13261,SRR5386945,Klebsiella pneumoniae KPN1282ec,29323230,32,>16/8,>16,>16,>16,>16,>16,>32,>16,>2,<=2,<=1,>4,<=1,>64,>64/4,4,>8,>2/38
573.13262,SRR5386944,Klebsiella pneumoniae KPN1283ec,29323230,<=8,>16/8,>16,>16,,8,>16,>32,>16,>2,>8,<=1,>4,<=1,,>64/4,8,8,<=0.5/9
573.13263,SRR5386943,Klebsiella pneumoniae KPN1284ec,29323230,<=8,>16/8,>16,>16,4,>16,>16,>32,>16,>2,>8,<=1,>4,<=1,>64,>64/4,>8,<=2,>2/38
573.13264,SRR5386942,Klebsiella pneumoniae KPN1285ec,29323230,<=8,>16/8,4,>16,<=1,>16,>16,>32,>16,>2,<=2,<=1,>4,<=1,>64,>64/4,>8,<=2,>2/38
573.13265,SRR5386941,Klebsiella pneumoniae KPN1286ec,29323230,<=8,>16/8,>16,>16,>16,>16,>16,>32,>16,>2,>8,<=1,>4,<=1,>64,>64/4,>8,<=2,>2/38
573.13266,SRR5386454,Klebsiella pneumoniae KPN128ec,29323230,<=8,>16/8,8,>16,<=1,8,>16,>32,>16,>2,<=2,<=1,>4,<=1,,>64/4,4,<=2,>2/38
573.13267,SRR5386453,Klebsiella pneumoniae KPN129ec,29323230,<=8,>16/8,>16,>16,>16,>16,>16,>32,>16,>2,>8,<=1,>4,<=1,>64,>64/4,>8,<=2,>2/38
573.13268,SRR5386940,Klebsiella pneumoniae KPN1301ec,29323230,<=8,>16/8,>16,>16,<=1,>16,>16,>32,>16,>2,>8,<=1,>4,<=1,,>64/4,8,<=2,2/38
573.13269,SRR5386939,Klebsiella pneumoniae KPN1302ec,29323230,<=8,>16/8,16,>16,>16,16,>16,>32,>16,>2,>8,<=1,>4,<=1,,>64/4,>8,>8,>2/38
573.13270,SRR5386938,Klebsiella pneumoniae KPN1303ec,29323230,<=8,>16/8,>16,>16,>16,8,>16,>32,>16,>2,>8,<=1,>4,<=1,>64,>64/4,4,8,<=0.5/9
573.13271,SRR5386936,Klebsiella pneumoniae KPN1305ec,29323230,16,16/8,>16,>16,4,>16,>16,32,>16,>2,<=2,<=1,>4,<=1,,16/4,8,8,1/19
573.13272,SRR5386934,Klebsiella pneumoniae KPN1307ec,29323230,16,>16/8,4,>16,>16,<=4,>16,>32,>16,>2,>8,<=1,>4,<=1,>64,4/4,<=2,>8,>2/38
573.13273,SRR5386932,Klebsiella pneumoniae KPN1309ec,29323230,32,>16/8,>16,>16,>16,>16,>16,>32,>16,>2,4,>8,>4,>8,,>64/4,4,>8,>2/38
573.13274,SRR5386452,Klebsiella pneumoniae KPN130ec,29323230,<=8,>16/8,>16,>16,<=1,>16,>16,>32,>16,>2,<=2,8,>4,>8,,>64/4,<=2,<=2,>2/38
573.13275,SRR5386930,Klebsiella pneumoniae KPN1311ec,29323230,<=8,>16/8,>16,>16,8,<=4,>16,>32,>16,1,<=2,<=1,<=1,<=1,>64,4/4,<=2,<=2,>2/38
573.13276,SRR5386929,Klebsiella pneumoniae KPN1312ec,29323230,<=8,>16/8,<=2,>16,<=1,>16,>16,>32,>16,>2,>8,<=1,>4,<=1,>64,>64/4,>8,8,>2/38
573.13277,SRR5386927,Klebsiella pneumoniae KPN1314ec,29323230,<=8,16/8,>16,>16,4,<=4,>16,32,>16,1,<=2,<=1,<=1,<=1,,>64/4,<=2,<=2,>2/38
573.13278,SRR5386926,Klebsiella pneumoniae KPN1315ec,29323230,<=8,>16/8,>16,>16,<=1,>16,>16,>32,>16,>2,4,>8,>4,>8,>64,>64/4,8,4,>2/38
573.13279,SRR5386925,Klebsiella pneumoniae KPN1316ec,29323230,<=8,16/8,16,>16,>16,<=4,16,>32,>16,1,>8,<=1,<=1,<=1,64,4/4,<=2,8,<=0.5/9
573.13280,SRR5386924,Klebsiella pneumoniae KPN1317ec,29323230,<=8,>16/8,>16,>16,<=1,>16,>16,>32,>16,>2,>8,<=1,>4,<=1,>64,>64/4,>8,<=2,>2/38
573.13281,SRR5386451,Klebsiella pneumoniae KPN131ec,29323230,16,>16/8,>16,>16,>16,>16,>16,>32,>16,>2,<=2,<=1,>4,<=1,,>64/4,8,>8,2/38
573.13282,SRR5386853,Klebsiella pneumoniae KPN1321ec,29323230,<=8,>16/8,>16,>16,16,8,>16,>32,>16,>2,<=2,<=1,>4,<=1,>64,16/4,>8,8,>2/38
573.13283,SRR5386852,Klebsiella pneumoniae KPN1322ec,29323230,<=8,>16/8,>16,>16,>16,<=4,>16,>32,>16,>2,>8,<=1,>4,<=1,>64,>64/4,4,8,<=0.5/9
573.13284,SRR5386851,Klebsiella pneumoniae KPN1323ec,29323230,<=8,>16/8,16,>16,16,<=4,4,>32,>16,>2,>8,<=1,>4,<=1,,8/4,>8,8,>2/38
573.13285,SRR5386850,Klebsiella pneumoniae KPN1325ec,29323230,<=8,>16/8,>16,>16,<=1,>16,>16,>32,>16,>2,>8,<=1,>4,<=1,>64,>64/4,4,8,<=0.5/9
573.13286,SRR5386849,Klebsiella pneumoniae KPN1326ec,29323230,<=8,16/8,<=2,>16,<=1,<=4,<=0.5,>32,>16,1,>8,<=1,<=1,<=1,,4/4,>8,4,>2/38
573.13287,SRR5386848,Klebsiella pneumoniae KPN1327ec,29323230,<=8,>16/8,>16,>16,16,>16,>16,>32,>16,>2,>8,<=1,4,<=1,>64,32/4,>8,>8,>2/38
573.13288,SRR5386847,Klebsiella pneumoniae KPN1328ec,29323230,>32,>16/8,>16,>16,16,>16,>16,>32,>16,>2,<=2,8,>4,8,>64,>64/4,4,>8,>2/38
573.13289,SRR5386846,Klebsiella pneumoniae KPN1329ec,29323230,<=8,>16/8,>16,>16,<=1,>16,>16,>32,>16,>2,<=2,>8,>4,>8,,>64/4,4,<=2,>2/38
573.13290,SRR5386450,Klebsiella pneumoniae KPN132ec,29323230,<=8,>16/8,>16,>16,>16,>16,>16,>32,>16,>2,>8,>8,>4,>8,>64,>64/4,4,8,>2/38
573.13291,SRR5386845,Klebsiella pneumoniae KPN1330ec,29323230,32,>16/8,>16,>16,<=1,>16,>16,>32,>16,>2,>8,<=1,>4,<=1,>64,>64/4,>8,>8,>2/38
573.13292,SRR5386844,Klebsiella pneumoniae KPN1331ec,29323230,<=8,>16/8,>16,>16,4,>16,>16,>32,>16,>2,<=2,4,>4,>8,>64,>64/4,4,<=2,>2/38
573.13293,SRR5386843,Klebsiella pneumoniae KPN1332ec,29323230,<=8,>16/8,>16,>16,>16,8,>16,>32,>16,>2,<=2,<=1,>4,<=1,>64,8/4,4,<=2,<=0.5/9
573.13294,SRR5386842,Klebsiella pneumoniae KPN1333ec,29323230,<=8,>16/8,>16,>16,>16,16,>16,>32,>16,>2,<=2,<=1,>4,<=1,>64,16/4,>8,<=2,>2/38
573.13295,SRR5386841,Klebsiella pneumoniae KPN1334ec,29323230,<=8,>16/8,16,>16,8,<=4,4,>32,>16,>2,>8,<=1,4,<=1,,8/4,>8,8,>2/38
573.13296,SRR5386840,Klebsiella pneumoniae KPN1335ec,29323230,<=8,8/4,>16,>16,<=1,8,16,<=2,16,>2,8,<=1,4,<=1,,8/4,8,8,<=0.5/9
573.13297,SRR5386839,Klebsiella pneumoniae KPN1336ec,29323230,<=8,8/4,>16,16,<=1,16,16,<=2,16,>2,8,<=1,4,<=1,,8/4,8,8,<=0.5/9
573.13298,SRR5386838,Klebsiella pneumoniae KPN1337ec,29323230,<=8,>16/8,16,>16,>16,<=4,4,>32,>16,>2,>8,<=1,4,<=1,>64,4/4,>8,>8,>2/38
573.13299,SRR5386837,Klebsiella pneumoniae KPN1338ec,29323230,<=8,>16/8,>16,>16,<=1,>16,>16,>32,>16,>2,>8,<=1,>4,<=1,>64,>64/4,>8,<=2,>2/38
573.13300,SRR5386449,Klebsiella pneumoniae KPN133ec,29323230,16,>16/8,>16,>16,>16,8,>16,>32,>16,>2,<=2,<=1,>4,<=1,>64,8/4,<=2,>8,>2/38
573.13301,SRR5386835,Klebsiella pneumoniae KPN1340ec,29323230,<=8,>16/8,>16,>16,>16,<=4,>16,>32,>16,>2,>8,<=1,<=1,<=1,64,16/4,>8,>8,>2/38
573.13302,SRR5386834,Klebsiella pneumoniae KPN1341ec,29323230,<=8,>16/8,>16,>16,4,>16,>16,16,>16,>2,4,<=1,>4,<=1,,32/4,>8,8,1/19
573.13303,SRR5386833,Klebsiella pneumoniae KPN1342ec,29323230,>32,>16/8,>16,>16,>16,>16,>16,>32,>16,>2,>8,>8,>4,>8,>64,>64/4,4,>8,>2/38
573.13304,SRR5386831,Klebsiella pneumoniae KPN1344ec,29323230,<=8,>16/8,>16,>16,16,<=4,>16,>32,>16,>2,>8,<=1,<=1,<=1,64,32/4,>8,>8,>2/38
573.13305,SRR5386830,Klebsiella pneumoniae KPN1345ec,29323230,<=8,>16/8,>16,>16,<=1,>16,>16,>32,>16,>2,>8,<=1,>4,<=1,>64,>64/4,>8,<=2,>2/38
573.13306,SRR5386829,Klebsiella pneumoniae KPN1346ec,29323230,<=8,>16/8,>16,>16,>16,8,>16,>32,>16,>2,>8,<=1,>4,<=1,,>64/4,>8,8,>2/38
573.13307,SRR5386828,Klebsiella pneumoniae KPN1347ec,29323230,>32,>16/8,>16,>16,>16,>16,>16,>32,>16,>2,>8,>8,>4,>8,>64,>64/4,4,>8,>2/38
573.13308,SRR5386827,Klebsiella pneumoniae KPN1348ec,29323230,<=8,>16/8,>16,>16,>16,8,>16,>32,>16,>2,>8,<=1,>4,<=1,,>64/4,>8,>8,>2/38
573.13309,SRR5386826,Klebsiella pneumoniae KPN1349ec,29323230,<=8,>16/8,>16,>16,>16,8,>16,>32,>16,>2,<=2,<=1,>4,<=1,,8/4,<=2,8,>2/38
573.13310,SRR5386448,Klebsiella pneumoniae KPN134ec,29323230,<=8,>16/8,>16,>16,>16,<=4,>16,>32,>16,>2,<=2,<=1,>4,<=1,>64,4/4,>8,>8,>2/38
573.13311,SRR5386825,Klebsiella pneumoniae KPN1350ec,29323230,<=8,>16/8,>16,>16,>16,>16,>16,>32,>16,>2,>8,<=1,>4,<=1,>64,>64/4,>8,<=2,>2/38
573.13312,SRR5386823,Klebsiella pneumoniae KPN1352ec,29323230,<=8,>16/8,>16,>16,>16,8,>16,>32,>16,>2,>8,<=1,>4,<=1,,16/4,>8,8,>2/38
573.13313,SRR5386821,Klebsiella pneumoniae KPN1354ec,29323230,<=8,>16/8,>16,>16,4,<=4,>16,>32,>16,>2,>8,<=1,>4,<=1,,>64/4,>8,8,<=0.5/9
573.13314,SRR5386820,Klebsiella pneumoniae KPN1355ec,29323230,<=8,>16/8,>16,>16,>16,8,16,>32,>16,>2,>8,<=1,4,<=1,,>64/4,>8,8,>2/38
573.13315,SRR5386819,Klebsiella pneumoniae KPN1356ec,29323230,<=8,>16/8,>16,>16,>16,>16,>16,>32,>16,>2,>8,<=1,>4,<=1,>64,>64/4,>8,<=2,>2/38
573.13316,SRR5386818,Klebsiella pneumoniae KPN1357ec,29323230,<=8,>16/8,>16,>16,>16,<=4,>16,>32,>16,>2,>8,<=1,>4,<=1,>64,>64/4,<=2,8,<=0.5/9
573.13317,SRR5386817,Klebsiella pneumoniae KPN1358ec,29323230,<=8,>16/8,>16,>16,>16,8,>16,>32,>16,>2,<=2,<=1,>4,<=1,>64,16/4,>8,<=2,>2/38
573.13318,SRR5386815,Klebsiella pneumoniae KPN1360ec,29323230,<=8,>16/8,16,>16,8,<=4,>16,>32,>16,>2,>8,<=1,<=1,<=1,,8/4,>8,>8,>2/38
573.13319,SRR5386814,Klebsiella pneumoniae KPN1361ec,29323230,<=8,>16/8,>16,>16,>16,<=4,16,>32,>16,>2,>8,<=1,<=1,<=1,,16/4,>8,>8,>2/38
573.13321,SRR5386812,Klebsiella pneumoniae KPN1363ec,29323230,<=8,>16/8,>16,>16,<=1,8,16,<=2,16,>2,4,<=1,4,<=1,64,8/4,>8,4,>2/38
573.13322,SRR5386811,Klebsiella pneumoniae KPN1364ec,29323230,>32,>16/8,>16,>16,>16,>16,>16,>32,>16,>2,4,2,>4,4,>64,>64/4,4,>8,>2/38
573.13323,SRR5386810,Klebsiella pneumoniae KPN1365ec,29323230,<=8,>16/8,>16,>16,<=1,8,>16,>32,>16,>2,<=2,2,4,<=1,>64,>64/4,<=2,<=2,<=0.5/9
573.13324,SRR5386806,Klebsiella pneumoniae KPN1369ec,29323230,<=8,>16/8,>16,>16,<=1,8,>16,>32,>16,>2,<=2,<=1,>4,<=1,,>64/4,4,<=2,>2/38
573.13325,SRR5386809,Klebsiella pneumoniae KPN1366ec,29323230,<=8,>16/8,>16,>16,>16,>16,>16,>32,>16,<=0.5,<=2,<=1,<=1,<=1,,>64/4,<=2,<=2,<=0.5/9
573.13326,SRR5386803,Klebsiella pneumoniae KPN1372ec,29323230,<=8,>16/8,>16,>16,>16,16,>16,>32,>16,>2,<=2,<=1,>4,<=1,,>64/4,>8,8,>2/38
573.13327,SRR5386802,Klebsiella pneumoniae KPN1373ec,29323230,32,>16/8,>16,>16,,>16,>16,>32,>16,>2,<=2,2,>4,,>64,>64/4,8,>8,>2/38
573.13328,SRR5386799,Klebsiella pneumoniae KPN1377ec,29323230,<=8,>16/8,>16,>16,<=1,<=4,>16,>32,>16,>2,>8,<=1,>4,<=1,64,64/4,>8,<=2,>2/38
573.13329,SRR5386798,Klebsiella pneumoniae KPN1378ec,29323230,<=8,16/8,>16,>16,8,8,>16,>32,>16,>2,<=2,<=1,>4,<=1,,,4,<=2,>2/38
573.13330,SRR5386797,Klebsiella pneumoniae KPN1380ec,29323230,<=8,16/8,>16,>16,>16,8,>16,>32,>16,>2,<=2,<=1,>4,<=1,,8/4,4,<=2,>2/38
573.13331,SRR5386796,Klebsiella pneumoniae KPN1381ec,29323230,<=8,>16/8,16,>16,>16,<=4,>16,>32,>16,>2,>8,<=1,<=1,<=1,64,64/4,>8,>8,>2/38
573.13332,SRR5386795,Klebsiella pneumoniae KPN1382ec,29323230,<=8,>16/8,>16,>16,8,<=4,16,>32,>16,2,>8,<=1,<=1,<=1,64,16/4,>8,>8,>2/38
573.13333,SRR5386794,Klebsiella pneumoniae KPN1383ec,29323230,<=8,>16/8,>16,>16,<=1,>16,>16,>32,>16,>2,<=2,<=1,>4,<=1,>64,>64/4,>8,<=2,>2/38
