ID,DCM (2),Species(3),Source,Source grouped by anatomical site,Computerome QC_pipeline output Sample,Bases (MB),Qual Bases (MB),Qual bases %,Reads,Qual reads,Qual reads %,Most common adapter (count),2. Most common adapter (count),Other adapters (count),N50,No ctgs,longest,total bps,ENA accession number (ERS),ENA accession number (ERR),Species,MIC panel,amikacin,ampicillin,ampicillin/sulbactam,aztreonam,cefazolin,cefepime,cephalothin,meropenem,ertapenem,cefuroxime,gentamicin,ciprofloxacin,piperacillin/tazobactam,cefoxitin,trimethoprim,sulfamethoxazole,cefpodoxime,ceftazidime,tobramycin,tigecycline,ticarcillin/clavulanic acid,ceftriaxone,tetracycline,colistin
1D-060,F2,Escherichia coli,Urine,Urine,DTU2018-686-PRJ1139-Escherichia-coli-1D-060_R1_001,387,305,78.87%,2611702,2294794,87.87%,89,38,154,95297,121,361096,5157365,ERS4415847,ERR4013439,Escherichia coli,GN3F + FRCOL,≤8,≤4,≤4/2,≤4,≤4,≤4,8,≤1,≤2,≤4,≤2,"≤0,5",≤16/4,≤4,1/19,NA,≤2,≤1,≤4,≤1,≤16/2,≤1,>16,0.5
1D-061,F2,Escherichia coli,Urine,Urine,DTU2018-687-PRJ1139-Escherichia-coli-1D-061_R1_001,426,338,79.30%,2871488,2537412,88.37%,54,26,131,155229,104,364692,4865000,ERS4415848,ERR4013440,Escherichia coli,GN3F + FRCOL,≤8,≤4,≤4/2,≤4,≤4,≤4,8,≤1,≤2,≤4,≤2,"≤0,5",≤16/4,8,"≤0,5/9,5",NA,≤2,≤1,≤4,≤1,≤16/2,≤1,2,0.25
1D-062,F2,Escherichia coli,Urine,Urine,DTU2018-688-PRJ1139-Escherichia-coli-1D-062_R1_001,362,283,78.20%,2443404,2137766,87.49%,69,24,82,367924,58,582167,5142335,ERS4415849,ERR4013441,Escherichia coli,GN3F + FRCOL,≤8,≤4,≤4/2,≤4,≤4,≤4,4,≤1,≤2,≤4,≤2,"≤0,5",≤16/4,≤4,"≤0,5/9,5",NA,≤2,≤1,≤4,≤1,≤16/2,≤1,2,1
1D-063,F2,Escherichia coli,Urine,Urine,DTU2018-689-PRJ1139-Escherichia-coli-1D-063_R1_001,726,608,83.69%,4996764,4522922,90.52%,335,319,170,202381,104,490001,5130548,ERS4415850,ERR4013442,Escherichia coli,GN3F + FRCOL,≤8,≤4,≤4/2,≤4,≤4,≤4,8,≤1,≤2,≤4,≤2,"≤0,5",≤16/4,≤4,"≤0,5/9,5",NA,≤2,≤1,≤4,≤1,≤16/2,≤1,1,0.5
1D-064,F2,Escherichia coli,Urine,Urine,DTU2018-690-PRJ1139-Escherichia-coli-1D-064_R1_001,446,361,80.95%,3017552,2685308,88.99%,154,106,136,244425,66,781793,5091181,ERS4415851,ERR4013443,Escherichia coli,GN3F + FRCOL,≤8,>32,8/4,≤4,≤4,≤4,16,≤1,≤2,≤4,≤2,"≤0,5",≤16/4,≤4,"≤0,5/9,5",NA,≤2,≤1,≤4,≤1,≤16/2,≤1,>16,0.5
1D-065,F2,Escherichia coli,Urine,Urine,DTU2018-691-PRJ1139-Escherichia-coli-1D-065_R1_001,346,267,77.41%,2333610,2022094,86.65%,77,22,75,336479,72,613638,4964515,ERS4415852,ERR4013444,Escherichia coli,GN3F + FRCOL,≤8,≤4,≤4/2,≤4,≤4,≤4,8,≤1,≤2,≤4,≤2,"≤0,5",≤16/4,≤4,"≤0,5/9,5",NA,≤2,≤1,≤4,≤1,≤16/2,≤1,2,0.5
1D-066,F2,Escherichia coli,Urine,Urine,DTU2018-692-PRJ1139-Escherichia-coli-1D-066_R1_001,593,491,82.78%,4121856,3690544,89.54%,311,239,146,288739,75,562175,5085997,ERS4415853,ERR4013445,Escherichia coli,GN3F + FRCOL,≤8,≤4,≤4/2,≤4,≤4,≤4,4,≤1,≤2,≤4,≤2,"≤0,5",≤16/4,8,"≤0,5/9,5",NA,≤2,≤1,≤4,≤1,≤16/2,≤1,1,0.5
1D-067,F2,Escherichia coli,Urine,Urine,DTU2018-693-PRJ1139-Escherichia-coli-1D-067_R1_001,332,258,77.69%,2229460,1942392,87.12%,80,19,71,127853,83,292879,4496016,ERS4415854,ERR4013446,Escherichia coli,GN3F + FRCOL,≤8,≤4,≤4/2,≤4,≤4,≤4,16,≤1,≤2,≤4,≤2,"≤0,5",≤16/4,≤4,"≤0,5/9,5",NA,≤2,≤1,≤4,≤1,≤16/2,≤1,1,0.5
1D-068,F2,Escherichia coli,Urine,Urine,DTU2018-694-PRJ1139-Escherichia-coli-1D-068_R1_001,396,314,79.44%,2673566,2357190,88.17%,89,70,103,359658,52,750117,4933280,ERS4415855,ERR4013447,Escherichia coli,GN3F + FRCOL,≤8,≤4,≤4/2,≤4,≤4,≤4,8,≤1,≤2,≤4,≤2,"≤0,5",≤16/4,≤4,"≤0,5/9,5",NA,≤2,≤1,≤4,≤1,≤16/2,≤1,1,0.5
1D-069,F2,Escherichia coli,Urine,Urine,DTU2018-695-PRJ1139-Escherichia-coli-1D-069_R1_001,470,385,81.90%,3179678,2856400,89.83%,121,83,109,132588,445,274593,5725089,ERS4415856,ERR4013448,Escherichia coli,GN3F + FRCOL,≤8,≤4,≤4/2,≤4,≤4,≤4,8,≤1,≤2,≤4,≤2,"≤0,5",≤16/4,≤4,"≤0,5/9,5",NA,≤2,≤1,≤4,≤1,≤16/2,≤1,1,0.25
1D-070,F2,Escherichia coli,Urine,Urine,DTU2018-1367-PRJ1139-Escherichia-coli-1D-070-reextract_R1_001,149,126,84.16%,1082756,985310,91.00%,215,24,57,171241,90,452935,5117962,ERS4415857,ERR4013449,Escherichia coli,GN3F + FRCOL,≤8,≤4,≤4/2,≤4,≤4,≤4,8,≤1,≤2,≤4,≤2,"≤0,5",≤16/4,≤4,"≤0,5/9,5",NA,≤2,≤1,≤4,≤1,≤16/2,≤1,2,0.5
1D-071,F2,Escherichia coli,Urine,Urine,DTU2018-697-PRJ1139-Escherichia-coli-1D-071_R1_001,470,381,81.11%,3200460,2853430,89.16%,133,36,103,53526,209,199763,4710390,ERS4415858,ERR4013450,Escherichia coli,GN3F + FRCOL,≤8,>32,16/8,≤4,8,≤4,16,≤1,≤2,≤4,≤2,"≤0,5",≤16/4,8,"≤0,5/9,5",NA,≤2,≤1,≤4,≤1,32/2,≤1,2,0.5
1D-072,F2,Escherichia coli,Urine,Urine,DTU2018-698-PRJ1139-Escherichia-coli-1D-072_R1_001,369,288,78.21%,2487170,2171758,87.32%,97,18,86,73652,159,229907,4799454,ERS4415859,ERR4013451,Escherichia coli,GN3F + FRCOL,≤8,≤4,≤4/2,≤4,≤4,≤4,4,≤1,≤2,≤4,≤2,>4,≤16/4,≤4,"≤0,5/9,5",NA,≤2,≤1,≤4,≤1,≤16/2,≤1,1,0.5
1D-073,F2,Escherichia coli,Urine,Urine,DTU2018-699-PRJ1139-Escherichia-coli-1D-073_R1_001,409,326,79.75%,2770162,2447466,88.35%,106,35,95,323032,67,825077,5094022,ERS4415860,ERR4013452,Escherichia coli,GN3F + FRCOL,≤8,>32,16/8,≤4,≤4,≤4,8,≤1,≤2,≤4,>16,>4,≤16/4,≤4,"≤0,5/9,5",NA,≤2,≤1,8,≤1,≤16/2,≤1,1,0.5
1D-074,F2,Escherichia coli,Urine,Urine,DTU2018-700-PRJ1139-Escherichia-coli-1D-074_R1_001,352,281,79.84%,2380144,2103980,88.40%,88,13,70,160595,116,723890,5136109,ERS4415861,ERR4013453,Escherichia coli,GN3F + FRCOL,≤8,>32,16/8,≤4,≤4,≤4,8,≤1,≤2,≤4,≤2,"≤0,5",≤16/4,≤4,>4/76,NA,≤2,≤1,≤4,≤1,≤16/2,≤1,2,0.25
1D-075,F2,Escherichia coli,Urine,Urine,DTU2018-701-PRJ1139-Escherichia-coli-1D-075_R1_001,463,374,80.90%,3124726,2785050,89.13%,100,23,122,182722,99,619098,5072905,ERS4415862,ERR4013454,Escherichia coli,GN3F + FRCOL,≤8,>32,16/8,≤4,≤4,≤4,16,≤1,≤2,≤4,≤2,"≤0,5",≤16/4,≤4,>4/76,NA,≤2,≤1,≤4,≤1,≤16/2,≤1,>16,0.25
1D-076,F2,Escherichia coli,Urine,Urine,DTU2018-702-PRJ1139-Escherichia-coli-1D-076_R1_001,450,369,82.05%,3050904,2736082,89.68%,131,63,124,274956,85,625797,5102497,ERS4415863,ERR4013455,Escherichia coli,GN3F + FRCOL,≤8,≤4,≤4/2,≤4,≤4,≤4,8,≤1,≤2,≤4,≤2,"≤0,5",≤16/4,≤4,"≤0,5/9,5",NA,≤2,≤1,≤4,≤1,≤16/2,≤1,1,0.5
1D-077,F2,Escherichia coli,Urine,Urine,DTU2018-703-PRJ1139-Escherichia-coli-1D-077_R1_001,488,388,79.54%,3297978,2903194,88.03%,115,36,102,379432,37,662418,4976602,ERS4415864,ERR4013456,Escherichia coli,GN3F + FRCOL,≤8,≤4,≤4/2,≤4,≤4,≤4,8,≤1,≤2,≤4,≤2,"≤0,5",≤16/4,≤4,"≤0,5/9,5",NA,≤2,≤1,≤4,≤1,≤16/2,≤1,2,0.5
1D-078,F2,Escherichia coli,Urine,Urine,DTU2018-704-PRJ1139-Escherichia-coli-1D-078_R1_001,211,133,63.01%,1421968,1118524,78.66%,51,7,28,133359,77,483586,4988776,ERS4415865,ERR4013457,Escherichia coli,GN3F + FRCOL,≤8,>32,32/16,≤4,8,≤4,16,≤1,≤2,8,4,>4,≤16/4,≤4,>4/76,NA,≤2,≤1,≤4,≤1,32/2,≤1,>16,0.5
1D-079,F2,Escherichia coli,Urine,Urine,DTU2018-705-PRJ1139-Escherichia-coli-1D-079_R1_001,387,309,79.81%,2605566,2311200,88.70%,89,33,100,223503,131,450024,5159048,ERS4415866,ERR4013458,Escherichia coli,GN3F + FRCOL,≤8,>32,32/16,≤4,≤4,≤4,16,≤1,≤2,8,≤2,"≤0,5",≤16/4,≤4,>4/76,NA,≤2,≤1,≤4,≤1,32/2,≤1,>16,0.5
1D-080,F3,Escherichia coli,Blood,Blood,DTU2018-706-PRJ1139-Escherichia-coli-1D-080_R1_001,398,317,79.68%,2685570,2373884,88.39%,108,42,100,139899,170,355750,5287967,ERS4415867,ERR4013459,Escherichia coli,GN3F + FRCOL,≤8,>32,8/4,≤4,≤4,≤4,8,≤1,≤2,≤4,≤2,"≤0,5",≤16/4,≤4,"≤0,5/9,5",NA,≤2,≤1,≤4,≤1,≤16/2,≤1,>16,0.5
1D-081,F3,Escherichia coli,Urine,Urine,DTU2018-707-PRJ1139-Escherichia-coli-1D-081_R1_001,489,398,81.36%,3319890,2965786,89.33%,164,84,134,63473,176,192245,5072132,ERS4415868,ERR4013460,Escherichia coli,GN3F + FRCOL,≤8,≤4,≤4/2,≤4,≤4,≤4,8,≤1,≤2,≤4,≤2,"≤0,5",≤16/4,≤4,"≤0,5/9,5",NA,≤2,≤1,≤4,≤1,≤16/2,≤1,1,0.25
1D-082,F3,Escherichia coli,Urine,Urine,DTU2018-708-PRJ1139-Escherichia-coli-1D-082_R1_001,387,308,79.71%,2612220,2305012,88.24%,99,18,62,204636,65,691408,4989785,ERS4415869,ERR4013461,Escherichia coli,GN3F + FRCOL,≤8,≤4,≤4/2,≤4,≤4,≤4,8,≤1,≤2,≤4,≤2,"≤0,5",≤16/4,8,"≤0,5/9,5",NA,≤2,≤1,≤4,≤1,≤16/2,≤1,1,0.25
1D-083,F3,Escherichia coli,Urine,Urine,DTU2018-709-PRJ1139-Escherichia-coli-1D-083_R1_001,567,470,82.82%,3851740,3475752,90.24%,178,56,178,139899,137,489942,5292104,ERS4415870,ERR4013462,Escherichia coli,GN3F + FRCOL,≤8,>32,8/4,≤4,≤4,≤4,16,≤1,≤2,≤4,≤2,"≤0,5",≤16/4,≤4,"≤0,5/9,5",NA,≤2,≤1,≤4,≤1,≤16/2,≤1,>16,0.25
1D-084,F3,Escherichia coli,Urine,Urine,DTU2018-710-PRJ1139-Escherichia-coli-1D-084_R1_001,460,371,80.60%,3113996,2766402,88.84%,117,46,128,275393,68,590451,5079618,ERS4415871,ERR4013463,Escherichia coli,GN3F + FRCOL,≤8,≤4,≤4/2,≤4,≤4,≤4,8,≤1,≤2,≤4,≤2,"≤0,5",≤16/4,≤4,"≤0,5/9,5",NA,≤2,≤1,≤4,≤1,≤16/2,≤1,2,0.25
1D-085,F3,Escherichia coli,Urine,Urine,DTU2018-711-PRJ1139-Escherichia-coli-1D-085_R1_001,479,387,80.74%,3242210,2887850,89.07%,104,38,107,139343,94,436520,4942802,ERS4415872,ERR4013464,Escherichia coli,GN3F + FRCOL,≤8,>32,16/8,≤4,≤4,≤4,8,≤1,≤2,≤4,≤2,"≤0,5",≤16/4,≤4,>4/76,NA,≤2,≤1,≤4,≤1,32/2,≤1,>16,0.25
1D-086,F3,Escherichia coli,Urine,Urine,DTU2018-712-PRJ1139-Escherichia-coli-1D-086_R1_001,386,306,79.39%,2604256,2294482,88.11%,91,26,93,228392,108,622605,5226979,ERS4415873,ERR4013465,Escherichia coli,GN3F + FRCOL,32,>32,16/8,≤4,≤4,≤4,16,≤1,≤2,≤4,8,"≤0,5",≤16/4,≤4,>4/76,NA,≤2,≤1,8,≤1,≤16/2,≤1,>16,0.5
1D-087,F4,Escherichia coli,Urine,Urine,DTU2018-713-PRJ1139-Escherichia-coli-1D-087_R1_001,488,404,82.76%,3325878,3007550,90.43%,125,31,147,234199,59,752915,4708728,ERS4415874,ERR4013466,Escherichia coli,GN3F + FRCOL,≤8,≤4,≤4/2,≤4,≤4,≤4,16,≤1,≤2,≤4,≤2,"≤0,5",≤16/4,≤4,"≤0,5/9,5",NA,≤2,≤1,≤4,≤1,≤16/2,≤1,1,0.5
1D-088,F4,Escherichia coli,Urine,Urine,DTU2018-714-PRJ1139-Escherichia-coli-1D-088_R1_001,511,430,84.11%,3482996,3175832,91.18%,135,62,142,301253,91,1036920,5079666,ERS4415875,ERR4013467,Escherichia coli,GN3F + FRCOL,≤8,>32,>32/16,≤4,8,≤4,>16,≤1,≤2,≤4,≤2,"≤0,5",≤16/4,≤4,"≤0,5/9,5",NA,≤2,≤1,≤4,≤1,64/2,≤1,1,0.5
1D-089,F4,Escherichia coli,Urine,Urine,DTU2018-715-PRJ1139-Escherichia-coli-1D-089_R1_001,403,320,79.38%,2739552,2409208,87.94%,143,29,92,191871,74,386295,5108721,ERS4415876,ERR4013468,Escherichia coli,GN3F + FRCOL,≤8,>32,8/4,16,>32,8,>16,≤1,≤2,>32,≤2,>4,≤16/4,16,"≤0,5/9,5",NA,>16,8,≤4,≤1,≤16/2,>64,2,0.5
1D-090,F4,Escherichia coli,Urine,Urine,DTU2018-716-PRJ1139-Escherichia-coli-1D-090_R1_001,164,118,72.18%,1123888,933814,83.09%,51,13,37,175856,64,697154,4791813,ERS4415877,ERR4013469,Escherichia coli,GN3F + FRCOL,≤8,≤4,≤4/2,≤4,≤4,≤4,16,≤1,≤2,8,≤2,"≤0,5",≤16/4,8,"≤0,5/9,5",NA,≤2,≤1,≤4,≤1,≤16/2,≤1,1,0.25
1D-091,F4,Escherichia coli,Urine,Urine,DTU2018-717-PRJ1139-Escherichia-coli-1D-091_R1_001,462,375,81.32%,3123214,2794492,89.47%,106,87,118,245205,256,763008,5293791,ERS4415878,ERR4013470,Escherichia coli,GN3F + FRCOL,≤8,≤4,≤4/2,≤4,≤4,≤4,8,≤1,≤2,≤4,≤2,"≤0,5",≤16/4,≤4,"≤0,5/9,5",NA,≤2,≤1,≤4,≤1,≤16/2,≤1,1,0.25
1D-092,F4,Escherichia coli,Urine,Urine,DTU2018-718-PRJ1139-Escherichia-coli-1D-092_R1_001,324,259,80.01%,2180002,1938254,88.91%,82,28,83,167881,114,368470,5264262,ERS4415879,ERR4013471,Escherichia coli,GN3F + FRCOL,≤8,>32,32/16,≤4,≤4,≤4,16,≤1,≤2,≤4,≤2,"≤0,5",≤16/4,≤4,>4/76,NA,≤2,≤1,≤4,≤1,≤16/2,≤1,2,0.5
1D-093,F4,Escherichia coli,Urine,Urine,DTU2018-719-PRJ1139-Escherichia-coli-1D-093_R1_001,433,357,82.42%,2929020,2645538,90.32%,91,35,81,372305,51,911607,4938411,ERS4415880,ERR4013472,Escherichia coli,GN3F + FRCOL,≤8,≤4,≤4/2,≤4,≤4,≤4,8,≤1,≤2,≤4,≤2,"≤0,5",≤16/4,≤4,"≤0,5/9,5",NA,≤2,≤1,≤4,≤1,≤16/2,≤1,1,0.25
1D-094,F4,Escherichia coli,Urine,Urine,DTU2018-720-PRJ1139-Escherichia-coli-1D-094_R1_001,431,352,81.71%,2911468,2612224,89.72%,93,15,80,103349,92,357031,4695028,ERS4415881,ERR4013473,Escherichia coli,GN3F + FRCOL,≤8,≤4,≤4/2,≤4,≤4,≤4,8,≤1,≤2,≤4,≤2,"≤0,5",≤16/4,≤4,"≤0,5/9,5",NA,≤2,≤1,≤4,≤1,≤16/2,≤1,2,0.5
1D-095,F4,Escherichia coli,Urine,Urine,DTU2018-721-PRJ1139-Escherichia-coli-1D-095_R1_001,511,424,83.00%,3472180,3139722,90.43%,154,45,109,104009,142,258497,5056795,ERS4415882,ERR4013474,Escherichia coli,GN3F + FRCOL,≤8,≤4,≤4/2,≤4,≤4,≤4,8,≤1,≤2,8,≤2,"≤0,5",≤16/4,8,"≤0,5/9,5",NA,≤2,≤1,≤4,≤1,≤16/2,≤1,2,0.5
1D-096,F4,Escherichia coli,Urine,Urine,DTU2018-722-PRJ1139-Escherichia-coli-1D-096_R1_001,390,312,80.01%,2637336,2339872,88.72%,88,32,117,75555,152,229936,4773659,ERS4415883,ERR4013475,Escherichia coli,GN3F + FRCOL,≤8,≤4,≤4/2,≤4,≤4,≤4,4,≤1,≤2,≤4,≤2,"≤0,5",≤16/4,≤4,"≤0,5/9,5",NA,≤2,≤1,≤4,≤1,≤16/2,≤1,1,0.5
1D-097,F4,Escherichia coli,Blood,Blood,DTU2018-723-PRJ1139-Escherichia-coli-1D-097_R1_001,431,351,81.54%,2917074,2616020,89.68%,96,56,83,314035,90,625579,5109471,ERS4415884,ERR4013476,Escherichia coli,GN3F + FRCOL,≤8,≤4,≤4/2,≤4,≤4,≤4,8,≤1,≤2,≤4,≤2,"≤0,5",≤16/4,≤4,"≤0,5/9,5",NA,≤2,≤1,≤4,≤1,≤16/2,≤1,1,0.25
1D-098,F4,Escherichia coli,Urine,Urine,DTU2018-724-PRJ1139-Escherichia-coli-1D-098_R1_001,529,440,83.18%,3606512,3261602,90.44%,172,59,129,367931,48,837424,5047211,ERS4415885,ERR4013477,Escherichia coli,GN3F + FRCOL,≤8,≤4,≤4/2,≤4,≤4,≤4,16,≤1,≤2,≤4,≤2,"≤0,5",≤16/4,8,"≤0,5/9,5",NA,≤2,≤1,≤4,≤1,≤16/2,≤1,2,0.25
1D-099,F4,Escherichia coli,Urine,Urine,DTU2018-725-PRJ1139-Escherichia-coli-1D-099_R1_001,364,281,77.26%,2555436,2215608,86.70%,444,99,191,167842,171,396579,5106929,ERS4415886,ERR4013478,Escherichia coli,GN3F + FRCOL,≤8,≤4,≤4/2,≤4,≤4,≤4,16,≤1,≤2,8,≤2,"≤0,5",≤16/4,8,"≤0,5/9,5",NA,≤2,≤1,≤4,≤1,≤16/2,≤1,2,0.25
1D-100,F4,Escherichia coli,Urine,Urine,DTU2018-726-PRJ1139-Escherichia-coli-1D-100_R1_001,296,220,74.33%,2007264,1713234,85.35%,119,16,71,193753,107,511399,5183090,ERS4415887,ERR4013479,Escherichia coli,GN3F + FRCOL,≤8,≤4,≤4/2,≤4,≤4,≤4,8,≤1,≤2,≤4,≤2,"≤0,5",≤16/4,≤4,"≤0,5/9,5",NA,≤2,≤1,≤4,≤1,≤16/2,≤1,1,0.25
1D-101,F4,Escherichia coli,Urine,Urine,DTU2018-727-PRJ1139-Escherichia-coli-1D-101_R1_001,410,321,78.36%,2908166,2543998,87.48%,616,66,154,110678,179,379748,5276544,ERS4415888,ERR4013480,Escherichia coli,GN3F + FRCOL,≤8,≤4,≤4/2,≤4,≤4,≤4,8,≤1,≤2,≤4,≤2,"≤0,5",≤16/4,≤4,"≤0,5/9,5",NA,≤2,≤1,≤4,≤1,≤16/2,≤1,"≤0,5",0.25
1D-102,F4,Escherichia coli,Urine,Urine,DTU2018-728-PRJ1139-Escherichia-coli-1D-102_R1_001,449,360,80.19%,3253582,2873024,88.30%,789,239,488,191954,161,348648,5302431,ERS4415889,ERR4013481,Escherichia coli,GN3F + FRCOL,≤8,>32,16/8,≤4,≤4,≤4,4,≤1,≤2,≤4,≤2,"≤0,5",≤16/4,≤4,>4/76,NA,≤2,≤1,≤4,≤1,≤16/2,≤1,>16,0.5
1D-103,F4,Escherichia coli,Urine,Urine,DTU2018-729-PRJ1139-Escherichia-coli-1D-103_R1_001,548,427,78.00%,3913788,3401416,86.91%,917,143,401,181114,84,551892,4956368,ERS4415890,ERR4013482,Escherichia coli,GN3F + FRCOL,≤8,≤4,≤4/2,≤4,≤4,≤4,16,≤1,≤2,≤4,≤2,"≤0,5",≤16/4,8,"≤0,5/9,5",NA,≤2,≤1,≤4,≤1,≤16/2,≤1,2,0.25
1D-104,F4,Escherichia coli,Urine,Urine,DTU2018-730-PRJ1139-Escherichia-coli-1D-104_R1_001,446,350,78.40%,3133272,2747062,87.67%,514,41,116,122815,137,386765,4960649,ERS4415891,ERR4013483,Escherichia coli,GN3F + FRCOL,≤8,≤4,≤4/2,≤4,≤4,≤4,16,≤1,≤2,≤4,≤2,"≤0,5",≤16/4,≤4,"≤0,5/9,5",NA,≤2,≤1,≤4,≤1,≤16/2,≤1,>16,0.5
1D-105,F4,Escherichia coli,Urine,Urine,DTU2018-731-PRJ1139-Escherichia-coli-1D-105_R1_001,262,208,79.64%,1846616,1634320,88.50%,259,79,141,377617,31,905611,4709226,ERS4415892,ERR4013484,Escherichia coli,GN3F + FRCOL,≤8,8,≤4/2,≤4,≤4,≤4,16,≤1,≤2,8,≤2,"≤0,5",≤16/4,8,"≤0,5/9,5",NA,≤2,≤1,≤4,≤1,≤16/2,≤1,2,0.5
1D-106,F4,Escherichia coli,Urine,Urine,DTU2018-834-PRJ1139-Escherichia-coli-1D-106_R1_001,485,385,79.40%,3458090,3050944,88.23%,684,196,500,274304,56,868529,4945871,ERS4415893,ERR4013485,Escherichia coli,GN3F + FRCOL,≤8,>32,16/8,≤4,8,≤4,>16,≤1,≤2,≤4,≤2,"≤0,5",≤16/4,8,>4/76,NA,≤2,≤1,≤4,≤1,≤16/2,≤1,1,0.25
1D-107,F4,Escherichia coli,Urine,Urine,DTU2018-835-PRJ1139-Escherichia-coli-1D-107_R1_001,366,285,77.95%,2542914,2227984,87.62%,314,77,162,551435,41,878702,4814809,ERS4415894,ERR4013486,Escherichia coli,GN3F + FRCOL,≤8,≤4,≤4/2,≤4,≤4,≤4,16,≤1,≤2,≤4,≤2,"≤0,5",≤16/4,≤4,"≤0,5/9,5",NA,≤2,≤1,≤4,≤1,≤16/2,≤1,1,0.25
1D-108,F4,Escherichia coli,Urine,Urine,DTU2018-836-PRJ1139-Escherichia-coli-1D-108_R1_001,510,398,78.07%,3545994,3102466,87.49%,432,31,128,232391,135,623055,5185060,ERS4415895,ERR4013487,Escherichia coli,GN3F + FRCOL,≤8,≤4,≤4/2,≤4,≤4,≤4,8,≤1,≤2,≤4,≤2,"≤0,5",≤16/4,≤4,"≤0,5/9,5",NA,≤2,≤1,≤4,≤1,≤16/2,≤1,2,0.5
1D-109,F4,Escherichia coli,Urine,Urine,DTU2018-837-PRJ1139-Escherichia-coli-1D-109_R1_001,539,432,80.31%,3826112,3400218,88.87%,589,78,206,156443,112,415388,5027247,ERS4415896,ERR4013488,Escherichia coli,GN3F + FRCOL,≤8,>32,8/4,≤4,≤4,≤4,16,≤1,≤2,≤4,>16,"≤0,5",≤16/4,≤4,>4/76,NA,≤2,≤1,≤4,≤1,≤16/2,≤1,1,0.5
1D-110,F4,Escherichia coli,Urine,Urine,DTU2018-838-PRJ1139-Escherichia-coli-1D-110_R1_001,456,357,78.25%,3195290,2800946,87.66%,487,170,379,229174,82,415184,5033271,ERS4415897,ERR4013489,Escherichia coli,GN3F + FRCOL,≤8,≤4,≤4/2,≤4,≤4,≤4,16,≤1,≤2,≤4,>16,>4,≤16/4,8,>4/76,NA,≤2,≤1,>8,≤1,≤16/2,≤1,>16,0.5
1D-111,F4,Escherichia coli,Urine,Urine,DTU2018-839-PRJ1139-Escherichia-coli-1D-111_R1_001,336,260,77.57%,2361646,2057126,87.11%,429,88,222,105288,237,290607,5285172,ERS4415898,ERR4013490,Escherichia coli,GN3F + FRCOL,≤8,≤4,≤4/2,8,≤4,≤4,8,≤1,≤2,≤4,≤2,"≤0,5",≤16/4,≤4,"≤0,5/9,5",NA,≤2,≤1,≤4,≤1,≤16/2,≤1,1,0.5
1D-112,F4,Escherichia coli,Urine,Urine,DTU2018-844-PRJ1139-Escherichia-coli-1D-112_R1_001,115,86,75.16%,786084,668752,85.07%,81,25,75,79009,201,351952,5347128,ERS4415899,ERR4013491,Escherichia coli,GN3F + FRCOL,≤8,>32,32/16,≤4,≤4,≤4,16,≤1,≤2,≤4,≤2,"≤0,5",≤16/4,≤4,>4/76,NA,≤2,≤1,≤4,≤1,32/2,≤1,1,0.5
1D-113,F4,Escherichia coli,Urine,Urine,DTU2018-845-PRJ1139-Escherichia-coli-1D-113_R1_001,499,415,83.22%,3469072,3126708,90.13%,353,142,336,196810,64,461660,4755484,ERS4415900,ERR4013492,Escherichia coli,GN3F + FRCOL,≤8,≤4,≤4/2,≤4,≤4,≤4,8,≤1,≤2,≤4,≤2,"≤0,5",≤16/4,8,"≤0,5/9,5",NA,≤2,≤1,≤4,≤1,≤16/2,≤1,1,0.25
1D-114,F4,Escherichia coli,Urine,Urine,DTU2018-846-PRJ1139-Escherichia-coli-1D-114_R1_001,500,419,83.89%,3548916,3200354,90.18%,524,209,161,221099,47,466832,4945159,ERS4415901,ERR4013493,Escherichia coli,GN3F + FRCOL,≤8,≤4,≤4/2,≤4,≤4,≤4,8,≤1,≤2,≤4,≤2,"≤0,5",≤16/4,8,"≤0,5/9,5",NA,≤2,≤1,≤4,≤1,≤16/2,≤1,2,0.25
1D-115,F4,Escherichia coli,Urine,Urine,DTU2018-847-PRJ1139-Escherichia-coli-1D-115_R1_001,1532,1301,84.94%,11072180,10037428,90.65%,2065,703,1039,354248,57,629640,5060120,ERS4415902,ERR4013494,Escherichia coli,GN3F + FRCOL,≤8,≤4,≤4/2,≤4,≤4,≤4,8,≤1,≤2,≤4,≤2,"≤0,5",≤16/4,≤4,"≤0,5/9,5",NA,≤2,≤1,≤4,≤1,≤16/2,≤1,1,0.5
1D-116,F4,Escherichia coli,Urine,Urine,DTU2018-848-PRJ1139-Escherichia-coli-1D-116_R1_001,626,528,84.29%,4654310,4186056,89.94%,1288,499,1181,243307,86,666875,5049644,ERS4415903,ERR4013495,Escherichia coli,GN3F + FRCOL,≤8,≤4,≤4/2,≤4,≤4,≤4,8,≤1,≤2,≤4,≤2,"≤0,5",≤16/4,≤4,"≤0,5/9,5",NA,≤2,≤1,≤4,≤1,≤16/2,≤1,1,0.25
1D-117,F4,Escherichia coli,Urine,Urine,DTU2018-849-PRJ1139-Escherichia-coli-1D-117_R1_001,550,460,83.65%,3977380,3576038,89.91%,800,300,611,252680,71,534951,4878901,ERS4415904,ERR4013496,Escherichia coli,GN3F + FRCOL,≤8,≤4,≤4/2,≤4,≤4,≤4,16,≤1,≤2,≤4,≤2,"≤0,5",≤16/4,≤4,"≤0,5/9,5",NA,≤2,≤1,≤4,≤1,≤16/2,≤1,1,0.25
