Assembly,Level,run_accession,sample_accession,sample,Taxonomy,CC,mecA Type,Penicillin MIC ug/ml + 15ug/ml Clavulanic acid,Penicillin MIC ug/ml,Amoxicillin MIC ug/ml + 15ug/ml Clavulanic acid,Amoxicillin MIC ug/ml,Number,Isolate,ENA accession,Penicillin/clavulanic acid susceptibility based on ECOFF of ≤2.0 µg/ml.,fastq_ftp,year
GCA_019100635.1,Contig,JAHROP000000000,SAMN19372621,SRSAAA130060,Staphylococcus aureus,5,R3,16,32,32,64,NA,NA,NA,NA,NA,NA
GCA_019100665.1,Scaffold,JAHROO000000000,SAMN19372622,SRSAAA130061,Staphylococcus aureus,59,R1,1,4,2,8,NA,NA,NA,NA,NA,NA
GCA_019100615.1,Contig,JAHROL000000000,SAMN19372625,SRSAAA130064,Staphylococcus aureus,5,R3,32,32,32,32,NA,NA,NA,NA,NA,NA
GCA_019100595.1,Contig,JAHROK000000000,SAMN19372626,SRSAAA130065,Staphylococcus aureus,5,R3,32,32,32,64,NA,NA,NA,NA,NA,NA
GCA_019100585.1,Contig,JAHRON000000000,SAMN19372623,SRSAAA130062,Staphylococcus aureus,5,R4,32,32,32,32,NA,NA,NA,NA,NA,NA
GCA_019097825.1,Contig,JAHRJU000000000,SAMN19372746,SRSAAA150078,Staphylococcus aureus,59,S7,0.125,1,0.5,2,NA,NA,NA,NA,NA,NA
GCA_019100545.1,Contig,JAHROM000000000,SAMN19372624,SRSAAA130063,Staphylococcus aureus,5,R4,32,32,64,32,NA,NA,NA,NA,NA,NA
GCA_019100265.1,Contig,JAHROH000000000,SAMN19372629,SRSAAA130068,Staphylococcus aureus,239,R13,32,64,32,64,NA,NA,NA,NA,NA,NA
GCA_019100245.1,Contig,JAHROJ000000000,SAMN19372627,SRSAAA130066,Staphylococcus aureus,5,R4,32,32,32,64,NA,NA,NA,NA,NA,NA
GCA_019100225.1,Contig,JAHROI000000000,SAMN19372628,SRSAAA130067,Staphylococcus aureus,5,R3,32,32,32,32,NA,NA,NA,NA,NA,NA
GCA_019100205.1,Contig,JAHROF000000000,SAMN19372631,SRSAAA130070,Staphylococcus aureus,5,R3,16,32,32,32,NA,NA,NA,NA,NA,NA
GCA_019100165.1,Contig,JAHROE000000000,SAMN19372632,SRSAAA130071,Staphylococcus aureus,5,R3,32,32,32,64,NA,NA,NA,NA,NA,NA
GCA_019100155.1,Contig,JAHROD000000000,SAMN19372633,SRSAAA130072,Staphylococcus aureus,5,R3,32,32,32,64,NA,NA,NA,NA,NA,NA
GCA_019100125.1,Contig,JAHROA000000000,SAMN19372636,SRSAAA130075,Staphylococcus aureus,5,R3,32,32,32,64,NA,NA,NA,NA,NA,NA
GCA_019100105.1,Contig,JAHROC000000000,SAMN19372634,SRSAAA130073,Staphylococcus aureus,5,R3,16,32,32,32,NA,NA,NA,NA,NA,NA
GCA_019100075.1,Contig,JAHRNY000000000,SAMN19372638,SRSAAA130077,Staphylococcus aureus,5,R3,32,32,32,32,NA,NA,NA,NA,NA,NA
GCA_019100065.1,Contig,JAHRNZ000000000,SAMN19372637,SRSAAA130076,Staphylococcus aureus,5,R2,32,32,32,32,NA,NA,NA,NA,NA,NA
GCA_019100045.1,Contig,JAHROB000000000,SAMN19372635,SRSAAA130074,Staphylococcus aureus,8,S7,0.125,2,0.5,2,NA,NA,NA,NA,NA,NA
GCA_019100025.1,Contig,JAHRNX000000000,SAMN19372639,SRSAAA130078,Staphylococcus aureus,5,R3,16,32,32,32,NA,NA,NA,NA,NA,NA
GCA_019100005.1,Contig,JAHRNW000000000,SAMN19372640,SRSAAA130079,Staphylococcus aureus,5,R3,32,32,32,32,NA,NA,NA,NA,NA,NA
GCA_019099985.1,Contig,JAHRNT000000000,SAMN19372643,SRSAAA130082,Staphylococcus aureus,5,R3,32,32,32,32,NA,NA,NA,NA,NA,NA
GCA_019099965.1,Contig,JAHRNV000000000,SAMN19372641,SRSAAA130080,Staphylococcus aureus,5,R3,16,32,32,32,NA,NA,NA,NA,NA,NA
GCA_019099945.1,Contig,JAHRNU000000000,SAMN19372642,SRSAAA130081,Staphylococcus aureus,5,R3,32,32,32,64,NA,NA,NA,NA,NA,NA
GCA_019099925.1,Contig,JAHRNS000000000,SAMN19372644,SRSAAA130083,Staphylococcus aureus,5,R3,32,32,32,32,NA,NA,NA,NA,NA,NA
GCA_019099905.1,Contig,JAHRNR000000000,SAMN19372645,SRSAAA130084,Staphylococcus aureus,5,R3,32,32,32,64,NA,NA,NA,NA,NA,NA
GCA_019099865.1,Contig,JAHRNP000000000,SAMN19372647,SRSAAA130086,Staphylococcus aureus,239,R2,32,64,32,64,NA,NA,NA,NA,NA,NA
GCA_019099875.1,Scaffold,JAHRNQ000000000,SAMN19372646,SRSAAA130085,Staphylococcus aureus,5,R4,32,32,32,32,NA,NA,NA,NA,NA,NA
GCA_019099845.1,Contig,JAHRNO000000000,SAMN19372648,SRSAAA130087,Staphylococcus aureus,5,R3,32,32,32,32,NA,NA,NA,NA,NA,NA
GCA_019099815.1,Contig,JAHRNN000000000,SAMN19372649,SRSAAA130088,Staphylococcus aureus,5,R3,16,32,32,32,NA,NA,NA,NA,NA,NA
GCA_019099795.1,Contig,JAHRNJ000000000,SAMN19372653,SRSAAA130092,Staphylococcus aureus,5,S1,2,16,4,8,NA,NA,NA,NA,NA,NA
GCA_019099785.1,Scaffold,JAHRNM000000000,SAMN19372650,SRSAAA130089,Staphylococcus aureus,59,S7,0.0625,1,0.25,2,NA,NA,NA,NA,NA,NA
GCA_019099765.1,Contig,JAHRNL000000000,SAMN19372651,SRSAAA130090,Staphylococcus aureus,5,R4,32,32,64,64,NA,NA,NA,NA,NA,NA
GCA_019099745.1,Contig,JAHRNK000000000,SAMN19372652,SRSAAA130091,Staphylococcus aureus,others,R4,32,32,32,32,NA,NA,NA,NA,NA,NA
GCA_019099715.1,Contig,JAHRNI000000000,SAMN19372654,SRSAAA130093,Staphylococcus aureus,5,R3,16,32,32,32,NA,NA,NA,NA,NA,NA
GCA_019099705.1,Contig,JAHRNF000000000,SAMN19372657,SRSAAA130096,Staphylococcus aureus,239,R7,16,32,32,64,NA,NA,NA,NA,NA,NA
GCA_019099685.1,Contig,JAHRNH000000000,SAMN19372655,SRSAAA130094,Staphylococcus aureus,5,R3,32,32,32,64,NA,NA,NA,NA,NA,NA
GCA_019099645.1,Scaffold,JAHRNE000000000,SAMN19372658,SRSAAA130097,Staphylococcus aureus,5,R3,16,32,32,32,NA,NA,NA,NA,NA,NA
GCA_019099655.1,Contig,JAHRNG000000000,SAMN19372656,SRSAAA130095,Staphylococcus aureus,others,S7,0.0625,1,0.5,1,NA,NA,NA,NA,NA,NA
GCA_019099625.1,Contig,JAHRND000000000,SAMN19372659,SRSAAA130098,Staphylococcus aureus,5,R4,32,32,32,32,NA,NA,NA,NA,NA,NA
GCA_019099585.1,Contig,JAHRNA000000000,SAMN19372662,SRSAAA130101,Staphylococcus aureus,5,R3,32,32,32,32,NA,NA,NA,NA,NA,NA
GCA_019099565.1,Contig,JAHRNB000000000,SAMN19372661,SRSAAA130100,Staphylococcus aureus,239,R2,32,64,32,64,NA,NA,NA,NA,NA,NA
GCA_019099535.1,Scaffold,JAHRMW000000000,SAMN19372666,SRSAAA130105,Staphylococcus aureus,5,R3,32,32,32,32,NA,NA,NA,NA,NA,NA
GCA_019099525.1,Scaffold,JAHRMZ000000000,SAMN19372663,SRSAAA130102,Staphylococcus aureus,5,R4,32,32,64,64,NA,NA,NA,NA,NA,NA
GCA_019099505.1,Contig,JAHRMY000000000,SAMN19372664,SRSAAA130103,Staphylococcus aureus,5,R3,32,32,32,64,NA,NA,NA,NA,NA,NA
GCA_019099475.1,Contig,JAHRMV000000000,SAMN19372667,SRSAAA130106,Staphylococcus aureus,8,S7,0.125,2,0.5,2,NA,NA,NA,NA,NA,NA
GCA_019099465.1,Scaffold,JAHRMU000000000,SAMN19372668,SRSAAA130107,Staphylococcus aureus,59,S2,8,32,8,32,NA,NA,NA,NA,NA,NA
GCA_019099445.1,Contig,JAHRMX000000000,SAMN19372665,SRSAAA130104,Staphylococcus aureus,5,R4,32,64,32,32,NA,NA,NA,NA,NA,NA
GCA_019099425.1,Scaffold,JAHRMT000000000,SAMN19372669,SRSAAA130108,Staphylococcus aureus,5,S1,1,2,4,4,NA,NA,NA,NA,NA,NA
GCA_019099405.1,Contig,JAHRMQ000000000,SAMN19372672,SRSAAA140083,Staphylococcus aureus,5,R3,32,32,32,64,NA,NA,NA,NA,NA,NA
GCA_019099375.1,Contig,JAHRMS000000000,SAMN19372670,SRSAAA130109,Staphylococcus aureus,5,S1,2,2,4,4,NA,NA,NA,NA,NA,NA
GCA_019099365.1,Contig,JAHRMP000000000,SAMN19372673,SRSAAA140084,Staphylococcus aureus,5,R11,32,32,32,32,NA,NA,NA,NA,NA,NA
GCA_019099345.1,Contig,JAHRMO000000000,SAMN19372674,SRSAAA140085,Staphylococcus aureus,5,R4,32,32,32,32,NA,NA,NA,NA,NA,NA
GCA_019099325.1,Contig,JAHRMR000000000,SAMN19372671,SRSAAA140082,Staphylococcus aureus,5,R4,32,32,32,64,NA,NA,NA,NA,NA,NA
GCA_019099305.1,Contig,JAHRMN000000000,SAMN19372675,SRSAAA140086,Staphylococcus aureus,59,S2,4,8,8,16,NA,NA,NA,NA,NA,NA
GCA_019099275.1,Contig,JAHRMI000000000,SAMN19372680,SRSAAA140091,Staphylococcus aureus,59,S2,2,16,8,8,NA,NA,NA,NA,NA,NA
GCA_019099255.1,Scaffold,JAHRMM000000000,SAMN19372676,SRSAAA140087,Staphylococcus aureus,59,S2,4,32,8,32,NA,NA,NA,NA,NA,NA
GCA_019099245.1,Contig,JAHRML000000000,SAMN19372677,SRSAAA140088,Staphylococcus aureus,5,S1,0.0625,0.125,0.25,0.5,NA,NA,NA,NA,NA,NA
GCA_019099225.1,Contig,JAHRMK000000000,SAMN19372678,SRSAAA140089,Staphylococcus aureus,59,S6,0.25,8,1,16,NA,NA,NA,NA,NA,NA
GCA_019099205.1,Contig,JAHRMJ000000000,SAMN19372679,SRSAAA140090,Staphylococcus aureus,59,S6,0.25,4,2,8,NA,NA,NA,NA,NA,NA
GCA_019099175.1,Contig,JAHRMG000000000,SAMN19372682,SRSAAA130111,Staphylococcus aureus,5,R3,32,32,32,32,NA,NA,NA,NA,NA,NA
GCA_019099165.1,Contig,JAHRMH000000000,SAMN19372681,SRSAAA130110,Staphylococcus aureus,5,R3,16,32,32,32,NA,NA,NA,NA,NA,NA
GCA_019099145.1,Contig,JAHRMF000000000,SAMN19372683,SRSAAA130112,Staphylococcus aureus,5,R5,32,32,32,32,NA,NA,NA,NA,NA,NA
GCA_019099115.1,Contig,JAHRME000000000,SAMN19372684,SRSAAA130113,Staphylococcus aureus,88,S2,0.125,0.125,0.5,0.5,NA,NA,NA,NA,NA,NA
GCA_019099105.1,Contig,JAHRMD000000000,SAMN19372685,SRSAAA130114,Staphylococcus aureus,239,R14,32,32,32,64,NA,NA,NA,NA,NA,NA
GCA_019099085.1,Contig,JAHRMC000000000,SAMN19372686,SRSAAA130115,Staphylococcus aureus,5,R3,32,32,32,64,NA,NA,NA,NA,NA,NA
GCA_019099065.1,Contig,JAHRMA000000000,SAMN19372688,SRSAAA130117,Staphylococcus aureus,239,R7,16,32,32,64,NA,NA,NA,NA,NA,NA
GCA_019099025.1,Contig,JAHRLZ000000000,SAMN19372689,SRSAAA130118,Staphylococcus aureus,8,S7,0.125,2,0.5,4,NA,NA,NA,NA,NA,NA
GCA_019099035.1,Contig,JAHRMB000000000,SAMN19372687,SRSAAA130116,Staphylococcus aureus,5,R4,32,32,32,32,NA,NA,NA,NA,NA,NA
GCA_019099005.1,Contig,JAHRLY000000000,SAMN19372690,SRSAAA130119,Staphylococcus aureus,5,R5,16,16,16,32,NA,NA,NA,NA,NA,NA
GCA_019098935.1,Contig,JAHRLV000000000,SAMN19372693,SRSAAA130122,Staphylococcus aureus,5,R4,32,32,32,32,NA,NA,NA,NA,NA,NA
GCA_019098955.1,Contig,JAHRLU000000000,SAMN19372694,SRSAAA130123,Staphylococcus aureus,239,R2,32,64,32,64,NA,NA,NA,NA,NA,NA
GCA_019098945.1,Contig,JAHRLW000000000,SAMN19372692,SRSAAA130121,Staphylococcus aureus,5,R3,32,32,32,32,NA,NA,NA,NA,NA,NA
GCA_019098925.1,Contig,JAHRLX000000000,SAMN19372691,SRSAAA130120,Staphylococcus aureus,others,R5,32,32,32,32,NA,NA,NA,NA,NA,NA
GCA_019098905.1,Scaffold,JAHRLT000000000,SAMN19372695,SRSAAA150027,Staphylococcus aureus,59,S2,4,16,8,16,NA,NA,NA,NA,NA,NA
GCA_019098875.1,Contig,JAHRLR000000000,SAMN19372697,SRSAAA150029,Staphylococcus aureus,59,S2,0.5,8,2,16,NA,NA,NA,NA,NA,NA
GCA_019098865.1,Contig,JAHRLS000000000,SAMN19372696,SRSAAA150028,Staphylococcus aureus,5,R3,16,16,32,32,NA,NA,NA,NA,NA,NA
GCA_019098845.1,Contig,JAHRLQ000000000,SAMN19372698,SRSAAA150030,Staphylococcus aureus,5,R3,16,32,32,32,NA,NA,NA,NA,NA,NA
GCA_019098815.1,Contig,JAHRLO000000000,SAMN19372700,SRSAAA150032,Staphylococcus aureus,5,R3,32,16,32,32,NA,NA,NA,NA,NA,NA
GCA_019098805.1,Contig,JAHRLP000000000,SAMN19372699,SRSAAA150031,Staphylococcus aureus,59,S6,0.5,16,1,32,NA,NA,NA,NA,NA,NA
GCA_019098785.1,Contig,JAHRLN000000000,SAMN19372701,SRSAAA150033,Staphylococcus aureus,239,R14,16,32,16,32,NA,NA,NA,NA,NA,NA
GCA_019098765.1,Contig,JAHRLK000000000,SAMN19372704,SRSAAA150036,Staphylococcus aureus,59,S2,0.125,4,0.5,16,NA,NA,NA,NA,NA,NA
GCA_019098715.1,Contig,JAHRLJ000000000,SAMN19372705,SRSAAA150037,Staphylococcus aureus,59,S2,0.25,4,2,16,NA,NA,NA,NA,NA,NA
GCA_019098735.1,Contig,JAHRLM000000000,SAMN19372702,SRSAAA150034,Staphylococcus aureus,5,R5,16,32,16,32,NA,NA,NA,NA,NA,NA
GCA_019098685.1,Scaffold,JAHRLI000000000,SAMN19372706,SRSAAA150038,Staphylococcus aureus,59,S2,0.25,4,2,16,NA,NA,NA,NA,NA,NA
GCA_019098705.1,Scaffold,JAHRLL000000000,SAMN19372703,SRSAAA150035,Staphylococcus aureus,others,S7,0.25,4,0.5,8,NA,NA,NA,NA,NA,NA
GCA_019098645.1,Contig,JAHRLC000000000,SAMN19372712,SRSAAA150044,Staphylococcus aureus,5,R6,16,16,16,32,NA,NA,NA,NA,NA,NA
GCA_019098615.1,Contig,JAHRLH000000000,SAMN19372707,SRSAAA150039,Staphylococcus aureus,59,S2,8,8,16,16,NA,NA,NA,NA,NA,NA
GCA_019098605.1,Contig,JAHRLF000000000,SAMN19372709,SRSAAA150041,Staphylococcus aureus,59,S2,0.25,8,2,16,NA,NA,NA,NA,NA,NA
GCA_019098585.1,Contig,JAHRLE000000000,SAMN19372710,SRSAAA150042,Staphylococcus aureus,59,S2,0.25,8,4,16,NA,NA,NA,NA,NA,NA
GCA_019098555.1,Contig,JAHRLD000000000,SAMN19372711,SRSAAA150043,Staphylococcus aureus,59,S6,0.0625,16,0.25,32,NA,NA,NA,NA,NA,NA
GCA_019098545.1,Contig,JAHRLB000000000,SAMN19372713,SRSAAA150045,Staphylococcus aureus,59,S2,0.5,8,4,16,NA,NA,NA,NA,NA,NA
GCA_019098525.1,Contig,JAHRLA000000000,SAMN19372714,SRSAAA150046,Staphylococcus aureus,59,S6,0.125,16,0.5,32,NA,NA,NA,NA,NA,NA
GCA_019098505.1,Contig,JAHRKZ000000000,SAMN19372715,SRSAAA150047,Staphylococcus aureus,59,S2,0.25,4,1,16,NA,NA,NA,NA,NA,NA
GCA_019098485.1,Contig,JAHRKX000000000,SAMN19372717,SRSAAA150049,Staphylococcus aureus,59,S2,4,16,8,32,NA,NA,NA,NA,NA,NA
GCA_019098455.1,Contig,JAHRKY000000000,SAMN19372716,SRSAAA150048,Staphylococcus aureus,59,S7,<0.03125,4,0.25,16,NA,NA,NA,NA,NA,NA
GCA_019098445.1,Contig,JAHRKW000000000,SAMN19372718,SRSAAA150050,Staphylococcus aureus,5,R4,32,32,64,32,NA,NA,NA,NA,NA,NA
GCA_019098425.1,Contig,JAHRKU000000000,SAMN19372720,SRSAAA150052,Staphylococcus aureus,88,S3,0.25,4,0.5,4,NA,NA,NA,NA,NA,NA
GCA_019098405.1,Scaffold,JAHRKV000000000,SAMN19372719,SRSAAA150051,Staphylococcus aureus,others,S7,0.25,2,1,2,NA,NA,NA,NA,NA,NA
GCA_019098385.1,Scaffold,JAHRKS000000000,SAMN19372722,SRSAAA150054,Staphylococcus aureus,59,S2,0.125,4,0.5,16,NA,NA,NA,NA,NA,NA
GCA_019098365.1,Contig,JAHRKT000000000,SAMN19372721,SRSAAA150053,Staphylococcus aureus,8,S7,<0.03125,4,0.5,4,NA,NA,NA,NA,NA,NA
GCA_019098345.1,Contig,JAHRKR000000000,SAMN19372723,SRSAAA150055,Staphylococcus aureus,5,R4,16,32,32,32,NA,NA,NA,NA,NA,NA
GCA_019098325.1,Contig,JAHRKQ000000000,SAMN19372724,SRSAAA150056,Staphylococcus aureus,59,S2,0.125,4,1,8,NA,NA,NA,NA,NA,NA
GCA_019098305.1,Contig,JAHRKP000000000,SAMN19372725,SRSAAA150057,Staphylococcus aureus,5,R4,32,32,64,32,NA,NA,NA,NA,NA,NA
GCA_019098285.1,Scaffold,JAHRKN000000000,SAMN19372727,SRSAAA150059,Staphylococcus aureus,59,S2,1,8,8,16,NA,NA,NA,NA,NA,NA
GCA_019098265.1,Contig,JAHRKO000000000,SAMN19372726,SRSAAA150058,Staphylococcus aureus,5,R3,16,16,32,32,NA,NA,NA,NA,NA,NA
GCA_019098245.1,Contig,JAHRKM000000000,SAMN19372728,SRSAAA150060,Staphylococcus aureus,5,R4,32,32,64,32,NA,NA,NA,NA,NA,NA
GCA_019098225.1,Contig,JAHRKL000000000,SAMN19372729,SRSAAA150061,Staphylococcus aureus,5,R4,32,32,32,32,NA,NA,NA,NA,NA,NA
GCA_019098175.1,Contig,JAHRKK000000000,SAMN19372730,SRSAAA150062,Staphylococcus aureus,others,S5,0.0625,2,0.125,4,NA,NA,NA,NA,NA,NA
GCA_019098185.1,Contig,JAHRKI000000000,SAMN19372732,SRSAAA150064,Staphylococcus aureus,others,S7,0.25,4,0.5,4,NA,NA,NA,NA,NA,NA
GCA_019098165.1,Contig,JAHRKJ000000000,SAMN19372731,SRSAAA150063,Staphylococcus aureus,5,R4,32,32,64,32,NA,NA,NA,NA,NA,NA
GCA_019098145.1,Contig,JAHRKG000000000,SAMN19372734,SRSAAA150066,Staphylococcus aureus,5,R4,32,32,32,32,NA,NA,NA,NA,NA,NA
GCA_019098115.1,Contig,JAHRKE000000000,SAMN19372736,SRSAAA150068,Staphylococcus aureus,59,S7,<0.03125,2,0.5,4,NA,NA,NA,NA,NA,NA
GCA_019098105.1,Contig,JAHRKH000000000,SAMN19372733,SRSAAA150065,Staphylococcus aureus,5,R4,32,32,32,32,NA,NA,NA,NA,NA,NA
GCA_019098085.1,Contig,JAHRKF000000000,SAMN19372735,SRSAAA150067,Staphylococcus aureus,5,R4,32,32,64,64,NA,NA,NA,NA,NA,NA
GCA_019098065.1,Contig,JAHRKD000000000,SAMN19372737,SRSAAA150069,Staphylococcus aureus,59,S2,1,8,4,16,NA,NA,NA,NA,NA,NA
GCA_019098045.1,Contig,JAHRKC000000000,SAMN19372738,SRSAAA150070,Staphylococcus aureus,others,S2,2,16,4,16,NA,NA,NA,NA,NA,NA
GCA_019098005.1,Contig,JAHRJV000000000,SAMN19372745,SRSAAA150077,Staphylococcus aureus,5,R3,16,16,32,32,NA,NA,NA,NA,NA,NA
GCA_019097995.1,Scaffold,JAHRKB000000000,SAMN19372739,SRSAAA150071,Staphylococcus aureus,88,S2,2,16,4,16,NA,NA,NA,NA,NA,NA
GCA_019097985.1,Contig,JAHRKA000000000,SAMN19372740,SRSAAA150072,Staphylococcus aureus,59,S7,<0.03125,1,0.5,2,NA,NA,NA,NA,NA,NA
GCA_019097965.1,Contig,JAHRJZ000000000,SAMN19372741,SRSAAA150073,Staphylococcus aureus,5,R4,32,32,64,32,NA,NA,NA,NA,NA,NA
GCA_019097945.1,Contig,JAHRJY000000000,SAMN19372742,SRSAAA150074,Staphylococcus aureus,239,R2,32,64,32,64,NA,NA,NA,NA,NA,NA
GCA_019097925.1,Contig,JAHRJW000000000,SAMN19372744,SRSAAA150076,Staphylococcus aureus,59,S6,0.25,16,1,32,NA,NA,NA,NA,NA,NA
GCA_019097905.1,Contig,JAHRJX000000000,SAMN19372743,SRSAAA150075,Staphylococcus aureus,59,S7,0.125,4,0.5,4,NA,NA,NA,NA,NA,NA
NA,NA,ERR701933,SAMEA2042823,MPROS704,NA,22,NA,8,32,NA,NA,1,MPROS704,ERS197671,Resistant,ftp.sra.ebi.ac.uk/vol1/fastq/ERR701/ERR701933/ERR701933_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR701/ERR701933/ERR701933_2.fastq.gz,2015
NA,NA,ERR701907,SAMEA1967788,MPROS669,NA,22,NA,8,24,NA,NA,2,MPROS669,ERS197641,Resistant,ftp.sra.ebi.ac.uk/vol1/fastq/ERR701/ERR701907/ERR701907_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR701/ERR701907/ERR701907_2.fastq.gz,2015
NA,NA,ERR701934,SAMEA2040962,MPROS705,NA,22,NA,12,48,NA,NA,3,MPROS705,ERS197672,Resistant,ftp.sra.ebi.ac.uk/vol1/fastq/ERR701/ERR701934/ERR701934_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR701/ERR701934/ERR701934_2.fastq.gz,2015
NA,NA,ERR701935,SAMEA1970197,MPROS706,NA,22,NA,8,32,NA,NA,4,MPROS706,ERS197673,Resistant,ftp.sra.ebi.ac.uk/vol1/fastq/ERR701/ERR701935/ERR701935_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR701/ERR701935/ERR701935_2.fastq.gz,2015
NA,NA,ERR701938,SAMEA2040964,MPROS709,NA,22,NA,2,16,NA,NA,5,MPROS709,ERS197676,Susceptible,ftp.sra.ebi.ac.uk/vol1/fastq/ERR701/ERR701938/ERR701938_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR701/ERR701938/ERR701938_2.fastq.gz,2015
NA,NA,ERR701939,SAMEA2042825,MPROS711,NA,22,NA,6,48,NA,NA,6,MPROS711,ERS197677,Resistant,ftp.sra.ebi.ac.uk/vol1/fastq/ERR701/ERR701939/ERR701939_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR701/ERR701939/ERR701939_2.fastq.gz,2015
NA,NA,ERR701940,SAMEA2040965,MPROS712,NA,22,NA,0.023,0.75,NA,NA,7,MPROS712,ERS197678,Susceptible,ftp.sra.ebi.ac.uk/vol1/fastq/ERR701/ERR701940/ERR701940_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR701/ERR701940/ERR701940_2.fastq.gz,2015
NA,NA,ERR701941,SAMEA2040966,MPROS714,NA,22,NA,6,32,NA,NA,8,MPROS714,ERS197679,Resistant,ftp.sra.ebi.ac.uk/vol1/fastq/ERR701/ERR701941/ERR701941_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR701/ERR701941/ERR701941_2.fastq.gz,2015
NA,NA,ERR701943,SAMEA2040967,MPROS719,NA,22,NA,6,32,NA,NA,9,MPROS719,ERS197681,Resistant,ftp.sra.ebi.ac.uk/vol1/fastq/ERR701/ERR701943/ERR701943_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR701/ERR701943/ERR701943_2.fastq.gz,2015
NA,NA,ERR701909,SAMEA2042815,MPROS672,NA,22,NA,0.125,6,NA,NA,10,MPROS672,ERS197644,Susceptible,ftp.sra.ebi.ac.uk/vol1/fastq/ERR701/ERR701909/ERR701909_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR701/ERR701909/ERR701909_2.fastq.gz,2015
NA,NA,ERR701954,SAMEA2040975,MPROS733,NA,22,NA,6,32,NA,NA,11,MPROS733,ERS197693,Resistant,ftp.sra.ebi.ac.uk/vol1/fastq/ERR701/ERR701954/ERR701954_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR701/ERR701954/ERR701954_2.fastq.gz,2015
NA,NA,ERR701963,SAMEA2041033,MPROS623,NA,22,NA,8,32,NA,NA,12,MPROS623,ERS197702,Resistant,ftp.sra.ebi.ac.uk/vol1/fastq/ERR701/ERR701963/ERR701963_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR701/ERR701963/ERR701963_2.fastq.gz,2015
NA,NA,ERR701977,SAMEA2041044,MPROS742,NA,22,NA,24,48,NA,NA,13,MPROS742,ERS197718,Resistant,ftp.sra.ebi.ac.uk/vol1/fastq/ERR701/ERR701977/ERR701977_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR701/ERR701977/ERR701977_2.fastq.gz,2015
NA,NA,ERR701985,SAMEA2041048,MPROS0576,NA,22,NA,8,32,NA,NA,14,MPROS0576,ERS197726,Resistant,ftp.sra.ebi.ac.uk/vol1/fastq/ERR701/ERR701985/ERR701985_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR701/ERR701985/ERR701985_2.fastq.gz,2015
NA,NA,ERR702018,SAMEA2042066,MPROS1093,NA,22,NA,12,64,NA,NA,15,MPROS1093,ERS198070,Resistant,ftp.sra.ebi.ac.uk/vol1/fastq/ERR702/ERR702018/ERR702018_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR702/ERR702018/ERR702018_2.fastq.gz,2015
NA,NA,ERR702019,SAMEA2041842,MPROS1095,NA,22,NA,1,16,NA,NA,16,MPROS1095,ERS198071,Susceptible,ftp.sra.ebi.ac.uk/vol1/fastq/ERR702/ERR702019/ERR702019_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR702/ERR702019/ERR702019_2.fastq.gz,2015
NA,NA,ERR702042,SAMEA2040640,MPROS487,NA,22,NA,12,64,NA,NA,17,MPROS487,ERS197537,Resistant,ftp.sra.ebi.ac.uk/vol1/fastq/ERR702/ERR702042/ERR702042_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR702/ERR702042/ERR702042_2.fastq.gz,2015
NA,NA,ERR702051,SAMEA2042707,MPROS739,NA,22,NA,6,32,NA,NA,18,MPROS739,ERS197548,Resistant,ftp.sra.ebi.ac.uk/vol1/fastq/ERR702/ERR702051/ERR702051_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR702/ERR702051/ERR702051_2.fastq.gz,2015
NA,NA,ERR702054,SAMEA2042708,MPROS735,NA,22,NA,6,24,NA,NA,19,MPROS735,ERS197551,Resistant,ftp.sra.ebi.ac.uk/vol1/fastq/ERR702/ERR702054/ERR702054_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR702/ERR702054/ERR702054_2.fastq.gz,2015
NA,NA,ERR702056,SAMEA2040718,MPROS571,NA,22,NA,3,24,NA,NA,20,MPROS571,ERS197553,Resistant,ftp.sra.ebi.ac.uk/vol1/fastq/ERR702/ERR702056/ERR702056_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR702/ERR702056/ERR702056_2.fastq.gz,2015
